date,pH,DO,BOD,COD,SS,T_N, T_P,TOC,WT,EC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
2014-02-10,8.4,15.6,2.9,5,7.5,2.54,0.066,3.4,4.2,355,170,0.008,0.005,33.7,30,2.518,2.1
2014-02-18,8.5,13.7,5,5.3,16.2,3.637,0.121,5.3,5.5,267,520,0.226,0.005,48.7,200,3.636,2
2014-02-24,8.4,12.9,4.7,7.3,15,2.422,0.099,4.8,5.4,339,160,0.021,0.004,50.7,52,1.9,0
2014-03-04,8.6,14.2,5.3,8.9,20.2,2.267,0.116,6,7.6,356,160,0.016,0.004,51.6,4,2.115,10
2014-03-10,8.7,15,5.2,7.3,18.1,1.962,0.093,6.2,4.9,423,107,0.031,0.005,125.2,6,2.401,0.5
2014-03-18,8.2,11.1,6.3,8.5,19.2,2.651,0.144,7.3,13.1,417,310,0.179,0.009,110.4,130,1.664,40
2014-03-24,8.4,11.6,7.4,11.6,25.6,2.024,0.113,7.8,10.9,381,370,0.078,0.005,78.3,245,1.478,0.2
2014-04-01,8.2,10.4,5.4,11.1,11.4,1.996,0.11,7.4,16.6,494,280,0.018,0.004,85.3,50,4.68,54
2014-04-07,8.4,11.5,5.1,8.7,21.9,1.577,0.091,4.9,13.1,355,260,0.017,0.002,75.7,20,2.592,0
2014-04-15,7.7,9.5,3.1,6.6,12.4,1.293,0.072,5.1,16.1,462,180,0.088,0.012,38.6,8,2.659,9.5
2014-04-21,7.6,9.2,2,4.7,14,1.14,0.069,4.1,16.8,212,4400,0.047,0.017,19.4,110,5.006,16.5
2014-04-28,7.2,10.4,4.4,6.3,13.6,1.177,0.11,5.2,16.6,312,23500,0.163,0.027,42.4,1300,6.397,15
2014-05-07,7.6,9.2,3.4,7.1,12.8,1.066,0.089,5.2,16.5,276,530,0.068,0.011,51.4,16,2.668,23.5
2014-05-12,7.9,10.1,5.3,9.4,19.8,1.739,0.174,7,20.5,278,9000,0.279,0.066,36.5,1300,14.102,27.5
2014-05-20,6.4,7.5,5.9,11,29.4,1.888,0.186,8.8,20,274,36500,0.498,0.041,22.7,7200,3.92,11
2014-05-26,7.3,7.6,6.1,9.2,28.2,2.396,0.204,8.7,21.6,276,12500,0.583,0.058,28.3,950,6.825,15
2014-06-02,7.2,5.7,5,9.2,16.3,2.647,0.204,8.2,22.6,290,2400,0.668,0.088,16.2,750,7.641,0.5
2014-06-10,7.4,7.2,3.5,7.5,13.5,2.274,0.135,7.5,25,296,3200,0.305,0.059,10.6,240,3.849,14.5
2014-06-16,7.4,7.7,3.3,8.2,9,2.067,0.093,7.8,24.1,245,3000,0.151,0.02,22.6,365,4.869,48.5
2014-06-24,7.3,5.8,3.7,8,7,2.264,0.118,8.2,24.2,333,1600,0.292,0.049,15.6,130,2.354,5
2014-07-01,7.4,6.6,3.9,8.2,9.4,1.595,0.109,7,26.6,302,150,0.108,0.037,25,10,1.923,4
2014-07-07,7,6.5,2.5,6.9,10.6,2.146,0.123,6.4,22.1,220,9600,0.299,0.065,10.1,1440,10.775,53.2
2014-07-15,7.5,7.1,3.1,6.5,8.4,1.152,0.081,4.8,26.8,223,4200,0.069,0.01,78.5,310,3.027,22
2014-07-21,7.2,7.1,2.6,7,8.4,2.176,0.123,5,26.9,178,98000,0.086,0.057,3.2,42000,12.126,128.6
2014-07-28,7.3,7.2,4.7,7.7,10.8,1.474,0.093,6.7,25.6,213,11400,0.049,0.015,7.1,290,3.293,10.1
2014-08-05,7.1,6.9,1.6,4.8,11.2,2.105,0.105,3.1,24.3,130,11000,0.239,0.06,4,1000,21.489,73
2014-08-11,7.7,10.7,1.7,5.2,5,1.345,0.055,3.6,26,169,2600,0.07,0.02,4.8,200,7.387,14.6
2014-08-19,7,6.7,1.9,5.8,24.9,2.268,0.138,3.6,22,109,25000,0.303,0.076,2.4,4500,74.545,205.6
2014-08-26,7.3,10.1,1.4,5.6,27.1,1.857,0.134,3.5,24.5,108,14500,0.144,0.071,3,2450,50.086,94
2014-09-01,7.4,8.7,1.2,4.9,4.5,1.733,0.07,3.4,23.2,231,8000,0.035,0.034,2.8,1400,10.943,10
2014-09-11,7.3,8.4,2.1,4.6,5.9,1.424,0.068,3.9,22.6,235,500,0.042,0.016,5.2,68,4.76,26.5
2014-09-16,7.4,8,1.5,4.3,4.8,1.347,0.07,3.8,22.8,256,2600,0.075,0.038,7.6,390,8.874,2
2014-09-22,7.2,8.5,1.3,4.2,13.9,1.375,0.065,3.3,21.7,216,330,0.078,0.034,2.6,150,3.652,0
2014-09-30,7,8.5,1.4,4.1,5.8,1.92,0.084,3.6,21.6,281,6300,0.086,0.055,0.7,1900,8.711,88
2014-10-06,6.8,10.6,1.5,5.3,6.1,1.175,0.052,3.8,19.2,218,6400,0.041,0.017,3.9,1120,6.078,0
2014-10-14,7.2,9.2,2.4,6.6,4,1.7,0.09,6.6,17.9,354,580,0.099,0.062,1.4,310,3.304,3
2014-10-21,7.4,8.5,3,5.7,8.2,1.894,0.084,4.5,17.6,283,23500,0.162,0.043,4.6,1650,9.739,27
2014-10-27,6.8,8.5,1.7,3.6,4.7,2.332,0.065,3.2,16.4,197,4200,0.136,0.038,4.7,340,5.988,50.5
2014-11-04,7.5,10.8,1.2,4.6,3.9,2.283,0.087,4.1,12.4,264,790,0.118,0.05,4.6,275,6.263,27.5
2014-11-11,7.3,11.3,1.4,4,4.3,1.698,0.053,3.4,11.7,241,600,0.057,0.016,7.2,145,5.449,0
2014-11-18,7.4,12.7,2,4.6,4.6,2.153,0.056,3.7,9.8,319,6200,0.056,0.022,9.5,46,3.023,3
2014-11-24,7.1,10.2,1.7,4.1,3.6,2.058,0.042,3.4,11.5,388,4000,0.087,0.022,11.7,410,4.479,0
2014-12-03,7.2,12.9,0.9,3.6,3.9,2.038,0.056,2.7,7,219,9200,0.12,0.039,3,1600,12.315,95
2014-12-08,6.7,12.2,1,4.5,3.2,2.457,0.038,3.2,5.2,324,680,0.085,0.026,1.5,270,8.535,10
2014-12-15,7.1,13.4,1,4.5,1.6,2.585,0.04,3.5,4.7,351,710,0.09,0.019,2.7,540,7.321,6.5
2014-12-23,7.9,15.8,1.1,3.7,2.6,2.925,0.055,2.8,3.8,306,750,0.254,0.031,2.8,100,8.578,21.5
2014-12-29,7.3,13.5,1.1,2.9,2.9,2.604,0.033,2.4,4.1,302,680,0.045,0.012,2.2,170,5.423,0
2015-01-05,7.1,16.8,1.4,3.2,2.5,2.558,0.033,2.6,4.7,319,130,0.061,0.013,4.7,10,5.548,12.6
2015-01-13,7.2,13.4,1.4,3.7,4,2.153,0.033,2.4,2.5,233,160,0.042,0.016,4.5,125,3.993,13.5
2015-01-20,7.4,13.8,1.3,2.8,4.2,2.722,0.041,2.6,3,246,350,0.08,0.018,2.8,70,4.866,2
2015-01-26,7.2,11.7,2.4,5.6,7.5,3.042,0.068,4.4,7,319,4400,0.42,0.027,7.5,350,5.182,14.5
2015-02-02,7.4,14.9,1.5,3.3,4.1,2.579,0.045,2.7,3,298,360,0.106,0.02,4.4,135,4.435,7.6
2015-02-10,7.2,13,2,3.8,4.6,2.669,0.053,3,3,355,1100,0.084,0.018,3.8,65,4.12,0.4
2015-02-16,6.9,12,2.2,3.7,6.1,2.539,0.056,2.6,6.2,337,8500,0.159,0.024,10.1,2800,6.049,10.5
2015-02-23,6.7,10.9,2.4,3.6,3.4,2.567,0.049,3.6,7,269,460,0.231,0.019,7.8,140,3.681,9.5
2015-03-02,6.8,12.8,2.2,3.2,4.1,2.31,0.046,3.1,5.1,330,460,0.112,0.015,5.5,80,3.891,4.5
2015-03-10,7.1,12.9,2.9,5.1,5.4,2.164,0.051,4.8,4.7,387,350,0.078,0.019,10.5,120,2.342,4.5
2015-03-16,8.2,12,3.1,5.9,11.3,2.179,0.07,4.2,7.9,327,900,0.086,0.005,32.8,210,1.802,3.5
2015-03-24,7.9,11.7,6.9,12.6,19.1,2.188,0.106,8.9,10.9,465,2200,0.031,0.004,86.3,370,2.616,27.5
2015-03-30,8.1,11.8,7,12.3,21.1,1.585,0.1,7.9,13,373,83,0.08,0.002,99.8,12,1.893,0
2015-04-06,6.7,9.9,5.1,8.1,31.8,2.673,0.192,5,14.2,254,13000,0.443,0.063,20,1060,10.32,41.5
2015-04-14,8.1,11.8,4,7.4,20.6,1.723,0.108,4.7,14.2,315,6700,0.036,0.008,58.2,350,7.196,13.5
2015-04-20,7.4,8.9,4.8,8.2,16.4,1.794,0.098,5.4,15.9,277,3250,0.11,0.007,75.6,130,3.369,18.5
2015-04-27,8.2,9.5,3.4,6.3,11.8,1.084,0.078,4.5,17.1,295,8800,0.042,0.003,63.5,100,2.852,10.5
2015-05-04,6.8,8.4,2.9,6.3,8.4,1.976,0.101,4.1,19.3,234,2900,0.406,0.044,9.5,360,7.196,72.6
2015-05-11,7.7,9.1,3.7,7.9,14.7,1.403,0.119,6.7,20.2,366,800,0.176,0.02,49.2,120,4.03,1.5
2015-05-19,7.2,7,2.5,6.4,13.7,1.443,0.11,5.1,18.4,201,520,0.182,0.048,16.7,90,6.381,13.5
2015-05-26,7.2,6.7,4.5,7.4,11.7,2.072,0.145,6.1,20.9,218,460,0.458,0.07,14.8,80,4.238,0
2015-06-02,6.9,6.3,4.1,8.5,15.6,2.377,0.149,6.6,22.8,285,550,0.315,0.07,9.1,36,5.79,3.5
2015-06-08,7,7.6,3.4,8.9,11.3,2.022,0.104,6.6,21.4,270,3200,0.177,0.045,14.8,1900,6.252,1.5
2015-06-16,7.4,9.8,5.2,11.1,18.5,3.032,0.158,8.4,23.7,279,360,0.618,0.079,12.6,95,4.623,33.7
2015-06-23,6.8,6.4,3.6,9,11.7,2.954,0.151,6.6,23.6,269,4800,0.355,0.072,7.9,480,4.391,12.5
2015-06-29,6.9,8.7,1.9,7.8,7.8,2.737,0.11,6,24.9,235,3200,0.15,0.069,5.6,150,3.738,28.8
2015-07-06,7.6,7.7,2.3,8.4,7.7,1.552,0.079,7.4,25.1,248,4600,0.068,0.021,22.9,150,7.68,16.3
2015-07-14,6.9,8,1.2,6,10.8,2.098,0.137,4.2,24.4,185,9000,0.115,0.078,4.1,1080,16.776,109.9
2015-07-20,7,7.7,2.1,6.2,8.1,1.4,0.091,4.5,27.6,238,860,0.004,0.022,35.9,120,3.8,13.7
2015-07-28,7.1,7.5,2.5,5.1,5.3,3.914,0.193,3.8,26.7,278,560,0.107,0.037,7.3,770,9.207,36.3
2015-08-03,6.9,7.8,1.6,5.1,4.9,1.257,0.09,3.7,28.4,224,820,0.025,0.042,7.9,230,5.542,4.2
2015-08-10,6.8,7.1,2.2,6,13,1.732,0.175,5,27.1,200,4000,0.101,0.068,10.2,490,4.525,42.9
2015-08-17,7.2,9.2,1.5,5.6,4.1,1.109,0.102,4.6,26.9,288,1180,0.018,0.032,12.2,295,5.312,29.2
2015-08-25,6.8,6.4,1.5,5.1,7.4,1.728,0.117,4.2,24.1,215,12500,0.154,0.058,3.5,1700,10.297,53.4
2015-08-31,7.4,7.9,3.4,5,8.8,1.191,0.065,4,24.3,228,4000,0.017,0.027,5.7,340,5.646,15.7
2015-09-08,7.1,8.3,1.3,4.8,3.7,1.294,0.109,3.9,22.2,250,1540,0.069,0.044,1.8,230,5.783,43.5
2015-09-14,7.4,8.4,0.7,5.1,3.9,1.323,0.077,4.2,20.8,297,1850,0.054,0.033,1.6,225,3.47,2.7
2015-09-22,7,9.7,1.2,4.8,4.3,1.04,0.079,4.2,22.3,301,3600,0.037,0.025,9.1,810,6.174,0
2015-09-30,7.3,7.3,1.8,5.8,4.8,1.445,0.078,5,21.8,310,2650,0.087,0.033,6.9,320,2.999,18.9
2015-10-05,6.7,9,1.3,4.9,3.8,1.697,0.091,4.8,19.9,285,14000,0.092,0.043,1.9,640,5.669,57.9
2015-10-12,7.4,9.5,0.8,4.1,3.1,1.876,0.066,4.7,17.6,244,6000,0.218,0.033,5.1,640,3.205,7.7
2015-10-20,7,8.1,1.6,5.8,5.1,1.514,0.063,6.1,18.2,337,1700,0.08,0.031,6.8,110,2.126,1.2
2015-10-27,7.3,9.3,3,7.8,10.8,1.296,0.138,7.5,17.1,326,14000,0.114,0.076,7.9,4400,7.018,1.1
2015-11-02,6.7,10.1,1.6,4.9,2.7,1.635,0.062,5.6,11.3,254,600,0.09,0.026,15.2,95,2.979,24.5
2015-11-09,7.2,9.2,2.6,6.7,5.5,2.834,0.141,6,15.4,334,22000,0.603,0.065,12.3,4200,4.801,31.8
2015-11-17,6.8,9.6,2.9,7.9,8.1,2.333,0.148,5.5,14.2,254,11000,0.249,0.087,8.8,860,11.633,45.1
2015-11-24,7.2,9.9,2,5.4,4.3,2.421,0.099,3.1,13.2,332,7200,0.274,0.076,4.2,260,4.279,17.9
2015-12-01,6.9,12.7,1.5,4.7,3.2,2.509,0.06,2.1,8.9,299,5200,0.181,0.035,2.8,140,7.53,27.1
2015-12-07,7.1,13,1.2,4.1,1,2.764,0.068,1.8,6,301,4800,0.184,0.028,2.6,210,6.823,12
2015-12-15,7.2,9.7,1.9,5,2.4,2.75,0.093,3.1,10.4,285,15000,0.282,0.046,5.1,600,7.619,26.5
2015-12-21,7.1,14.4,1.7,4.1,2,2.843,0.062,1.9,6.4,305,4200,0.191,0.024,2.5,200,6.098,11.6
2015-12-28,6.6,11.9,1.1,3,2.8,2.858,0.049,1.2,4.8,316,5200,0.075,0.013,2.6,110,5.541,6.6
2016-01-04,7.5,11.2,1.6,3.6,3.4,3.239,0.062,3.4,6.7,289,3400,0.278,0.023,3.8,10,3.536,2.5
2016-01-12,7.3,12.1,1.1,3.3,2.5,2.846,0.054,3.4,3.6,293,1300,0.127,0.011,3.9,90,3.138,0.3
2016-01-18,7.4,13.1,1.6,3.7,3.9,2.656,0.049,4.5,4.9,310,3500,0.137,0.014,9.3,150,3.858,8.7
2016-01-28,7.9,12.9,1.8,3.4,6.4,3.358,0.071,3.8,3.5,377,1800,0.4,0.025,3.2,230,3.382,19.3
2016-02-02,6.7,15.4,1.6,4.6,6.7,3.259,0.092,4.5,1.7,290,18000,0.37,0.044,4.5,120,5.861,21.4
2016-02-11,7,12.8,1.8,3.6,4.9,2.916,0.049,4,4.9,314,600,0.187,0.016,6.3,420,3.865,0
2016-02-15,7.5,12.4,3.1,6.2,14.2,3.041,0.112,5.5,6.4,280,7600,0.365,0.045,9.4,1200,11.957,33.7
2016-02-22,7.2,13.3,1.8,3.7,8.4,1.76,0.038,3,5.8,198,6100,0.069,0.018,6.4,130,8.273,4.7
2016-03-02,7.4,13.3,2.1,3.6,5.3,2.685,0.054,3.6,4.7,305,3000,0.242,0.026,5.4,30,3.857,6.8
2016-03-07,7.1,10.4,4.8,8.6,43.8,2.813,0.191,6.7,11.5,181,24000,0.332,0.058,14.3,1500,15.634,40.3
2016-03-14,6.5,12.1,1.6,4.1,8,2.706,0.078,3.8,7,270,5100,0.184,0.015,4.7,90,5.196,5.2
2016-03-21,7,10.9,1.8,4.4,6.9,2.449,0.07,4.1,11.6,344,1800,0.111,0.018,12,20,3.571,9.7
2016-03-28,8,13.1,3.2,7.5,11.3,1.877,0.088,5.7,10.3,336,800,0.037,0.003,38,2,2.515,0
2016-04-04,8.1,12.1,4.7,7.8,14.6,1.527,0.066,5.4,15.6,477,400,0.07,0.002,81.3,10,2.576,2.6
2016-04-11,7.7,9.3,2.4,7,10.1,2.078,0.1,5.3,16.7,175,1400,0.067,0.017,19,100,4.904,44.9
2016-04-18,6.6,9.6,3.6,7.2,32.5,2.278,0.195,6,14.6,182,10000,0.322,0.054,17.8,2500,18.619,46.3
2016-04-25,6.8,9.3,1.4,4.3,10.4,1.745,0.07,3.5,17,184,2100,0.1,0.014,8.2,370,10.573,27.3
2016-05-02,7.1,14.6,1.3,4.5,9.9,1.658,0.058,3.5,18.6,228,4800,0.063,0.024,4.3,460,8.255,63.9
2016-05-09,6.7,10.3,1.3,4.4,7.7,1.692,0.054,3.6,18.6,247,2100,0.061,0.025,8,60,5.402,36.8
2016-05-16,7.4,9.9,2.6,6.1,15.7,1.947,0.102,5.3,19.4,277,9400,0.12,0.043,21.5,860,13.159,36.8
2016-05-23,7.2,10.1,2.5,7.2,12,1.796,0.155,5.8,22.6,303,1600,0.238,0.064,18.7,120,3.931,5.3
2016-06-01,6.9,6.7,3.2,8.3,15.3,2.503,0.132,6.4,22.5,255,1300,0.323,0.079,8.6,320,7.231,29.2
2016-06-07,6.9,8.2,2.9,8.2,18.1,2.479,0.136,7.4,21.3,231,11000,0.282,0.072,7.2,560,10.646,18.1
2016-06-13,6.8,7.1,2.8,7,9.9,2.444,0.111,6.6,24,215,7000,0.328,0.047,7.5,300,7.598,3.7
2016-06-20,6.8,6.2,2.2,8.2,10.8,2.175,0.097,6.9,25.1,261,1000,0.163,0.052,10.1,100,5.833,2.7
2016-06-27,7.1,6.5,2.1,8.3,8.7,2.284,0.118,7.5,24.4,252,3200,0.151,0.063,4.9,200,4.338,91.6
2016-07-05,6.3,7.9,2.6,5.8,20,2.167,0.111,4.9,23.3,154,23000,0.164,0.063,4.1,2900,7.744,186.9
2016-07-11,7.2,6.5,2.1,5.1,9.9,2.243,0.167,4.3,26.7,176,4200,0.081,0.061,5.1,510,11.149,75.6
2016-07-18,7.4,7.6,2.2,4.7,8.5,1.619,0.075,4.3,25,204,13000,0.048,0.06,5.9,1000,9.893,37.3
2016-07-25,7.3,9.6,2.6,7,8.9,1.379,0.121,8.2,29.5,281,5000,0.062,0.049,67.8,760,5.217,0
2016-08-01,7.2,7.9,4.3,8.1,10.2,1.244,0.157,6.4,30.3,293,280,0.038,0.027,55.9,75,3.922,1.5
2016-08-08,7.1,7.5,3.4,8.2,10.9,1.463,0.12,6.5,28.3,234,680,0.039,0.044,14.4,140,3.169,13.3
2016-08-16,6.8,7.6,1.9,6.5,6.7,0.934,0.093,5.3,28.8,271,2300,0.078,0.043,12.4,385,13.172,18.9
2016-08-22,7.3,4.9,1.5,6.7,4.7,0.892,0.071,5.3,29,459,1500,0.064,0.029,9.8,160,1.873,5.9
2016-08-29,6.7,8.6,1.1,6.1,8.4,1.227,0.102,4.8,22.4,172,5500,0.138,0.034,4.4,450,9.148,42.2
2016-09-05,7.4,6,2.5,6.5,13.9,1.48,0.102,5.8,25,192,13500,0.321,0.033,14.2,5400,30.813,7.4
2016-09-12,7.3,8.3,1.6,6.9,8.1,1.393,0.107,5.1,23,216,9500,0.119,0.06,4.9,60,11.783,34.6
2016-09-20,7.2,10.5,1.4,9.2,8.3,2.127,0.108,4.4,20.9,187,13000,0.128,0.057,1.1,2000,14.702,144
2016-09-26,7.4,8,1.5,3,4.3,1.899,0.076,3.9,22.5,222,7500,0.08,0.043,11.3,380,7.799,11.6
2016-10-04,6.8,8,1.5,6.2,9.4,2.633,0.117,4.7,22.1,216,18000,0.094,0.087,5.3,700,12.199,75.6
2016-10-10,7.5,7.3,1,5.1,7.7,1.922,0.086,3.8,16.9,185,18000,0.062,0.051,2.3,1500,15.922,113.5
2016-10-18,7.2,10.3,1.3,5.7,13.1,1.836,0.107,4,18,151,24000,0.087,0.055,4,2900,20.793,61.5
2016-10-24,7.5,9,1,3.8,4,2.063,0.076,3,17.6,207,20000,0.061,0.035,3.5,700,7.222,2.5
2016-11-01,7.3,10.1,1.1,4,3.7,2.154,0.067,3.4,12.3,206,9000,0.105,0.045,3.6,300,4.556,17.9
2016-11-07,7.4,10.8,1,3.9,3,2.194,0.082,3.1,13.4,296,7300,0.031,0.052,4.3,150,4.253,0
2016-11-14,7.8,10,1.1,4.2,3.9,2.193,0.165,4.2,12.9,344,26000,0.037,0.051,6.5,60,3.313,10.7
2016-11-21,7.8,9.4,1.7,5.2,4,2.128,0.086,4.8,13.2,418,10200,0.1,0.064,13.4,40,3.237,11
2016-11-28,7.7,12.6,2,4.7,4.9,2.378,0.069,4.1,7,350,2400,0.027,0.028,20.3,150,2.998,4.8
2016-12-05,7.6,11.3,1.3,3.6,2.9,2.469,0.048,3.2,7.4,389,5100,0.06,0.022,9,100,3.017,5.7
2016-12-12,7.8,12.4,1.3,3.7,3.1,2.685,0.048,3.2,4.3,358,3400,0.148,0.015,7.1,320,3.151,1.4
2016-12-19,8.2,12.3,1.1,3.3,2.8,2.503,0.048,3,5.6,339,6000,0.035,0.015,9.8,320,3.087,1.7
2016-12-26,7.5,13.1,1.6,4.9,4.3,2.633,0.081,4.4,7.1,337,49000,0.066,0.026,8.4,100,4.499,29.3
2017-01-02,7.2,9.3,1.7,4.3,4,2.961,0.09,3.7,4.7,298,3000,0.295,0.044,6.8,110,3.885,11.8
2017-01-09,7.1,13.2,1.5,4.7,5.9,3.035,0.088,3.3,7.4,319,6700,0.361,0.042,14.2,370,3.233,1.2
2017-01-16,8.1,10.3,1,4.5,3.5,2.605,0.056,2.3,1,322,1200,0.085,0.012,3.8,110,2.84,0.5
2017-01-25,7,13.4,1.6,3.6,3.2,2.989,0.081,3.8,2.1,368,300,0.153,0.017,4.2,130,2.961,4.4
2017-02-01,8.2,13,1.3,3.8,3.8,3.59,0.102,3.3,3.3,299,1100,0.39,0.065,4.2,60,4.274,5.6
2017-02-06,7.5,12.2,1.4,4.3,3.8,2.801,0.088,3.3,4.1,332,600,0.126,0.038,6.3,30,3.339,1.4
2017-02-13,8.2,14,1.5,3.9,4.9,2.789,0.067,3.3,2.4,295,1300,0.136,0.047,4.9,290,3.017,5.2
2017-02-20,8,10.8,2.5,5.6,10.3,2.823,0.092,3.7,7.9,356,1300,0.311,0.028,19.2,410,2.883,7.1
2017-02-27,7.3,12.4,2.1,5.1,5.2,2.641,0.081,3.8,6.1,253,1900,0.148,0.029,7.9,210,4.176,28.2
2017-03-06,7.2,12.3,2,4.9,7.2,2.314,0.068,3.8,8.4,326,500,0.14,0.022,14.7,40,3.847,6
2017-03-13,7.3,11.5,3.9,5.5,11,2.341,0.082,5.2,9.2,337,100,0.018,0.004,24.5,120,2.597,1.8
2017-03-20,8.1,13.8,5,8,20.4,2.469,0.124,8.4,10.7,459,1400,0.028,0.005,66.4,510,1.98,0
2017-03-27,8.1,16.8,4.9,7.9,15,1.897,0.091,5.7,11.9,343,2600,0.063,0.025,64.2,20,2.814,19.2
2017-04-03,8.8,13.7,6.5,12,20.6,1.894,0.128,8.9,12.9,508,600,0.024,0.005,105.9,20,0.787,6.2
2017-04-10,8.1,11,4.1,8.5,17.1,1.446,0.081,5.9,16.5,216,31000,0.009,0.008,72.1,380,7.172,29
2017-04-17,8.2,10.5,5.2,10.9,16.4,1.255,0.111,7.5,18,287,150,0.025,0.01,118.2,40,1.808,11.2
2017-04-24,9,10.5,7.8,12.7,18.2,1.094,0.116,9,16.3,305,1000,0.039,0.001,146.2,160,1.062,11.5
2017-05-08,7.8,8.7,6.4,12,20.4,1.11,0.139,7.3,19.5,373,400,0.04,0.003,106.2,40,1.973,19.4
2017-05-15,8,13.1,7.6,13.9,24.3,1.672,0.137,9.6,20.3,441,280,0.071,0.012,89.6,85,1.174,13.9
2017-05-22,8,11.4,3.9,14.3,21,1.784,0.134,9.8,22.1,357,60,0.119,0.018,34.7,15,1.93,0
2017-05-29,7.4,10.2,5.1,13.3,19.2,1.937,0.141,9.8,20.4,284,1700,0.267,0.006,54.9,85,3.294,2.2
2017-06-05,7,9.2,4.4,12.1,12.5,2.535,0.142,9.1,22.2,334,750,0.288,0.027,25.3,340,5.162,2.9
2017-06-12,6.8,7.6,3,10.7,12.5,2.169,0.118,8.1,23.2,313,1500,0.406,0.033,21.3,240,3.288,6
2017-06-19,7.1,6.2,5,13.5,15,1.821,0.103,10.4,24,339,780,0.262,0.006,44.4,390,2.977,0.8
2017-06-26,6.6,6.2,3.1,14.3,11.6,2.044,0.12,10.5,25.3,343,1600,0.188,0.039,37.1,170,2.465,8.9
2017-07-03,7.4,6.9,2.8,10.7,14,1.893,0.12,7.7,25.7,224,4200,0.255,0.043,16,1500,13.65,39.5
2017-07-10,7.6,7.2,2.7,9.2,15,2.172,0.163,7,26.7,191,11000,0.224,0.078,7.3,1300,11.708,71.7
2017-07-17,7,6.5,1.5,6.7,7.8,2.281,0.121,4.8,26.4,194,12000,0.102,0.048,6.7,2300,12.706,60.1
2017-07-24,7.3,5.8,2.3,6.8,4.3,1.537,0.066,5.3,28.8,292,1000,0.068,0.018,26.3,410,3.609,23.3
2017-08-07,7.5,7,3.2,7.4,9.1,0.857,0.086,5.5,31.5,241,300,0.067,0.023,50.3,70,1.804,51.8
2017-08-14,7.3,7.1,2.2,7.6,36,1.263,0.135,5.7,24.1,130,26000,0.117,0.085,9.8,1000,29.849,30.9
2017-08-21,7,7.7,3.2,8,37,1.605,0.16,5.9,26.3,181,32000,0.114,0.096,18,6800,86.871,54.1
2017-08-28,7.4,8,1.2,5.2,3.9,1.89,0.066,3.9,24.2,181,4100,0.067,0.053,3.6,1000,8.136,180.4
2017-09-04,7,9.1,2.5,5.3,4.1,1.275,0.087,4.4,23.2,261,2200,0.014,0.022,20.5,690,6.257,6.7
2017-09-12,7.6,7.6,1.8,7.4,18,1.686,0.134,5.2,22.1,122,11000,0.08,0.08,4.7,4600,33.968,101.9
2017-09-18,7.2,8.5,1.1,5.1,2.1,1.525,0.048,4.1,21.6,252,5300,0.025,0.036,5.8,290,3.963,0
2017-09-25,7.1,8.2,1.5,5.2,2.5,1.161,0.051,4.2,22.6,247,2700,0.033,0.025,11.6,170,4.169,0
2017-10-10,8.2,11.7,1.2,5,2.9,2.01,0.081,3.7,21.8,295,4300,0.181,0.046,3.9,710,4.248,79.7
2017-10-16,7.6,10.8,1.1,4.9,3.2,1.956,0.073,3.9,16.9,310,3300,0.057,0.041,7.1,240,3.445,12.6
2017-10-23,7.5,10.5,1.2,5.3,2.5,1.769,0.064,4,16.1,381,2000,0.12,0.027,10.5,120,3.111,0
2017-10-30,7.7,13.4,2.8,6.7,6,1.515,0.064,5.3,14.1,399,400,0.009,0.006,50.1,30,2.755,0
2017-11-06,7.7,10.7,3.8,6.8,8.7,1.889,0.076,5.6,11.1,516,2100,0.387,0.005,75.6,40,2.117,1.2
2017-11-13,7.8,11.4,3.7,7.3,9.6,1.487,0.063,6.2,10.6,515,420,0.016,0.004,72.7,55,2.022,0.4
2017-11-20,8.1,12.1,4.7,8.2,11.5,1.973,0.067,6.5,7.4,553,560,0.342,0.006,88.5,75,1.943,0
2017-11-27,8,13.4,4.1,7,9.6,2.32,0.072,5.5,6.1,389,500,0.021,0.007,73,120,2.804,0.5
2017-12-04,7,13.1,3.6,6.5,7.6,2.36,0.059,5.7,5.9,414,1100,0.225,0.003,51.5,260,2.256,0
2017-12-11,7.4,11.6,2.9,5.7,6.6,2.878,0.072,4.8,4.3,382,1500,0.387,0.007,43.1,470,2.446,3.1
2017-12-18,7.5,12.6,3,5.3,7.3,2.975,0.068,4.3,2.2,341,2400,0.312,0.004,44.4,1100,2.277,1.4
2017-12-26,7.6,13.3,3.6,6,8.6,2.667,0.068,5.1,4.4,314,3300,0.153,0.005,57.2,400,3.511,23.3
2018-01-02,8,14.1,3.1,5.9,7.4,2.81,0.066,4.6,2.8,339,1100,0.038,0.007,33.9,350,2.657,0.4
2018-01-08,8.4,13.1,3.6,6.2,9.5,2.288,0.068,4.7,4.4,352,7000,0.536,0.011,64.8,1500,2.432,2.7
2018-01-15,8.4,12.5,3.2,5.3,7.1,2.64,0.061,4.4,3.3,356,24000,0.124,0.007,37.3,340,3.004,13.3
2018-01-22,7.1,13.6,2.5,5.7,4.7,2.564,0.086,4.6,4.7,293,1500,0.142,0.02,17.8,440,3.448,21.7
2018-01-29,8,7.4,2,4.8,5,2.831,0.079,4,1.4,299,1400,0.388,0.015,16.9,240,2.588,1.1
