p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain
7.1 ,11.2 ,1.0 ,5.4 ,3.7 ,2.487 ,0.062 ,3.9 ,12.7 ,308 ,3200 ,0.169 ,0.039 ,2.9 ,167 ,3.736 ,10.5 
7.2 ,10.6 ,0.9 ,4.9 ,5.0 ,2.217 ,0.046 ,3.1 ,11.3 ,298 ,520 ,0.118 ,0.030 ,3.3 ,330 ,3.819 ,8.5 
7.8 ,11.0 ,0.9 ,4.3 ,3.7 ,2.323 ,0.045 ,2.7 ,8.0 ,256 ,800 ,0.161 ,0.033 ,2.2 ,120 ,3.351 ,18.9 
7.1 ,11.8 ,1.2 ,3.8 ,3.0 ,2.567 ,0.043 ,2.0 ,6.2 ,272 ,1300 ,0.062 ,0.025 ,1.9 ,110 ,4.954 ,8.0 
7.6 ,12.7 ,1.1 ,4.1 ,2.6 ,2.800 ,0.038 ,2.3 ,5.0 ,306 ,4600 ,0.037 ,0.018 ,2.6 ,325 ,4.059 ,4.5 
7.8 ,14.0 ,2.6 ,7.0 ,7.9 ,3.485 ,0.070 ,4.5 ,7.4 ,338 ,10000 ,0.663 ,0.047 ,4.0 ,1140 ,9.722 ,49.9 
6.7 ,14.1 ,1.1 ,5.5 ,4.5 ,2.888 ,0.060 ,1.3 ,0.6 ,238 ,960 ,0.269 ,0.037 ,2.5 ,120 ,5.268 ,12.0 
7.4 ,13.7 ,1.0 ,4.3 ,5.3 ,3.781 ,0.051 ,3.7 ,1.2 ,345 ,400 ,0.128 ,0.034 ,2.7 ,70 ,3.327 ,14.3 
7.4 ,13.9 ,2.8 ,4.8 ,4.1 ,3.531 ,0.067 ,3.1 ,0.9 ,306 ,240 ,0.390 ,0.035 ,3.9 ,73 ,3.582 ,0.0 
7.7 ,14.7 ,1.7 ,3.5 ,4.3 ,2.946 ,0.044 ,2.9 ,1.8 ,279 ,85 ,0.099 ,0.030 ,6.5 ,40 ,4.409 ,0.0 
7.7 ,14.0 ,1.9 ,4.6 ,3.8 ,2.919 ,0.067 ,3.4 ,4.8 ,308 ,4600 ,0.248 ,0.044 ,10.8 ,560 ,6.456 ,14.0 
7.1 ,13.5 ,2.3 ,4.7 ,5.0 ,3.335 ,0.051 ,3.9 ,1.3 ,277 ,220 ,0.484 ,0.038 ,3.0 ,38 ,5.450 ,3.4 
7.5 ,12.5 ,1.8 ,5.4 ,5.2 ,2.336 ,0.055 ,3.7 ,4.7 ,246 ,4600 ,0.237 ,0.043 ,3.8 ,570 ,15.883 ,35.1 
6.8 ,14.1 ,1.1 ,3.4 ,2.4 ,3.030 ,0.039 ,2.3 ,2.9 ,172 ,7800 ,0.180 ,0.026 ,3.5 ,380 ,6.510 ,7.5 
6.9 ,12.2 ,1.2 ,3.3 ,4.0 ,2.885 ,0.079 ,2.7 ,4.5 ,220 ,720 ,0.162 ,0.031 ,8.7 ,310 ,5.157 ,0.5 
7.1 ,12.3 ,2.0 ,4.3 ,11.1 ,2.978 ,0.040 ,3.2 ,4.6 ,314 ,610 ,0.174 ,0.027 ,14.9 ,375 ,3.421 ,6.0 
7.7 ,10.1 ,2.8 ,7.5 ,7.4 ,2.765 ,0.071 ,5.8 ,8.1 ,409 ,300 ,0.101 ,0.021 ,27.3 ,28 ,2.278 ,4.0 
7.3 ,10.8 ,5.2 ,8.8 ,31.3 ,2.649 ,0.087 ,5.8 ,10.8 ,255 ,8600 ,0.364 ,0.038 ,89.1 ,980 ,14.973 ,1.0 
6.7 ,12.3 ,3.5 ,7.1 ,31.9 ,2.572 ,0.113 ,4.9 ,11.6 ,207 ,10000 ,0.341 ,0.077 ,20.2 ,1160 ,21.949 ,52.5 
7.4 ,11.8 ,1.7 ,4.5 ,7.7 ,2.329 ,0.072 ,3.6 ,11.5 ,268 ,260 ,0.162 ,0.031 ,11.5 ,6 ,4.393 ,18.0 
7.4 ,13.4 ,3.3 ,6.0 ,6.7 ,2.188 ,0.048 ,3.7 ,11.3 ,169 ,120 ,0.036 ,0.010 ,35.7 ,16 ,3.438 ,0.4 
7.9 ,12.6 ,3.8 ,6.6 ,15.1 ,1.859 ,0.048 ,3.8 ,10.7 ,214 ,120 ,0.024 ,0.009 ,34.8 ,30 ,1.915 ,18.6 
7.8 ,9.8 ,4.8 ,8.8 ,8.8 ,2.431 ,0.075 ,6.5 ,17.8 ,487 ,2000 ,0.234 ,0.008 ,56.9 ,34 ,1.920 ,0.3 
7.8 ,9.5 ,3.3 ,7.0 ,10.2 ,1.458 ,0.049 ,4.5 ,13.2 ,283 ,85 ,0.090 ,0.015 ,22.1 ,22 ,1.988 ,9.6 
8.1 ,11.7 ,4.4 ,8.1 ,20.5 ,2.143 ,0.081 ,5.0 ,16.6 ,286 ,5000 ,0.224 ,0.038 ,44.9 ,340 ,6.603 ,24.4 
7.6 ,9.5 ,3.0 ,6.7 ,11.6 ,0.986 ,0.034 ,4.2 ,19.1 ,193 ,270 ,0.986 ,0.007 ,18.7 ,52 ,2.790 ,3.0 
7.7 ,9.3 ,2.4 ,6.8 ,7.4 ,1.654 ,0.066 ,5.3 ,21.7 ,522 ,207 ,0.348 ,0.047 ,7.7 ,52 ,2.218 ,21.5 
7.4 ,8.2 ,4.0 ,6.9 ,18.7 ,1.759 ,0.075 ,5.6 ,19.9 ,315 ,2400 ,0.415 ,0.059 ,18.2 ,290 ,4.928 ,2.0 
6.9 ,7.6 ,5.1 ,8.9 ,44.4 ,2.636 ,0.130 ,5.9 ,19.4 ,169 ,51000 ,0.642 ,0.099 ,5.5 ,3600 ,50.986 ,0.0 
7.4 ,7.4 ,4.0 ,7.4 ,20.2 ,3.093 ,0.098 ,5.1 ,22.9 ,235 ,390 ,0.578 ,0.082 ,5.6 ,105 ,7.381 ,51.0 
6.6 ,6.4 ,4.5 ,10.7 ,14.3 ,2.197 ,0.103 ,6.9 ,24.1 ,198 ,510 ,0.293 ,0.079 ,9.5 ,102 ,7.038 ,0.0 
7.4 ,8.2 ,3.2 ,8.7 ,11.1 ,2.131 ,0.089 ,5.8 ,25.9 ,223 ,440 ,0.126 ,0.059 ,8.2 ,84 ,7.133 ,6.7 
7.3 ,8.0 ,3.3 ,8.9 ,9.6 ,2.363 ,0.086 ,6.7 ,24.0 ,350 ,5000 ,0.219 ,0.051 ,25.4 ,410 ,11.441 ,69.5 
7.3 ,5.9 ,2.4 ,8.2 ,6.8 ,1.589 ,0.117 ,5.9 ,27.0 ,220 ,580 ,0.124 ,0.054 ,16.1 ,100 ,4.289 ,7.5 
7.3 ,8.1 ,1.6 ,6.0 ,27.4 ,2.142 ,0.135 ,4.4 ,23.6 ,110 ,13000 ,0.147 ,0.060 ,4.5 ,1600 ,92.938 ,245.0 
7.8 ,8.8 ,2.6 ,7.1 ,7.1 ,2.079 ,0.079 ,5.3 ,27.7 ,311 ,4400 ,0.037 ,0.031 ,37.8 ,540 ,7.743 ,38.6 
7.6 ,7.8 ,2.9 ,7.4 ,10.0 ,1.453 ,0.088 ,5.3 ,27.9 ,280 ,2200 ,0.055 ,0.038 ,39.9 ,170 ,6.764 ,0.0 
7.3 ,6.3 ,2.1 ,6.8 ,7.5 ,2.073 ,0.086 ,4.8 ,26.1 ,257 ,10000 ,0.156 ,0.057 ,11.7 ,4000 ,9.457 ,33.5 
7.2 ,7.3 ,3.0 ,7.5 ,40.5 ,1.919 ,0.194 ,5.0 ,26.4 ,158 ,47000 ,0.151 ,0.080 ,12.8 ,17600 ,36.604 ,36.0 
7.0 ,6.8 ,2.5 ,6.6 ,6.1 ,1.131 ,0.088 ,5.2 ,30.4 ,228 ,670 ,0.061 ,0.037 ,19.5 ,110 ,5.940 ,19.5 
7.9 ,9.5 ,5.2 ,12.1 ,11.4 ,1.024 ,0.109 ,8.2 ,30.5 ,316 ,530 ,0.011 ,0.032 ,36.9 ,255 ,7.002 ,0.0 
7.1 ,7.0 ,1.5 ,6.4 ,12.0 ,2.242 ,0.113 ,4.1 ,25.5 ,182 ,8000 ,0.124 ,0.074 ,2.7 ,2000 ,22.668 ,155.6 
7.1 ,7.6 ,1.8 ,6.5 ,6.2 ,1.737 ,0.067 ,4.9 ,23.7 ,227 ,1300 ,0.041 ,0.034 ,10.2 ,310 ,7.287 ,106.1 
7.4 ,9.2 ,3.5 ,8.8 ,14.6 ,1.546 ,0.071 ,5.9 ,22.8 ,288 ,680 ,0.016 ,0.010 ,43.8 ,360 ,5.180 ,12.5 
7.0 ,7.7 ,2.5 ,6.1 ,6.8 ,1.805 ,0.112 ,4.4 ,22.9 ,253 ,4000 ,0.118 ,0.079 ,3.0 ,700 ,10.153 ,61.0 
7.4 ,9.8 ,2.4 ,6.1 ,9.5 ,1.546 ,0.083 ,3.4 ,24.6 ,216 ,700 ,0.074 ,0.017 ,26.7 ,420 ,5.289 ,0.0 
7.4 ,7.2 ,2.6 ,6.5 ,6.7 ,1.534 ,0.069 ,4.5 ,23.2 ,370 ,540 ,0.049 ,0.023 ,18.3 ,310 ,4.517 ,4.0 
7.3 ,7.5 ,1.7 ,6.3 ,6.9 ,1.607 ,0.034 ,4.4 ,22.3 ,312 ,867 ,0.038 ,0.013 ,21.9 ,460 ,3.882 ,10.3 
7.9 ,7.9 ,1.2 ,5.4 ,4.9 ,1.828 ,0.071 ,3.9 ,19.1 ,456 ,310 ,0.071 ,0.039 ,6.3 ,180 ,4.013 ,22.5 
7.8 ,11.2 ,2.7 ,6.3 ,8.1 ,1.453 ,0.065 ,4.6 ,17.7 ,341 ,250 ,0.034 ,0.008 ,31.2 ,110 ,3.931 ,0.0 
7.2 ,10.0 ,4.3 ,7.9 ,12.7 ,1.657 ,0.088 ,5.1 ,14.0 ,368 ,8400 ,0.014 ,0.004 ,65.2 ,590 ,2.180 ,0.0 
7.3 ,9.2 ,2.6 ,6.6 ,8.9 ,1.407 ,0.066 ,4.6 ,15.1 ,297 ,4200 ,0.014 ,0.006 ,34.0 ,500 ,3.534 ,0.0 
7.0 ,10.9 ,2.0 ,5.4 ,6.8 ,2.103 ,0.100 ,4.4 ,11.4 ,353 ,8400 ,0.327 ,0.038 ,6.2 ,500 ,6.663 ,25.0 
7.6 ,10.8 ,3.5 ,5.1 ,8.4 ,1.682 ,0.065 ,4.2 ,8.5 ,320 ,6000 ,0.056 ,0.020 ,19.5 ,480 ,6.393 ,8.3 
7.5 ,12.1 ,3.9 ,6.2 ,11.5 ,2.786 ,0.143 ,5.3 ,8.5 ,267 ,13000 ,0.505 ,0.075 ,8.0 ,1720 ,8.709 ,45.7 
7.2 ,11.1 ,2.1 ,4.1 ,3.1 ,2.825 ,0.065 ,3.6 ,6.7 ,332 ,280 ,0.147 ,0.047 ,3.0 ,52 ,5.167 ,16.0 
7.3 ,10.7 ,2.6 ,4.1 ,4.7 ,3.084 ,0.058 ,3.3 ,7.0 ,376 ,920 ,0.129 ,0.023 ,4.3 ,330 ,3.674 ,7.1 
7.1 ,13.6 ,1.5 ,3.7 ,3.0 ,3.457 ,0.077 ,3.3 ,4.1 ,377 ,320 ,0.312 ,0.047 ,4.7 ,36 ,2.980 ,2.6 
7.5 ,12.2 ,1.3 ,3.0 ,4.9 ,2.918 ,0.057 ,2.9 ,3.4 ,346 ,630 ,0.059 ,0.023 ,11.1 ,290 ,2.776 ,7.5 
7.6 ,13.4 ,2.2 ,3.4 ,5.8 ,2.894 ,0.059 ,2.6 ,2.5 ,316 ,310 ,0.053 ,0.015 ,7.4 ,10 ,3.117 ,2.1 
7.3 ,9.9 ,2.2 ,4.8 ,5.4 ,3.830 ,0.074 ,3.0 ,1.8 ,321 ,380 ,0.282 ,0.022 ,41.2 ,42 ,2.371 ,15.0 
7.1 ,12.2 ,2.5 ,3.6 ,5.1 ,3.452 ,0.050 ,2.4 ,1.7 ,370 ,640 ,0.020 ,0.017 ,5.1 ,110 ,1.760 ,3.9 
8.0 ,11.7 ,2.6 ,3.9 ,5.4 ,3.407 ,0.074 ,2.3 ,3.5 ,401 ,260 ,0.296 ,0.036 ,17.0 ,72 ,2.563 ,4.5 
8.2 ,13.5 ,2.8 ,5.1 ,7.8 ,3.360 ,0.080 ,3.3 ,4.0 ,394 ,390 ,0.123 ,0.019 ,27.6 ,102 ,1.893 ,4.5 
8.4 ,15.6 ,2.9 ,5.0 ,7.5 ,2.540 ,0.066 ,3.4 ,4.2 ,355 ,170 ,0.008 ,0.005 ,33.7 ,30 ,2.518 ,2.1 
8.5 ,13.7 ,5.0 ,5.3 ,16.2 ,3.637 ,0.121 ,5.3 ,5.5 ,267 ,520 ,0.226 ,0.005 ,48.7 ,200 ,3.636 ,2.0 
8.4 ,12.9 ,4.7 ,7.3 ,15.0 ,2.422 ,0.099 ,4.8 ,5.4 ,339 ,160 ,0.021 ,0.004 ,50.7 ,52 ,1.900 ,0.0 
8.6 ,14.2 ,5.3 ,8.9 ,20.2 ,2.267 ,0.116 ,6.0 ,7.6 ,356 ,160 ,0.016 ,0.004 ,51.6 ,4 ,2.115 ,10.0 
8.7 ,15.0 ,5.2 ,7.3 ,18.1 ,1.962 ,0.093 ,6.2 ,4.9 ,423 ,107 ,0.031 ,0.005 ,125.2 ,6 ,2.401 ,0.5 
8.2 ,11.1 ,6.3 ,8.5 ,19.2 ,2.651 ,0.144 ,7.3 ,13.1 ,417 ,310 ,0.179 ,0.009 ,110.4 ,130 ,1.664 ,40.0 
8.4 ,11.6 ,7.4 ,11.6 ,25.6 ,2.024 ,0.113 ,7.8 ,10.9 ,381 ,370 ,0.078 ,0.005 ,78.3 ,245 ,1.478 ,0.2 
8.2 ,10.4 ,5.4 ,11.1 ,11.4 ,1.996 ,0.110 ,7.4 ,16.6 ,494 ,280 ,0.018 ,0.004 ,85.3 ,50 ,4.680 ,54.0 
8.4 ,11.5 ,5.1 ,8.7 ,21.9 ,1.577 ,0.091 ,4.9 ,13.1 ,355 ,260 ,0.017 ,0.002 ,75.7 ,20 ,2.592 ,0.0 
7.7 ,9.5 ,3.1 ,6.6 ,12.4 ,1.293 ,0.072 ,5.1 ,16.1 ,462 ,180 ,0.088 ,0.012 ,38.6 ,8 ,2.659 ,9.5 
7.6 ,9.2 ,2.0 ,4.7 ,14.0 ,1.140 ,0.069 ,4.1 ,16.8 ,212 ,4400 ,0.047 ,0.017 ,19.4 ,110 ,5.006 ,16.5 
7.2 ,10.4 ,4.4 ,6.3 ,13.6 ,1.177 ,0.110 ,5.2 ,16.6 ,312 ,23500 ,0.163 ,0.027 ,42.4 ,1300 ,6.397 ,15.0 
7.6 ,9.2 ,3.4 ,7.1 ,12.8 ,1.066 ,0.089 ,5.2 ,16.5 ,276 ,530 ,0.068 ,0.011 ,51.4 ,16 ,2.668 ,23.5 
7.9 ,10.1 ,5.3 ,9.4 ,19.8 ,1.739 ,0.174 ,7.0 ,20.5 ,278 ,9000 ,0.279 ,0.066 ,36.5 ,1300 ,14.102 ,27.5 
6.4 ,7.5 ,5.9 ,11.0 ,29.4 ,1.888 ,0.186 ,8.8 ,20.0 ,274 ,36500 ,0.498 ,0.041 ,22.7 ,7200 ,3.920 ,11.0 
7.3 ,7.6 ,6.1 ,9.2 ,28.2 ,2.396 ,0.204 ,8.7 ,21.6 ,276 ,12500 ,0.583 ,0.058 ,28.3 ,950 ,6.825 ,15.0 
7.2 ,5.7 ,5.0 ,9.2 ,16.3 ,2.647 ,0.204 ,8.2 ,22.6 ,290 ,2400 ,0.668 ,0.088 ,16.2 ,750 ,7.641 ,0.5 
7.4 ,7.2 ,3.5 ,7.5 ,13.5 ,2.274 ,0.135 ,7.5 ,25.0 ,296 ,3200 ,0.305 ,0.059 ,10.6 ,240 ,3.849 ,14.5 
7.4 ,7.7 ,3.3 ,8.2 ,9.0 ,2.067 ,0.093 ,7.8 ,24.1 ,245 ,3000 ,0.151 ,0.020 ,22.6 ,365 ,4.869 ,48.5 
7.3 ,5.8 ,3.7 ,8.0 ,7.0 ,2.264 ,0.118 ,8.2 ,24.2 ,333 ,1600 ,0.292 ,0.049 ,15.6 ,130 ,2.354 ,5.0 
7.4 ,6.6 ,3.9 ,8.2 ,9.4 ,1.595 ,0.109 ,7.0 ,26.6 ,302 ,150 ,0.108 ,0.037 ,25.0 ,10 ,1.923 ,4.0 
7.0 ,6.5 ,2.5 ,6.9 ,10.6 ,2.146 ,0.123 ,6.4 ,22.1 ,220 ,9600 ,0.299 ,0.065 ,10.1 ,1440 ,10.775 ,53.2 
7.5 ,7.1 ,3.1 ,6.5 ,8.4 ,1.152 ,0.081 ,4.8 ,26.8 ,223 ,4200 ,0.069 ,0.010 ,78.5 ,310 ,3.027 ,22.0 
7.2 ,7.1 ,2.6 ,7.0 ,8.4 ,2.176 ,0.123 ,5.0 ,26.9 ,178 ,98000 ,0.086 ,0.057 ,3.2 ,42000 ,12.126 ,128.6 
7.3 ,7.2 ,4.7 ,7.7 ,10.8 ,1.474 ,0.093 ,6.7 ,25.6 ,213 ,11400 ,0.049 ,0.015 ,7.1 ,290 ,3.293 ,10.1 
7.1 ,6.9 ,1.6 ,4.8 ,11.2 ,2.105 ,0.105 ,3.1 ,24.3 ,130 ,11000 ,0.239 ,0.060 ,4.0 ,1000 ,21.489 ,73.0 
7.7 ,10.7 ,1.7 ,5.2 ,5.0 ,1.345 ,0.055 ,3.6 ,26.0 ,169 ,2600 ,0.070 ,0.020 ,4.8 ,200 ,7.387 ,14.6 
7.0 ,6.7 ,1.9 ,5.8 ,24.9 ,2.268 ,0.138 ,3.6 ,22.0 ,109 ,25000 ,0.303 ,0.076 ,2.4 ,4500 ,74.545 ,205.6 
7.3 ,10.1 ,1.4 ,5.6 ,27.1 ,1.857 ,0.134 ,3.5 ,24.5 ,108 ,14500 ,0.144 ,0.071 ,3.0 ,2450 ,50.086 ,94.0 
7.4 ,8.7 ,1.2 ,4.9 ,4.5 ,1.733 ,0.070 ,3.4 ,23.2 ,231 ,8000 ,0.035 ,0.034 ,2.8 ,1400 ,10.943 ,10.0 
7.3 ,8.4 ,2.1 ,4.6 ,5.9 ,1.424 ,0.068 ,3.9 ,22.6 ,235 ,500 ,0.042 ,0.016 ,5.2 ,68 ,4.760 ,26.5 
7.4 ,8.0 ,1.5 ,4.3 ,4.8 ,1.347 ,0.070 ,3.8 ,22.8 ,256 ,2600 ,0.075 ,0.038 ,7.6 ,390 ,8.874 ,2.0 
7.2 ,8.5 ,1.3 ,4.2 ,13.9 ,1.375 ,0.065 ,3.3 ,21.7 ,216 ,330 ,0.078 ,0.034 ,2.6 ,150 ,3.652 ,0.0 
7.0 ,8.5 ,1.4 ,4.1 ,5.8 ,1.920 ,0.084 ,3.6 ,21.6 ,281 ,6300 ,0.086 ,0.055 ,0.7 ,1900 ,8.711 ,88.0 
6.8 ,10.6 ,1.5 ,5.3 ,6.1 ,1.175 ,0.052 ,3.8 ,19.2 ,218 ,6400 ,0.041 ,0.017 ,3.9 ,1120 ,6.078 ,0.0 
7.2 ,9.2 ,2.4 ,6.6 ,4.0 ,1.700 ,0.090 ,6.6 ,17.9 ,354 ,580 ,0.099 ,0.062 ,1.4 ,310 ,3.304 ,3.0 
7.4 ,8.5 ,3.0 ,5.7 ,8.2 ,1.894 ,0.084 ,4.5 ,17.6 ,283 ,23500 ,0.162 ,0.043 ,4.6 ,1650 ,9.739 ,27.0 
6.8 ,8.5 ,1.7 ,3.6 ,4.7 ,2.332 ,0.065 ,3.2 ,16.4 ,197 ,4200 ,0.136 ,0.038 ,4.7 ,340 ,5.988 ,50.5 
7.5 ,10.8 ,1.2 ,4.6 ,3.9 ,2.283 ,0.087 ,4.1 ,12.4 ,264 ,790 ,0.118 ,0.050 ,4.6 ,275 ,6.263 ,27.5 
7.3 ,11.3 ,1.4 ,4.0 ,4.3 ,1.698 ,0.053 ,3.4 ,11.7 ,241 ,600 ,0.057 ,0.016 ,7.2 ,145 ,5.449 ,0.0 
7.4 ,12.7 ,2.0 ,4.6 ,4.6 ,2.153 ,0.056 ,3.7 ,9.8 ,319 ,6200 ,0.056 ,0.022 ,9.5 ,46 ,3.023 ,3.0 
7.1 ,10.2 ,1.7 ,4.1 ,3.6 ,2.058 ,0.042 ,3.4 ,11.5 ,388 ,4000 ,0.087 ,0.022 ,11.7 ,410 ,4.479 ,0.0 
7.2 ,12.9 ,0.9 ,3.6 ,3.9 ,2.038 ,0.056 ,2.7 ,7.0 ,219 ,9200 ,0.120 ,0.039 ,3.0 ,1600 ,12.315 ,95.0 
6.7 ,12.2 ,1.0 ,4.5 ,3.2 ,2.457 ,0.038 ,3.2 ,5.2 ,324 ,680 ,0.085 ,0.026 ,1.5 ,270 ,8.535 ,10.0 
7.1 ,13.4 ,1.0 ,4.5 ,1.6 ,2.585 ,0.040 ,3.5 ,4.7 ,351 ,710 ,0.090 ,0.019 ,2.7 ,540 ,7.321 ,6.5 
7.9 ,15.8 ,1.1 ,3.7 ,2.6 ,2.925 ,0.055 ,2.8 ,3.8 ,306 ,750 ,0.254 ,0.031 ,2.8 ,100 ,8.578 ,21.5 
7.3 ,13.5 ,1.1 ,2.9 ,2.9 ,2.604 ,0.033 ,2.4 ,4.1 ,302 ,680 ,0.045 ,0.012 ,2.2 ,170 ,5.423 ,0.0 
7.1 ,16.8 ,1.4 ,3.2 ,2.5 ,2.558 ,0.033 ,2.6 ,4.7 ,319 ,130 ,0.061 ,0.013 ,4.7 ,10 ,5.548 ,12.6 
7.2 ,13.4 ,1.4 ,3.7 ,4.0 ,2.153 ,0.033 ,2.4 ,2.5 ,233 ,160 ,0.042 ,0.016 ,4.5 ,125 ,3.993 ,13.5 
7.4 ,13.8 ,1.3 ,2.8 ,4.2 ,2.722 ,0.041 ,2.6 ,3.0 ,246 ,350 ,0.080 ,0.018 ,2.8 ,70 ,4.866 ,2.0 
7.2 ,11.7 ,2.4 ,5.6 ,7.5 ,3.042 ,0.068 ,4.4 ,7.0 ,319 ,4400 ,0.420 ,0.027 ,7.5 ,350 ,5.182 ,14.5 
7.4 ,14.9 ,1.5 ,3.3 ,4.1 ,2.579 ,0.045 ,2.7 ,3.0 ,298 ,360 ,0.106 ,0.020 ,4.4 ,135 ,4.435 ,7.6 
7.2 ,13.0 ,2.0 ,3.8 ,4.6 ,2.669 ,0.053 ,3.0 ,3.0 ,355 ,1100 ,0.084 ,0.018 ,3.8 ,65 ,4.120 ,0.4 
6.9 ,12.0 ,2.2 ,3.7 ,6.1 ,2.539 ,0.056 ,2.6 ,6.2 ,337 ,8500 ,0.159 ,0.024 ,10.1 ,2800 ,6.049 ,10.5 
6.7 ,10.9 ,2.4 ,3.6 ,3.4 ,2.567 ,0.049 ,3.6 ,7.0 ,269 ,460 ,0.231 ,0.019 ,7.8 ,140 ,3.681 ,9.5 
6.8 ,12.8 ,2.2 ,3.2 ,4.1 ,2.310 ,0.046 ,3.1 ,5.1 ,330 ,460 ,0.112 ,0.015 ,5.5 ,80 ,3.891 ,4.5 
7.1 ,12.9 ,2.9 ,5.1 ,5.4 ,2.164 ,0.051 ,4.8 ,4.7 ,387 ,350 ,0.078 ,0.019 ,10.5 ,120 ,2.342 ,4.5 
8.2 ,12.0 ,3.1 ,5.9 ,11.3 ,2.179 ,0.070 ,4.2 ,7.9 ,327 ,900 ,0.086 ,0.005 ,32.8 ,210 ,1.802 ,3.5 
7.9 ,11.7 ,6.9 ,12.6 ,19.1 ,2.188 ,0.106 ,8.9 ,10.9 ,465 ,2200 ,0.031 ,0.004 ,86.3 ,370 ,2.616 ,27.5 
8.1 ,11.8 ,7.0 ,12.3 ,21.1 ,1.585 ,0.100 ,7.9 ,13.0 ,373 ,83 ,0.080 ,0.002 ,99.8 ,12 ,1.893 ,0.0 
6.7 ,9.9 ,5.1 ,8.1 ,31.8 ,2.673 ,0.192 ,5.0 ,14.2 ,254 ,13000 ,0.443 ,0.063 ,20.0 ,1060 ,10.320 ,41.5 
8.1 ,11.8 ,4.0 ,7.4 ,20.6 ,1.723 ,0.108 ,4.7 ,14.2 ,315 ,6700 ,0.036 ,0.008 ,58.2 ,350 ,7.196 ,13.5 
7.4 ,8.9 ,4.8 ,8.2 ,16.4 ,1.794 ,0.098 ,5.4 ,15.9 ,277 ,3250 ,0.110 ,0.007 ,75.6 ,130 ,3.369 ,18.5 
8.2 ,9.5 ,3.4 ,6.3 ,11.8 ,1.084 ,0.078 ,4.5 ,17.1 ,295 ,8800 ,0.042 ,0.003 ,63.5 ,100 ,2.852 ,10.5 
6.8 ,8.4 ,2.9 ,6.3 ,8.4 ,1.976 ,0.101 ,4.1 ,19.3 ,234 ,2900 ,0.406 ,0.044 ,9.5 ,360 ,7.196 ,72.6 
7.7 ,9.1 ,3.7 ,7.9 ,14.7 ,1.403 ,0.119 ,6.7 ,20.2 ,366 ,800 ,0.176 ,0.020 ,49.2 ,120 ,4.030 ,1.5 
7.2 ,7.0 ,2.5 ,6.4 ,13.7 ,1.443 ,0.110 ,5.1 ,18.4 ,201 ,520 ,0.182 ,0.048 ,16.7 ,90 ,6.381 ,13.5 
7.2 ,6.7 ,4.5 ,7.4 ,11.7 ,2.072 ,0.145 ,6.1 ,20.9 ,218 ,460 ,0.458 ,0.070 ,14.8 ,80 ,4.238 ,0.0 
6.9 ,6.3 ,4.1 ,8.5 ,15.6 ,2.377 ,0.149 ,6.6 ,22.8 ,285 ,550 ,0.315 ,0.070 ,9.1 ,36 ,5.790 ,3.5 
7.0 ,7.6 ,3.4 ,8.9 ,11.3 ,2.022 ,0.104 ,6.6 ,21.4 ,270 ,3200 ,0.177 ,0.045 ,14.8 ,1900 ,6.252 ,1.5 
7.4 ,9.8 ,5.2 ,11.1 ,18.5 ,3.032 ,0.158 ,8.4 ,23.7 ,279 ,360 ,0.618 ,0.079 ,12.6 ,95 ,4.623 ,33.7 
6.8 ,6.4 ,3.6 ,9.0 ,11.7 ,2.954 ,0.151 ,6.6 ,23.6 ,269 ,4800 ,0.355 ,0.072 ,7.9 ,480 ,4.391 ,12.5 
6.9 ,8.7 ,1.9 ,7.8 ,7.8 ,2.737 ,0.110 ,6.0 ,24.9 ,235 ,3200 ,0.150 ,0.069 ,5.6 ,150 ,3.738 ,28.8 
7.6 ,7.7 ,2.3 ,8.4 ,7.7 ,1.552 ,0.079 ,7.4 ,25.1 ,248 ,4600 ,0.068 ,0.021 ,22.9 ,150 ,7.680 ,16.3 
6.9 ,8.0 ,1.2 ,6.0 ,10.8 ,2.098 ,0.137 ,4.2 ,24.4 ,185 ,9000 ,0.115 ,0.078 ,4.1 ,1080 ,16.776 ,109.9 
7.0 ,7.7 ,2.1 ,6.2 ,8.1 ,1.400 ,0.091 ,4.5 ,27.6 ,238 ,860 ,0.004 ,0.022 ,35.9 ,120 ,3.800 ,13.7 
7.1 ,7.5 ,2.5 ,5.1 ,5.3 ,3.914 ,0.193 ,3.8 ,26.7 ,278 ,560 ,0.107 ,0.037 ,7.3 ,770 ,9.207 ,36.3 
6.9 ,7.8 ,1.6 ,5.1 ,4.9 ,1.257 ,0.090 ,3.7 ,28.4 ,224 ,820 ,0.025 ,0.042 ,7.9 ,230 ,5.542 ,4.2 
6.8 ,7.1 ,2.2 ,6.0 ,13.0 ,1.732 ,0.175 ,5.0 ,27.1 ,200 ,4000 ,0.101 ,0.068 ,10.2 ,490 ,4.525 ,42.9 
7.2 ,9.2 ,1.5 ,5.6 ,4.1 ,1.109 ,0.102 ,4.6 ,26.9 ,288 ,1180 ,0.018 ,0.032 ,12.2 ,295 ,5.312 ,29.2 
6.8 ,6.4 ,1.5 ,5.1 ,7.4 ,1.728 ,0.117 ,4.2 ,24.1 ,215 ,12500 ,0.154 ,0.058 ,3.5 ,1700 ,10.297 ,53.4 
