pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,NH3_N,PO4_P,Chl_a,log TC,log FC
7.3,10.3,15,423,6.4,10.2,16.3,9.148,0.146,5,4.589,0.083,31,4.4955,4.0925
7.3,12.7,10.3,452,7.6,11,18.6,9.071,0.321,5,4.343,0.197,86.5,5.303,5.0082
6.9,11.9,5.6,403,2.5,5,6.4,6.382,0.115,4.5,3.178,0.055,7.1,3.8376,2.1903
7.1,12.6,6.5,422,4.3,6.5,6.7,7.327,0.11,5.3,4.068,0.029,27.9,3.5653,3.0261
7.4,12,10.4,430,6.9,10,13.4,7.658,0.147,7,4.521,0.017,99.8,3.1796,1.7076
7.2,7.5,15.8,346,5.6,8.9,12.5,5.658,0.162,6.5,2.966,0.049,56,4.2495,3.0641
7,6.4,20.9,309,6.3,8.4,11.5,5.195,0.14,6.2,2.582,0.027,56.3,3.7241,2.8363
6.7,6.8,23.9,290,5.3,8.3,13.2,4.456,0.126,6.3,1.874,0.025,44.6,3.8022,2.9206
7.5,7.1,26.2,237,4.2,8.3,9.6,3.352,0.137,5.9,0.953,0.041,57,3.9357,3.2896
7.3,6.7,27.8,291,4.3,7.6,10.6,4.168,0.19,5.8,1.283,0.063,60,3.6051,3.0441
7.2,8.1,24,322,4.4,7.1,8.7,4.487,0.153,5.2,1.428,0.049,38.1,4.0315,3.4998
7,8.9,20.1,313,4.3,7.1,9.4,4.514,0.118,5.9,1.064,0.039,38.8,3.2925,2.6532
6.7,5.8,15.6,349,4.2,6.6,5.9,5.011,0.202,5.3,1.801,0.093,23,4.2946,3.6632
6.6,9.2,9,341,2.3,5.2,3.3,4.916,0.169,2.6,1.234,0.089,7.5,4.2148,3.0326
7.2,12.8,6.6,417,2.6,5.4,5.1,6.783,0.124,5.3,1.672,0.036,28.5,2.942,1.7782
7.1,12,6.9,355,3.5,5.8,8.6,5.428,0.154,5.5,1.762,0.072,20.3,3.7452,2.6646
7.2,10.4,11.6,317,4.8,7.4,19.5,4.855,0.176,6.1,1.311,0.046,46.4,3.5653,2.4116
7.2,10,16.6,284,5.4,7.9,12.8,3.833,0.137,5.9,0.889,0.025,64.3,3.7616,3.1186
6.9,9.4,21.4,287,4.5,7.6,10.1,4.087,0.14,6,1.309,0.045,65.8,3.9395,3.2704
6.9,7.2,24.3,288,4,7.8,7,4.023,0.146,7,1.365,0.068,42.4,4.0512,3.1335
6.9,6.5,26.2,230,3.9,6.9,10.7,3.277,0.166,6.2,1.072,0.085,36.7,4.4358,3.8636
6.8,4.3,29,317,4.5,8.6,9.7,3.845,0.204,7.3,1.669,0.117,61,4.0083,3.3902
7,6.8,24,276,4.1,7,9.1,3.613,0.152,5.7,1.076,0.077,49.5,4.0881,3.3375
6.5,7.1,19.5,220,3,5.9,11.8,3.153,0.192,4.6,0.807,0.126,8.4,4.5563,3.9058
7,10.8,13.2,371,3.8,6.6,8.7,5.604,0.163,5.4,1.577,0.061,48.2,3.8325,3.1511
7,10.9,8.3,428,4.1,7.3,10,6.097,0.122,6.1,1.738,0.023,46.5,3.7694,2.7364
7,13.1,6.1,432,4,7.2,9,6.447,0.114,5.7,1.892,0.019,42.9,3.1976,1.7324
7.2,13.8,7,473,5.5,9.1,14.7,7.673,0.154,7.8,3.512,0.02,69.3,3.4871,1.9085
7.5,14.8,11.1,428,6.8,12.4,16,8.267,0.121,8.8,4.164,0.018,101.4,3.7222,1.8451
6.8,10.5,16.6,369,7.3,11.7,9.9,6.152,0.159,8.7,3.048,0.044,34.2,3.4472,2.2122
7.2,8.6,21.6,445,5.9,12.6,11,7.44,0.133,9,3.606,0.038,35.2,2.3424,1.9085
7.1,8,24.1,351,6.9,14.1,13.7,4.55,0.106,10.3,1.528,0.006,55.3,2,1.716
6.4,4.6,27.2,274,3.9,9.1,10.3,3.847,0.176,7.4,1.711,0.101,20.5,3.9901,3.4571
6.6,3.3,27.5,262,3.8,8.8,13.7,4.244,0.181,6.8,2.362,0.104,13.9,4.3711,4.0645
7,8.4,23.7,272,3.7,7.9,10.5,3.163,0.105,5.9,0.858,0.039,38.9,4.0202,3.5031
7.1,8.4,18.9,388,4.9,8.3,10.1,5.166,0.091,6.6,1.926,0.031,48.9,3.317,2.7993
7.6,12.3,12.1,480,5.3,9.8,13.7,6.34,0.087,7.4,2.229,0.008,48.1,3.1176,2.2355
7.8,12.2,7.4,559,5.4,9.2,17.3,7.16,0.117,7.6,3.507,0.007,40.7,4.0837,3.0881
7.2,13.5,5.8,561,6.4,11.6,13,8.883,0.125,8.6,5.352,0.013,56.5,3.5821,2.2455
7.5,13.3,6.5,548,6.1,11.8,14.1,11.563,0.177,8.9,8.907,0.023,70,3.0473,2.1584
7.3,7.8,11.7,386,6,11.1,25.3,7.031,0.199,8.7,4.46,0.034,41.9,4.1287,3.4914
7.4,8.2,16.6,364,5.7,10.9,47.7,6.849,0.203,8.2,3.832,0.043,41.4,4.7752,4.1409
7.5,8.3,21.5,306,6.2,10.7,36.6,4.675,0.183,8.1,2.27,0.048,47.7,4.8949,4.3037
7.6,7.7,26,382,6.6,11.6,24.4,5.959,0.128,8.9,3.329,0.026,50,3.8722,3.2956
8,9.2,28.7,323,7,12.5,43.6,5.545,0.214,9,2.853,0.096,70.5,4.831,4.1704
8,9.7,29.5,343,6.7,12.9,23.2,5.043,0.227,8.9,2.788,0.09,80.1,4.5159,4.0135
7.3,6.9,24.5,294,4.8,8.7,10.3,4.876,0.19,6.7,2.516,0.108,28.5,5.0032,4.7625
7.3,8.7,18.4,336,4.9,7.9,9.5,4.942,0.158,7.4,2.397,0.07,33.8,4.4716,3.9991
7.8,9.7,13.4,415,5.1,9.7,10.6,5.688,0.209,8.6,2.488,0.066,56.9,4.6146,4.3502
7.9,11.7,8.4,466,4,8.4,9.5,6.668,0.14,8.1,2.556,0.038,62.2,4.2298,3.567
7.8,12.5,6.7,485,4.7,9,10.1,9.198,0.154,8,3.972,0.024,42,2.8633,1.5315
7.8,12.4,7.5,434,6.6,14.1,19.1,7.597,0.195,10.5,3.777,0.018,115.2,3.9151,3.073
7.8,10.4,12,454,6,12.5,12.2,8.271,0.194,9,5.145,0.027,66.7,4.3541,3.2512
8.3,9,15.3,374,6,12.9,29.8,6.569,0.358,9.1,3.919,0.098,44.2,4.8971,4.1594
7.6,8.1,20.6,349,4.8,10.3,13.3,5.09,0.197,7.7,2.642,0.045,49.6,4.7995,4.2904
7.9,6.5,24.4,325,6.4,13.5,14.3,4.433,0.2,9.2,2.53,0.037,63.8,4.2793,3.3747
7.7,5.7,26.1,257,4.1,10.2,14.9,4.12,0.163,9.3,1.928,0.079,29.9,4.7394,4.4029
7.6,7.6,28.1,273,4,10,19.7,3.918,0.181,8.6,1.575,0.063,52.4,4.7396,4.3623
7.4,7.8,24.5,243,3.8,7.1,8.8,3.411,0.129,4.9,1.138,0.073,28.4,4.715,4.2216
7.8,10.2,19.6,291,3.9,6.5,10.3,4.156,0.063,5.2,1.075,0.016,46.8,3.5119,2.946
7.7,10.3,14.9,419,5,8.5,8.7,6.361,0.086,7.7,2.714,0.053,52,3.3334,2.4771
7.7,13.1,9,480,6.1,10.5,14,7.155,0.116,8.5,2.998,0.032,70.3,4.1531,3.5008
7.9,17.2,5.4,369,1.7,5.7,3.8,5.856,0.068,2.7,2.11,0.043,11.6,3.2672,1.8513
7.4,13.1,6.3,397,3.9,6.8,8.4,6.947,0.098,3.8,2.936,0.044,39,3.1477,2.1239
8.4,12.5,10.7,367,6.2,9.8,13.6,6.171,0.119,4.5,2.744,0.039,96.9,3.2686,2.2672
7.7,9.6,16.3,311,5.1,8.8,8.5,5.165,0.102,4.7,2.464,0.041,38.5,3.3086,2.4843
8.2,10.4,22,275,6.4,10.9,11.6,3.813,0.082,4.6,1.226,0.017,66.7,3.3118,1.9191
8.3,10.5,25.6,311,5.9,10.8,13.6,4.153,0.073,6,1.602,0.011,45.1,3.8648,2.2695
7.7,7.8,25.1,205,3.8,8.9,9.2,3.044,0.114,4.9,0.712,0.067,24.4,3.942,2.7443
8,8.9,28.5,234,6,10.6,12.4,2.783,0.117,4.2,0.842,0.069,79.4,3.8146,2.6304
8,9.9,24.9,228,4.7,8.3,9.9,2.826,0.086,4.2,0.54,0.038,67.6,3.0107,2.3385
7.8,9.8,20,249,4.4,9,9.8,3.388,0.064,4.1,0.561,0.024,59.9,3.0354,2.4771
7.5,8.6,14.6,352,3.4,8.5,7.9,4.555,0.123,3.8,1.242,0.092,27.5,3.4461,2.9605
7.1,10.6,7.8,339,2.5,5.8,5,4.416,0.139,3.1,1.055,0.109,11.1,3.9112,3.0792
8.4,15.6,5.1,353,3.6,5.8,7.1,5.413,0.064,3,0.824,0.029,44.9,2.8603,1.7709
7.7,12.8,6.3,363,3.3,6.8,7.1,4.67,0.124,3.3,1.267,0.082,18.6,3.4548,2.5185
7.9,11,11.2,271,4.1,7.7,15.8,4.157,0.109,3.9,0.852,0.049,45.3,3.073,2.1553
7.6,10.3,17.2,220,4.5,7.2,13.3,3.177,0.127,5.2,0.594,0.026,41.5,3.6735,3.1723
7.3,10.5,20.5,222,5.6,8,13.4,2.951,0.139,5.2,0.414,0.048,88.7,3.256,2.3692
7,8.7,24.9,266,4.3,8.7,9.7,3.651,0.125,6.4,1.05,0.053,42.9,2.9201,2.0899
7.5,10.4,27.3,200,4.7,7.5,15.9,2.869,0.156,5.3,0.501,0.065,55.2,4.0221,3.2512
8.2,10.5,31.5,276,5.7,11.9,15.8,2.829,0.185,7.6,0.63,0.07,84.2,2.0682,1.7853
7.7,10,24.3,240,4,7.6,9.1,3.005,0.133,5.7,0.586,0.065,62,3.4213,2.959
7.2,8,19.8,192,2.5,5.8,10.6,2.63,0.165,4,0.525,0.096,7,4.2833,3.5315
7.6,12.7,13.2,333,4,6.5,7.5,4.601,0.136,4.4,1.033,0.05,57.7,3.1335,2.6253
7.7,13.1,8.3,428,4.6,7.1,8.2,5.861,0.108,5.5,1.319,0.025,57.1,3.0245,1.9294
7.8,14.4,5.3,363,4.1,6.9,8.5,5.527,0.115,5.3,1.166,0.021,68.6,2.9031,1.7404
8.1,12.1,6.4,427,5.8,8.8,13.9,6.399,0.142,6.9,2.049,0.015,97,3.29,1.8195
8.2,10.4,10.2,401,7.1,10,12.7,6.833,0.122,7.4,2.948,0.01,99.1,2.8543,2.2788
7.9,11.7,18.3,293,7.1,10.2,9.4,5.17,0.149,7.5,1.971,0.034,92.7,2.3522,1.4314
7.8,12,23.2,417,7.1,13.5,11.9,6.118,0.137,8.6,2.333,0.053,57.5,2.1644,1.5315
7.9,11.3,25.5,368,7.6,15.1,14.1,4.408,0.105,10.9,1.263,0.018,67.3,1.8865,1.1461
7.5,6.8,27,194,3.9,9.1,12.2,2.964,0.165,6.7,0.959,0.098,21.8,4.0336,3.0726
7.4,8.2,28.5,250,3.3,8.4,12.7,3.362,0.147,6.2,1.427,0.084,40.5,4.3609,3.8245
7.7,11.6,24.2,236,4.7,7.9,10.6,2.674,0.089,6.1,0.46,0.037,65.3,3.932,3.224
7.2,9.2,19.6,397,4.2,7.2,7.5,4.097,0.078,5.1,1.08,0.025,49.6,3.0043,2.5315
6.9,12.7,11.9,410,5,8.7,13.2,5.516,0.086,6.7,1.439,0.016,84.2,2.2175,1.699
7.5,12.6,6.4,486,5.9,10.2,17.3,7.135,0.147,7.9,3.026,0.019,71.8,4.238,3.6405
8,15,5.4,500,6.9,11.5,15,7.06,0.134,8.4,3.091,0.018,115.6,3.3345,1.7243
7.7,14,5.3,507,6.9,12.5,16.9,9.613,0.169,9.4,6.366,0.019,132.4,2.9085,1.0414
7.4,12,11.2,342,5.9,10.7,25.5,5.919,0.193,7.7,2.933,0.05,59.4,3.9138,3.0253
7.1,11.5,17.3,346,4.8,8.3,19,5.105,0.128,6.3,2.179,0.03,71.6,3.9027,3.1219
7,8.7,20.6,277,4.8,9.9,19.6,3.761,0.147,6.6,1.383,0.037,78.2,4.5075,3.7597
8,10.9,26.6,357,8.1,15.3,16.8,4.245,0.125,10,1.3,0.024,124.8,2.4928,2.2095
7.7,8.8,29.9,341,7.3,12.4,16,4.454,0.156,8.2,1.672,0.056,94.2,3.4071,2.9542
7.9,10.7,29.2,283,6.4,13.2,33.8,3.563,0.181,8.9,1.264,0.063,61.4,4.2437,3.6236
7.6,10.2,23.9,249,4.2,8,10.8,3.203,0.106,5.5,0.576,0.052,56.1,3.9731,3.7396
7.8,10,18.4,286,4,7.4,9.9,3.558,0.145,6.3,0.755,0.056,50.9,4.3272,3.7028
7.7,13,12.5,343,5.6,8.3,14.6,4.909,0.166,7.2,1.756,0.04,56.3,4.3761,3.6663
7.7,12.5,7,420,4.4,8.7,21.3,5.626,0.135,7.2,1.513,0.04,65.6,3.9614,3.0366
8,14.6,5,433,4.2,9.2,14.2,7.469,0.126,7.4,2.345,0.021,61.7,2.5798,1.8751
8.5,13.7,6.9,398,6.4,13.6,21.8,6.43,0.174,10.1,2.569,0.033,106.7,3.7101,2.4133
8,11.2,11.2,376,5.6,12.3,25.8,5.814,0.183,8.7,2.738,0.029,76.2,3.4735,2.4393
7.8,9.5,14.8,383,4.4,9.4,14.1,5.298,0.194,7.1,2.896,0.03,46.9,4.2723,3.489
7.6,9,19.9,340,5.8,13.2,12.9,3.962,0.184,8.9,1.938,0.041,56.3,4.4111,3.7488
7.5,8.1,23.3,307,5.9,12.5,14.6,3.317,0.15,8.1,1.516,0.025,70.8,3.6599,2.8062
7.4,8.2,25.5,202,3.5,8.3,12.8,2.78,0.124,6.4,0.751,0.067,24.7,4.2685,3.6972
7.6,8.4,26.6,284,3.8,13.1,31,3.215,0.16,9.5,1.074,0.056,63.6,4.5237,3.7634
7.4,9.4,23.1,238,4.2,6.9,9.2,3.222,0.128,5.3,0.811,0.053,42.4,4.2962,3.8585
7.8,11.2,18.1,279,4,6.9,10.6,3.441,0.075,4.9,0.551,0.03,49.4,3.7324,3.1945
7.6,11.2,12.8,399,4.8,7.6,7.8,5.353,0.08,6.5,1.583,0.029,41.4,3.1351,2.7672
8.1,12.9,8.3,432,6.2,10.2,16,6.336,0.095,7.7,2.046,0.012,70.7,3.5119,2.9269
7.7,17.6,5.3,374,2.4,5.2,5,5.869,0.071,2.9,1.901,0.039,21.6,3.2844,1.9031
7.6,14.5,6.3,336,4.6,7.5,8.2,6.715,0.076,3.7,2.553,0.015,77.5,3.1688,1.9345
8.5,13.4,10.5,374,6.5,10.6,13.9,6.56,0.084,4.8,2.783,0.011,116.3,2.8169,1.7404
8,9.6,16.3,314,5.3,9.6,9.6,4.981,0.099,4.8,2.15,0.038,63.8,3.7597,2.4082
7.8,8.7,22.1,225,4.3,9.2,8.7,3.524,0.067,4.3,1.013,0.027,29.9,3.8129,1.7404
8.3,10.3,26,314,4.5,11.1,12,3.908,0.059,5.5,1.412,0.015,31.6,3.4771,1.5563
7.7,8.5,25.5,202,4.3,10.1,10.2,3.17,0.093,5.1,0.764,0.047,30.8,3.716,2.301
8.2,10.4,28.8,220,8.5,16.4,23.6,2.623,0.123,4.3,0.536,0.055,149.6,3.937,2.1987
7.9,8.9,25.1,241,3,8.3,10,2.418,0.083,4.1,0.491,0.047,41.6,3.5072,1.9138
7.8,8.6,20.3,222,2.9,7.8,10.4,2.828,0.073,3.8,0.509,0.033,28.5,2.716,2.4082
7.5,8,14.8,346,3.2,7.6,10,4.368,0.114,3.7,1.233,0.081,24,3.3139,2.8663
7.3,12,8.2,341,2.4,6.3,6.5,4.31,0.109,3.2,0.869,0.075,18.5,3.3522,2.8921
8.3,16.5,5.7,374,4.3,7.7,11.1,5.387,0.061,3.6,0.672,0.009,85.2,3,2.2175
7.7,12.8,6.3,363,3,7,8,4.871,0.112,3.4,1.315,0.073,27.3,3.3118,2.3802
8,11.3,11.3,276,3.6,7.9,12.1,4.154,0.092,3.8,0.899,0.04,41.2,3.2524,2.3838
7.9,10.5,16.9,269,3.6,8.7,6.3,4.586,0.114,4.1,1.091,0.051,17.8,2.5119,2.0607
8.1,11.6,21,216,6,8.5,12.3,2.929,0.087,4,0.326,0.024,77.5,2.989,2.4698
8.1,10.1,25.6,271,6.2,12.3,17.2,3.651,0.133,5.1,0.913,0.048,55.4,1.9345,1.5682
8.5,14.4,28.7,192,5.5,10.5,17.9,2.492,0.098,4.1,0.185,0.05,86.9,2.2695,1.9685
8.7,11.1,30.6,261,10.9,19,38.1,2.581,0.112,6.7,0.451,0.056,152.3,2.3284,2.1673
8.1,10.1,25.7,226,3.8,10.4,9.5,2.955,0.15,4.9,0.555,0.092,31.6,2.5105,2.3483
7.3,9.7,19.2,187,2.3,6.2,7.7,2.941,0.169,3.6,0.562,0.12,13.9,3.4928,3.2984
7.8,12.1,13.5,260,3.1,5.8,7.8,4.892,0.088,3.6,0.778,0.036,42.3,2.9768,2.7404
7.8,13.4,8.6,411,2.7,5.8,5.1,6.227,0.088,3.5,1.172,0.034,25.9,3.2492,2.5185
8,15.3,6.4,380,4.5,7.4,12.9,5.143,0.077,4.2,0.819,0.018,64,3.2368,2.243
8.3,15.1,6.4,389,4.9,8.6,15.7,7.245,0.087,5.3,1.707,0.005,128.3,2.6107,2.0828
7.9,13.1,10.4,391,5,8.5,11.4,6.284,0.157,5.2,2.112,0.027,65.2,2.6415,1.8513
7.8,11.1,17.4,344,5.5,8.4,8.4,5.551,0.102,5.8,2.079,0.029,62,2.7634,1.9294
8.3,12,24,409,4.1,11.5,10.5,5.377,0.081,7.1,1.613,0.018,38.9,3.0473,1.7782
8.3,12.4,26,336,5.8,15.8,31.9,4.768,0.125,7,1.293,0.025,60.7,3.1931,2.5798
7.9,7.7,28.4,228,4.1,10.6,12.6,3.857,0.186,5.7,1.285,0.106,64.2,3.5403,3.0682
8.2,9.5,29,232,5.2,9.8,23.5,3.293,0.172,4.9,1.142,0.083,77.1,4.1004,3.9758
7.9,9,24.9,223,2.1,7.3,19,2.645,0.101,4.3,0.312,0.051,43.8,3.0273,2.7634
7.8,10.4,20,301,3.4,6.8,12.2,3.789,0.083,3.7,0.582,0.024,45.3,3.073,2.9628
7.5,11,12.7,448,3,7.7,10.7,5.276,0.066,4.2,1.108,0.007,51.9,2.9581,2.8222
7.8,14.5,6,525,5.4,9.3,16.8,7.247,0.09,5.2,2.014,0.003,103,3.1383,2.6866
8.2,14.9,5.6,437,5.8,11,18.8,7.636,0.122,5.6,2.905,0.021,129.5,3.0531,2.0792
8.3,16.1,5.5,447,4.6,9.7,13.7,9.432,0.089,5.1,5.143,0.008,64.8,2.9217,2.6232
7.6,13.1,13.1,320,5.4,10.4,24.8,6.634,0.15,5.2,3.393,0.044,60.9,3.7672,3.0017
7.7,11.4,17.4,290,5.1,8.9,28.1,5.022,0.121,4.5,1.958,0.032,52.1,4.3531,3.6537
7.6,13.4,21.7,270,5.2,9.1,20.1,3.941,0.127,5.3,1.492,0.039,97.8,3.8096,3.0022
7.7,12.4,26.7,288,5.7,11.9,21,4.233,0.153,5,1.245,0.042,68.5,3.1,1.5798
7.8,10.2,28.5,237,6.4,11.6,38.7,3.507,0.231,5.7,0.677,0.071,134.5,3.7637,3.2918
7.6,7.6,29.2,238,3.3,10.6,30.9,3.16,0.191,5.1,1.167,0.106,63.7,3.5927,3.3508
7.5,9.9,25.1,186,3,8.1,13.9,2.85,0.157,3.5,0.412,0.062,88.1,3.7684,3.576
7.9,13.8,18.6,296,3.7,7.2,18.8,3.803,0.103,4.5,0.413,0.051,98.4,3.7559,3.48
7.8,12.7,14.5,319,3.6,7,15.8,3.104,0.097,4.3,0.726,0.019,56.1,3.4717,2.7566
7.7,9.1,8.3,342,4,6.9,18,4.143,0.089,3.9,0.972,0.01,78.9,3.7364,2.7193
7.6,14.3,6.6,439,4.9,8.1,18.2,6.652,0.102,4.7,1.972,0.015,63.6,2.2967,1.5911
7.9,13.4,6.6,374,5.9,11.1,20.9,6.452,0.141,6.1,1.705,0.005,157.7,3.1461,2.0334
7.9,14,11,339,6.1,9.5,34.7,6.849,0.135,5.6,2.693,0.014,93.2,3.0881,2.3729
8,12.2,15.7,345,4.9,9.7,9.8,5.548,0.117,5.3,1.977,0.021,36.9,2.5775,1.7559
8.2,10.3,21.4,316,5.8,10.6,11.1,4.361,0.142,5.6,1.961,0.057,24.3,2.4346,2.4624
8.6,12.1,25.5,233,5.2,13.2,15,3.695,0.122,6.7,1.014,0.029,40.7,2.2945,1.5051
7.7,9.2,25.7,190,4.7,11.5,21,3.051,0.226,7.1,0.541,0.091,27.4,3.7455,3.3218
8.1,9.7,29.3,198,4.6,9.7,19.3,3.027,0.15,6.4,0.53,0.075,27.9,2.5366,2.1239
7.7,10.6,24.4,188,3.2,8.1,13.6,2.776,0.152,4,0.363,0.076,49.2,3.167,2.9015
7.9,13.1,19.2,228,1.7,6.3,9.2,3.313,0.063,3.3,0.39,0.027,24.4,3.2274,2.9395
8,12.9,14.9,365,3.5,8.5,11.5,5.21,0.068,4.1,1.118,0.011,36.9,2.8965,2.6484
7.5,13.5,7.8,433,2.8,7.1,7.3,6.414,0.102,4.1,2.181,0.051,21.3,3.601,3.2718
7,14.2,4.6,393,3.3,5.5,10.1,5.335,0.092,4.1,1.648,0.031,37.2,2.0043,1.301
7.5,16.1,5.3,387,5,7.2,13.5,6.035,0.101,5.2,2.221,0.006,84,2.617,1.3617
8.2,14.4,9.3,385,5.2,8.2,16.2,6.218,0.091,6,2.593,0.006,83.8,2.0374,0.6021
7.6,9.7,15.4,326,4.7,7.4,9.9,5.008,0.109,5.6,2.079,0.033,47.2,3.2882,1.5051
7.3,6.8,20.1,233,2.9,7.1,10.2,3.289,0.099,5.1,1.062,0.04,28.7,2.2718,1.301
7.4,6.9,24.1,306,3.8,8.8,11.3,3.855,0.095,6.7,1.412,0.02,45,2.2041,1.2304
7.8,8,25.7,210,3.1,7.7,11,2.966,0.122,5.7,0.57,0.043,32.5,3.2676,2.4456
8.1,7.7,28,261,3.6,7.7,8.9,3.023,0.133,6.1,0.647,0.052,37.5,1.7634,1.1139
7.6,8.8,24.3,258,2.9,6.9,9.9,2.776,0.103,5.2,0.459,0.035,42.2,1.6532,1.1139
7.4,8.6,19.9,217,3.2,6.2,10.4,2.916,0.104,4.9,0.52,0.038,28.1,1.9395,1.6021
7,7.5,15.6,342,3.4,6.1,6.1,4.355,0.099,5.1,0.956,0.042,30.9,2.7033,1.9638
6.8,9.9,9,298,2.7,5.5,6.7,4.391,0.14,2.9,0.84,0.052,22.9,3.1772,2.3222
8.1,15.7,5.3,362,4.2,7,12.1,4.95,0.093,6.3,0.418,0.004,107.8,2.1987,0.7782
7.4,13.9,5.7,339,3.8,6.2,12.7,4.708,0.13,5.6,0.946,0.042,51.2,2.721,2.0043
7.2,11.6,10.5,275,4.1,6.6,15.5,4.281,0.114,5.5,0.887,0.013,44.5,2.9294,2.0828
7.3,9.6,16.2,297,3.8,6.7,7.7,4.03,0.099,5.2,0.885,0.019,31.1,2.5798,1.9638
7.7,10.1,21.1,225,3.7,7.2,10.8,2.901,0.096,5.5,0.445,0.024,45.9,2.7419,1.5185
7.4,7.9,24.3,283,3.3,8.2,11.1,3.753,0.12,6.8,1.157,0.037,35.1,2.4829,1.4771
7,6.3,25.6,182,2.5,6.1,12.5,2.488,0.131,5.3,0.475,0.065,16.6,3.5064,2.1673
7.3,4.7,29.4,283,2.8,8.2,7.4,2.528,0.128,6.8,0.785,0.078,14.9,2.2148,1.2788
7.2,7.4,24.1,224,3.1,7.4,9.1,2.82,0.141,6,0.672,0.082,31.9,3.1335,2.6656
6.6,7.5,19.5,194,2.9,6,12.9,2.841,0.17,4.3,0.622,0.098,11.2,4.0978,3.415
7,10.7,13.5,306,3.5,6.1,8.9,4.171,0.098,4.4,0.622,0.019,31.8,2.6021,1.7324
6.9,11.2,7.4,379,3,5.9,6.4,5.176,0.082,4.9,0.974,0.017,27.5,2.7284,1.5911
7.3,13.5,5.1,360,3.9,7.8,12.6,4.934,0.104,5.7,0.777,0.017,70.6,2.1004,1.301
7.7,15.4,5.3,424,6.3,10.9,21.5,6.062,0.111,7.6,1.212,0.012,98.2,2.5441,0.4771
7.7,13.5,9.2,382,4.9,9.2,11.2,5.89,0.092,6.6,1.932,0.017,31,2.3617,0.699
7.1,10.9,15.5,358,5.2,9.2,8.7,5.514,0.094,7,2.329,0.016,61.1,1.6812,0.301
7.4,9.4,20.7,379,3.5,10.4,7.1,4.829,0.07,7.5,1.515,0.02,20.2,1.9685,0
7.4,8.3,24.2,374,5.9,14.8,12.9,3.992,0.079,10.4,1.02,0.007,34,0.7782,0
6.7,5.5,27.1,251,3.1,8.9,11.6,3.294,0.145,7,1.163,0.079,14.4,2.5866,2.1553
7,7.3,27.8,203,4.3,10.2,16.3,2.368,0.134,7.6,0.517,0.065,21,4.3618,3.0781
7.4,10.3,23.9,189,4.9,10.1,19.9,2.228,0.147,6.4,0.12,0.046,50,3.9244,2.3404
7.2,8.7,18.9,283,3.8,7.3,13.7,3.108,0.081,5.6,0.677,0.015,35.1,2.4983,1.5441
7.5,10,11.8,405,3.6,8.3,14.4,4.797,0.093,6.5,1.147,0.019,16.5,2.1903,1.2304
7.6,13.1,5.4,531,4.1,8.4,11.4,6.218,0.077,6.3,1.854,0.01,27.6,2.0334,1.415
8.1,15.1,4.3,490,6.5,11.8,19.2,6.771,0.137,9,2.66,0.021,102.7,2.4654,0.9542
8.5,15,4.2,489,5.5,10.3,12.4,7.686,0.111,7.7,4.539,0.015,48.3,1.6128,0.7782
7.6,9.9,11,409,5,9.8,27.3,6.632,0.152,7.3,3.478,0.038,24.7,3.699,2.8021
8.2,10.6,16.4,282,4.8,8.6,18.6,4.52,0.1,6.3,1.629,0.023,53.3,2.9685,2.2201
7.7,7.6,20.8,297,5.2,9.6,18,3.909,0.104,7,1.546,0.026,59.7,2.9566,2.238
7.9,5.1,25.4,339,4,11.8,10.4,3.897,0.085,8.6,1.318,0.023,26.2,0.9542,0.6021
8.3,7,28.4,264,5.3,10.9,22.9,2.975,0.125,7.7,0.515,0.066,41.9,3.7642,3.1011
7.7,6.1,28.9,275,3.9,12,29.9,2.8,0.188,8.3,0.991,0.082,30.3,4.1775,3.2973
7.5,8,23.6,219,4.6,9.8,14,2.537,0.101,6.6,0.256,0.046,51.7,3.5079,2.5658
8.2,11.2,18.3,258,3.8,7.7,21,2.975,0.116,6.8,0.206,0.034,53.9,3.3002,2.6937
8.1,12.8,12.2,357,5.5,10.8,32.3,4.056,0.176,8.6,0.88,0.028,82.9,3.7222,2.8376
8.4,14.9,7,419,5,11.6,26,5.522,0.176,8.9,1.429,0.028,92,3.5428,2.4771
8.5,16,4.8,448,5.3,11.1,25.2,7.198,0.145,8.9,1.775,0.013,93.6,2.3385,1.3222
8.8,16.1,6.3,405,7.1,15.4,31.2,6.292,0.197,11.5,2.299,0.014,134.2,3.0022,1.2788
8.7,13.3,11,404,6.8,14.2,24,6.492,0.192,9.2,2.755,0.013,90.4,3.2055,2.1523
8.4,8.8,14.3,341,4.5,9.7,9,4.441,0.156,7.1,2.08,0.029,46.4,2.29,1.415
7.4,7,20.4,314,4.2,10,13.3,3.878,0.149,7.2,2.154,0.044,36,2.4346,2.1703
8,8,23.8,271,6.3,13.3,19.9,2.811,0.132,9.1,1.181,0.017,59,2.2742,1.3802
7.8,6.2,24.9,178,3.8,9.4,21.1,2.46,0.118,8.5,0.421,0.053,25.5,3.812,3.2711
7.9,7.9,28.8,206,3.7,9.7,23.7,2.128,0.142,8.7,0.347,0.065,53.7,3.8879,3.3355
7.7,8.3,24.1,198,3.8,7.2,13.8,2.608,0.137,4.9,0.339,0.07,30.2,3.9053,3.2945
8.3,11,19.6,240,3.5,6.2,8.9,3.111,0.068,4.6,0.181,0.024,34.1,3.5712,2.7404
