p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,,,,,
7.1 ,11.7 ,3.9 ,6.9 ,7.2 ,3.363 ,0.037 ,3.1 ,21.3 ,255 ,1560 ,0.480 ,0.003 ,43.2 ,220 ,20.917 ,,,,,
7.2 ,11.4 ,4.8 ,7.2 ,9.3 ,4.395 ,0.045 ,4.6 ,18.7 ,297 ,555 ,0.342 ,0.005 ,86.9 ,135 ,10.396 ,,,,,
7.1 ,7.2 ,4.0 ,6.8 ,12.8 ,3.637 ,0.165 ,4.1 ,17.2 ,192 ,10000 ,1.230 ,0.117 ,16.0 ,7700 ,15.076 ,,,,,
6.9 ,7.5 ,2.3 ,5.9 ,6.8 ,2.606 ,0.103 ,3.6 ,16.5 ,208 ,3000 ,0.516 ,0.080 ,12.4 ,600 ,17.625 ,,,,,
7.2 ,8.1 ,3.5 ,7.4 ,4.2 ,5.749 ,0.137 ,5.2 ,15.0 ,338 ,6200 ,2.077 ,0.101 ,21.0 ,890 ,10.819 ,,,,,
7.2 ,8.9 ,3.2 ,6.4 ,5.2 ,5.598 ,0.086 ,3.8 ,14.2 ,374 ,2600 ,1.214 ,0.049 ,24.1 ,390 ,22.882 ,,,,,
7.3 ,7.7 ,3.0 ,6.7 ,6.1 ,4.876 ,0.154 ,3.8 ,10.8 ,315 ,9000 ,1.858 ,0.116 ,14.1 ,830 ,20.993 ,,,,,
7.5 ,11.7 ,2.3 ,5.8 ,5.9 ,5.090 ,0.071 ,3.3 ,9.3 ,378 ,6200 ,1.576 ,0.027 ,14.8 ,120 ,14.854 ,,,,,
7.6 ,11.1 ,2.7 ,6.4 ,7.1 ,5.902 ,0.080 ,3.6 ,8.1 ,283 ,1320 ,1.664 ,0.024 ,23.9 ,80 ,13.771 ,,,,,
7.1 ,11.6 ,4.5 ,7.4 ,8.1 ,5.557 ,0.186 ,3.9 ,4.5 ,420 ,15200 ,2.011 ,0.098 ,14.0 ,520 ,15.264 ,,,,,
7.3 ,11.1 ,3.4 ,6.4 ,14.6 ,4.011 ,0.117 ,3.8 ,6.8 ,324 ,12400 ,1.011 ,0.075 ,6.0 ,9400 ,32.285 ,,,,,
7.1 ,14.4 ,3.3 ,6.1 ,8.2 ,5.258 ,0.165 ,3.3 ,3.7 ,335 ,16400 ,2.019 ,0.105 ,3.5 ,1300 ,19.292 ,,,,,
7.1 ,10.8 ,3.1 ,6.4 ,4.6 ,6.424 ,0.159 ,4.2 ,3.1 ,439 ,6200 ,2.578 ,0.112 ,4.1 ,280 ,15.764 ,,,,,
7.3 ,11.7 ,3.0 ,6.5 ,3.0 ,7.325 ,0.123 ,4.6 ,3.4 ,442 ,3800 ,3.473 ,0.083 ,4.9 ,24 ,12.694 ,,,,,
6.6 ,12.2 ,3.6 ,7.2 ,4.5 ,7.663 ,0.133 ,4.7 ,4.3 ,433 ,1400 ,3.612 ,0.086 ,12.1 ,32 ,12.528 ,,,,,
7.1 ,10.6 ,4.1 ,8.2 ,10.4 ,7.319 ,0.172 ,5.6 ,5.9 ,398 ,13200 ,3.977 ,0.107 ,17.3 ,1100 ,25.750 ,,,,,
7.3 ,13.1 ,3.7 ,8.5 ,6.5 ,5.817 ,0.112 ,4.8 ,3.3 ,374 ,6200 ,2.518 ,0.078 ,23.0 ,114 ,16.792 ,,,,,
7.2 ,9.9 ,4.9 ,5.9 ,16.0 ,4.813 ,0.168 ,5.3 ,5.8 ,249 ,74000 ,1.863 ,0.125 ,5.8 ,7400 ,56.590 ,,,,,
7.2 ,11.9 ,4.1 ,7.2 ,8.4 ,5.590 ,0.152 ,4.4 ,3.2 ,294 ,15000 ,2.679 ,0.109 ,2.6 ,1500 ,20.486 ,,,,,
7.2 ,10.8 ,2.2 ,5.8 ,4.5 ,5.937 ,0.131 ,4.0 ,5.3 ,305 ,10400 ,2.963 ,0.085 ,4.1 ,60 ,26.243 ,,,,,
7.2 ,11.5 ,1.8 ,5.7 ,4.0 ,4.445 ,0.090 ,3.8 ,5.6 ,274 ,4800 ,2.083 ,0.056 ,5.5 ,6 ,20.458 ,,,,,
7.2 ,13.5 ,5.7 ,10.5 ,11.3 ,6.290 ,0.208 ,6.5 ,9.2 ,376 ,1300 ,3.452 ,0.013 ,96.4 ,10 ,10.118 ,,,,,
8.2 ,14.7 ,6.5 ,12.9 ,11.2 ,8.265 ,0.180 ,7.0 ,13.3 ,386 ,9200 ,4.130 ,0.009 ,80.7 ,360 ,9.500 ,,,,,
7.1 ,8.8 ,6.7 ,11.3 ,37.0 ,3.866 ,0.169 ,5.7 ,13.2 ,210 ,76000 ,1.128 ,0.100 ,23.6 ,18000 ,93.500 ,,,,,
7.6 ,12.6 ,3.9 ,6.9 ,8.0 ,5.522 ,0.113 ,5.3 ,12.9 ,300 ,1400 ,2.874 ,0.048 ,46.9 ,132 ,15.521 ,,,,,
7.6 ,12.9 ,5.5 ,9.4 ,13.0 ,7.772 ,0.074 ,6.0 ,13.4 ,362 ,680 ,4.561 ,0.008 ,64.0 ,26 ,11.896 ,,,,,
8.0 ,10.0 ,5.4 ,8.9 ,12.5 ,6.291 ,0.118 ,5.7 ,12.0 ,327 ,4900 ,3.538 ,0.037 ,77.4 ,520 ,15.924 ,,,,,
7.8 ,11.8 ,5.9 ,12.2 ,11.9 ,7.963 ,0.071 ,5.5 ,15.4 ,393 ,130 ,4.079 ,0.004 ,84.9 ,2 ,10.493 ,,,,,
7.1 ,5.5 ,3.6 ,8.1 ,2.9 ,6.978 ,0.138 ,5.4 ,17.3 ,369 ,19000 ,4.046 ,0.082 ,7.7 ,3100 ,20.597 ,,,,,
8.4 ,16.3 ,5.1 ,11.8 ,7.8 ,5.416 ,0.054 ,6.0 ,20.3 ,323 ,450 ,2.892 ,0.006 ,48.8 ,52 ,10.931 ,,,,,
8.1 ,10.4 ,7.6 ,14.7 ,12.0 ,5.801 ,0.162 ,6.5 ,23.2 ,349 ,10000 ,3.281 ,0.077 ,96.1 ,550 ,4.778 ,,,,,
7.6 ,8.4 ,6.5 ,12.0 ,13.1 ,5.975 ,0.316 ,7.4 ,22.8 ,354 ,9400 ,3.730 ,0.228 ,101.0 ,1400 ,20.764 ,,,,,
7.2 ,5.7 ,6.2 ,12.1 ,11.2 ,6.853 ,0.435 ,6.7 ,22.2 ,394 ,14600 ,4.780 ,0.387 ,40.7 ,2200 ,90.500 ,,,,,
7.1 ,8.9 ,5.8 ,11.7 ,12.5 ,5.311 ,0.149 ,6.1 ,23.0 ,270 ,11200 ,2.027 ,0.087 ,87.3 ,1850 ,23.375 ,,,,,
7.5 ,8.3 ,5.3 ,10.7 ,11.8 ,5.578 ,0.151 ,6.2 ,25.5 ,329 ,5400 ,2.830 ,0.063 ,61.7 ,1700 ,22.160 ,,,,,
7.2 ,7.2 ,5.4 ,11.6 ,12.1 ,4.955 ,0.143 ,6.4 ,25.5 ,309 ,42000 ,2.427 ,0.031 ,88.7 ,19500 ,38.444 ,,,,,
7.1 ,6.3 ,4.7 ,10.6 ,10.6 ,5.391 ,0.199 ,6.9 ,25.7 ,297 ,24000 ,2.735 ,0.143 ,30.7 ,7200 ,34.938 ,,,,,
7.4 ,7.5 ,4.2 ,9.2 ,7.6 ,4.753 ,0.138 ,6.1 ,27.2 ,360 ,120 ,1.680 ,0.034 ,45.0 ,112 ,20.000 ,,,,,
7.2 ,7.6 ,2.8 ,6.0 ,26.5 ,2.614 ,0.162 ,4.2 ,23.6 ,122 ,84000 ,0.390 ,0.096 ,2.5 ,11800 ,255.464 ,,,,,
7.5 ,7.7 ,4.0 ,6.6 ,8.5 ,3.583 ,0.120 ,5.0 ,28.2 ,288 ,2100 ,0.779 ,0.058 ,38.7 ,720 ,23.654 ,,,,,
7.9 ,7.9 ,6.1 ,8.6 ,17.3 ,3.986 ,0.123 ,5.5 ,28.6 ,291 ,280 ,1.114 ,0.004 ,82.8 ,240 ,28.481 ,,,,,
7.0 ,4.8 ,4.4 ,7.1 ,11.6 ,3.479 ,0.161 ,4.9 ,27.7 ,244 ,32000 ,1.393 ,0.089 ,28.6 ,10500 ,52.021 ,,,,,
7.6 ,6.4 ,6.6 ,10.8 ,11.7 ,4.218 ,0.226 ,5.4 ,29.2 ,267 ,17000 ,1.828 ,0.118 ,98.7 ,7500 ,76.875 ,,,,,
8.5 ,8.1 ,6.3 ,11.0 ,14.8 ,3.254 ,0.208 ,6.9 ,32.5 ,270 ,700 ,1.015 ,0.094 ,70.9 ,220 ,16.368 ,,,,,
7.9 ,7.6 ,3.1 ,8.7 ,7.2 ,4.206 ,0.140 ,5.3 ,31.2 ,330 ,58 ,2.073 ,0.076 ,45.3 ,36 ,20.361 ,,,,,
6.8 ,6.1 ,1.5 ,6.6 ,8.6 ,2.698 ,0.153 ,4.2 ,26.2 ,132 ,8600 ,0.496 ,0.132 ,2.6 ,6400 ,75.507 ,,,,,
6.9 ,6.5 ,3.1 ,6.0 ,7.1 ,3.468 ,0.160 ,4.6 ,25.4 ,214 ,2267 ,0.865 ,0.088 ,41.7 ,940 ,27.792 ,,,,,
8.0 ,8.5 ,4.3 ,8.2 ,6.3 ,3.700 ,0.143 ,5.0 ,24.6 ,255 ,6400 ,0.830 ,0.023 ,81.1 ,1380 ,24.563 ,,,,,
7.1 ,6.5 ,3.1 ,5.8 ,5.7 ,2.853 ,0.164 ,4.9 ,24.5 ,191 ,15400 ,0.741 ,0.115 ,24.1 ,8400 ,32.972 ,,,,,
9.0 ,12.5 ,5.2 ,7.9 ,7.5 ,3.481 ,0.107 ,4.2 ,26.6 ,267 ,105 ,0.584 ,0.013 ,50.4 ,62 ,19.139 ,,,,,
7.6 ,7.9 ,4.7 ,7.1 ,7.2 ,3.941 ,0.069 ,4.7 ,23.3 ,324 ,1500 ,0.793 ,0.010 ,48.2 ,200 ,19.882 ,,,,,
7.1 ,9.8 ,3.5 ,7.0 ,8.2 ,4.705 ,0.063 ,4.5 ,22.6 ,346 ,933 ,1.097 ,0.003 ,69.0 ,182 ,23.292 ,,,,,
7.0 ,8.4 ,3.6 ,6.9 ,13.8 ,5.654 ,0.164 ,5.1 ,21.8 ,348 ,4200 ,1.821 ,0.060 ,44.0 ,690 ,15.771 ,,,,,
7.6 ,10.9 ,4.0 ,8.3 ,8.7 ,5.818 ,0.077 ,5.1 ,19.1 ,360 ,75 ,0.987 ,0.006 ,83.2 ,44 ,14.750 ,,,,,
8.2 ,10.6 ,4.3 ,7.5 ,10.1 ,5.489 ,0.059 ,5.2 ,16.6 ,406 ,160 ,1.032 ,0.001 ,57.1 ,50 ,10.667 ,,,,,
7.3 ,9.8 ,4.5 ,6.9 ,9.0 ,6.775 ,0.093 ,4.8 ,16.9 ,429 ,125 ,1.276 ,0.004 ,56.5 ,80 ,11.549 ,,,,,
7.9 ,10.0 ,5.4 ,7.0 ,12.9 ,4.924 ,0.110 ,5.2 ,13.7 ,380 ,6400 ,1.184 ,0.015 ,35.5 ,640 ,14.222 ,,,,,
7.8 ,12.0 ,7.4 ,7.8 ,13.5 ,5.523 ,0.108 ,5.6 ,11.6 ,533 ,4400 ,1.381 ,0.002 ,92.8 ,480 ,16.299 ,,,,,
7.7 ,9.9 ,6.6 ,7.2 ,20.5 ,6.671 ,0.153 ,5.8 ,9.8 ,192 ,68000 ,1.391 ,0.104 ,17.4 ,8400 ,24.535 ,,,,,
7.2 ,10.1 ,4.9 ,6.8 ,5.9 ,5.604 ,0.211 ,5.2 ,8.0 ,449 ,7000 ,2.091 ,0.147 ,16.2 ,900 ,18.083 ,,,,,
7.5 ,10.7 ,4.8 ,6.0 ,7.1 ,6.198 ,0.097 ,4.8 ,8.7 ,480 ,5800 ,2.279 ,0.020 ,19.4 ,1300 ,11.993 ,,,,,
7.4 ,12.1 ,3.6 ,6.6 ,5.8 ,7.072 ,0.116 ,5.4 ,7.2 ,478 ,1440 ,2.351 ,0.048 ,9.6 ,68 ,15.000 ,,,,,
7.4 ,11.9 ,2.9 ,6.9 ,5.8 ,7.303 ,0.086 ,5.0 ,6.3 ,483 ,260 ,2.499 ,0.014 ,3.3 ,6 ,14.826 ,,,,,
7.3 ,14.7 ,3.3 ,6.7 ,6.9 ,7.827 ,0.088 ,4.8 ,6.2 ,429 ,480 ,3.600 ,0.007 ,12.0 ,12 ,12.069 ,,,,,
7.5 ,12.2 ,3.7 ,6.9 ,6.9 ,8.551 ,0.077 ,4.6 ,5.2 ,492 ,230 ,3.564 ,0.003 ,32.6 ,6 ,10.958 ,,,,,
7.7 ,14.8 ,3.9 ,7.0 ,9.7 ,8.706 ,0.093 ,5.4 ,5.3 ,514 ,210 ,4.607 ,0.006 ,28.3 ,18 ,11.271 ,,,,,
7.6 ,11.4 ,4.5 ,7.4 ,8.8 ,9.274 ,0.112 ,4.4 ,6.3 ,503 ,460 ,4.593 ,0.006 ,32.1 ,8 ,11.167 ,,,,,
7.5 ,12.2 ,7.8 ,9.5 ,21.9 ,9.890 ,0.180 ,7.1 ,8.0 ,508 ,560 ,5.093 ,0.023 ,73.5 ,94 ,8.896 ,,,,,
7.8 ,11.5 ,7.4 ,9.2 ,13.0 ,10.957 ,0.133 ,6.3 ,6.0 ,473 ,370 ,6.012 ,0.006 ,79.1 ,36 ,8.882 ,,,,,
7.5 ,12.9 ,5.4 ,10.2 ,11.9 ,9.746 ,0.117 ,7.9 ,7.7 ,430 ,420 ,6.276 ,0.007 ,52.9 ,12 ,9.646 ,,,,,
7.6 ,12.5 ,5.4 ,10.8 ,13.5 ,9.186 ,0.106 ,7.3 ,8.5 ,517 ,590 ,5.810 ,0.002 ,24.2 ,32 ,9.993 ,,,,,
7.0 ,9.1 ,5.1 ,9.4 ,9.0 ,9.795 ,0.137 ,7.4 ,10.2 ,526 ,5200 ,6.980 ,0.018 ,21.5 ,108 ,9.549 ,,,,,
7.8 ,11.9 ,8.3 ,11.9 ,13.7 ,9.205 ,0.252 ,9.7 ,8.8 ,509 ,267 ,5.607 ,0.067 ,66.8 ,44 ,10.306 ,,,,,
7.3 ,7.8 ,7.3 ,8.3 ,11.5 ,5.368 ,0.210 ,7.7 ,11.1 ,363 ,14000 ,2.849 ,0.042 ,33.8 ,720 ,13.715 ,,,,,
8.2 ,12.2 ,7.2 ,12.9 ,10.1 ,6.823 ,0.129 ,8.7 ,11.6 ,428 ,690 ,3.686 ,0.031 ,91.0 ,44 ,9.028 ,,,,,
7.1 ,4.6 ,7.3 ,8.3 ,22.0 ,5.182 ,0.243 ,6.1 ,15.9 ,348 ,7800 ,2.853 ,0.121 ,24.5 ,230 ,17.458 ,,,,,
7.7 ,8.7 ,5.4 ,6.5 ,7.6 ,5.486 ,0.103 ,5.2 ,14.7 ,397 ,630 ,2.632 ,0.012 ,51.1 ,30 ,9.694 ,,,,,
7.4 ,9.5 ,9.0 ,10.7 ,9.0 ,6.809 ,0.078 ,6.8 ,16.8 ,456 ,760 ,3.089 ,0.011 ,52.7 ,325 ,10.743 ,,,,,
7.3 ,7.1 ,8.1 ,11.4 ,15.8 ,6.394 ,0.138 ,7.8 ,17.3 ,490 ,5000 ,3.026 ,0.017 ,76.7 ,260 ,11.424 ,,,,,
7.5 ,7.7 ,5.4 ,8.4 ,7.7 ,6.135 ,0.117 ,6.7 ,18.0 ,446 ,25000 ,3.252 ,0.035 ,58.6 ,4400 ,25.688 ,,,,,
7.6 ,9.9 ,5.2 ,7.3 ,9.0 ,4.673 ,0.107 ,6.4 ,18.7 ,388 ,280 ,1.745 ,0.023 ,46.4 ,32 ,11.410 ,,,,,
7.6 ,10.0 ,7.7 ,10.6 ,21.9 ,5.829 ,0.161 ,8.3 ,19.9 ,422 ,35500 ,2.871 ,0.014 ,91.2 ,5200 ,63.917 ,,,,,
7.8 ,8.5 ,6.1 ,11.0 ,12.1 ,4.720 ,0.120 ,7.8 ,22.1 ,359 ,350 ,1.670 ,0.014 ,64.0 ,46 ,22.201 ,,,,,
7.3 ,10.8 ,7.0 ,11.0 ,18.5 ,5.001 ,0.207 ,6.9 ,22.8 ,359 ,1400 ,2.336 ,0.046 ,85.2 ,55 ,10.792 ,,,,,
7.5 ,7.6 ,4.7 ,9.1 ,13.4 ,4.482 ,0.156 ,8.1 ,24.1 ,362 ,180 ,1.999 ,0.030 ,74.9 ,30 ,24.229 ,,,,,
8.0 ,9.8 ,5.1 ,9.1 ,13.1 ,4.082 ,0.101 ,7.6 ,24.6 ,273 ,230 ,1.191 ,0.006 ,62.7 ,50 ,18.785 ,,,,,
8.2 ,11.2 ,5.2 ,8.6 ,11.2 ,5.045 ,0.128 ,7.2 ,24.7 ,322 ,8200 ,2.748 ,0.041 ,50.8 ,1120 ,13.174 ,,,,,
7.4 ,8.7 ,5.3 ,11.0 ,16.1 ,5.687 ,0.111 ,9.3 ,25.2 ,394 ,400 ,2.818 ,0.007 ,53.3 ,50 ,15.688 ,,,,,
8.3 ,10.3 ,5.8 ,10.9 ,11.3 ,5.605 ,0.167 ,6.4 ,26.3 ,378 ,50 ,2.849 ,0.043 ,69.3 ,8 ,9.431 ,,,,,
7.0 ,3.5 ,6.1 ,9.6 ,12.9 ,4.263 ,0.245 ,7.7 ,23.4 ,321 ,26500 ,2.056 ,0.110 ,64.4 ,7000 ,50.806 ,,,,,
7.7 ,8.4 ,5.4 ,9.5 ,8.5 ,4.986 ,0.196 ,6.4 ,26.8 ,318 ,620 ,2.811 ,0.095 ,50.2 ,80 ,17.271 ,,,,,
7.1 ,5.9 ,2.0 ,6.8 ,14.6 ,2.624 ,0.173 ,4.3 ,25.6 ,151 ,22000 ,0.390 ,0.123 ,7.4 ,5800 ,53.208 ,,,,,
8.1 ,7.5 ,6.7 ,10.2 ,16.6 ,4.568 ,0.159 ,6.7 ,28.0 ,307 ,340 ,1.448 ,0.018 ,99.5 ,180 ,171.278 ,,,,,
7.0 ,7.6 ,3.8 ,6.2 ,9.0 ,3.153 ,0.217 ,4.5 ,25.0 ,176 ,47000 ,1.175 ,0.151 ,7.3 ,20500 ,88.299 ,,,,,
7.5 ,7.3 ,5.2 ,9.0 ,15.0 ,3.021 ,0.144 ,5.0 ,26.5 ,214 ,5800 ,0.507 ,0.007 ,41.4 ,1950 ,25.708 ,,,,,
7.2 ,7.8 ,2.9 ,6.1 ,51.7 ,2.423 ,0.232 ,4.0 ,22.9 ,98 ,150000 ,0.341 ,0.088 ,1.8 ,56000 ,249.299 ,,,,,
6.7 ,7.1 ,2.7 ,6.6 ,43.1 ,2.315 ,0.285 ,4.5 ,23.1 ,120 ,126000 ,0.313 ,0.119 ,3.2 ,34000 ,258.653 ,,,,,
7.5 ,8.0 ,3.9 ,6.3 ,7.7 ,3.408 ,0.135 ,3.7 ,24.7 ,218 ,20000 ,0.660 ,0.055 ,12.0 ,6100 ,30.326 ,,,,,
7.2 ,8.2 ,4.2 ,6.5 ,8.7 ,3.942 ,0.132 ,5.4 ,25.5 ,301 ,1100 ,1.087 ,0.024 ,22.4 ,120 ,15.132 ,,,,,
7.5 ,10.3 ,4.9 ,8.1 ,6.8 ,4.355 ,0.117 ,6.0 ,25.0 ,317 ,8600 ,1.392 ,0.029 ,20.6 ,2250 ,26.243 ,,,,,
7.7 ,11.4 ,3.9 ,6.6 ,11.1 ,3.543 ,0.083 ,5.4 ,23.8 ,314 ,200 ,0.402 ,0.014 ,44.3 ,55 ,23.563 ,,,,,
6.9 ,4.9 ,4.3 ,7.6 ,8.5 ,3.789 ,0.175 ,5.2 ,23.3 ,258 ,6400 ,1.129 ,0.109 ,9.1 ,2450 ,24.319 ,,,,,
7.9 ,13.8 ,5.0 ,7.1 ,13.2 ,3.698 ,0.118 ,4.6 ,21.8 ,324 ,1120 ,0.436 ,0.015 ,27.0 ,740 ,22.569 ,,,,,
7.4 ,10.1 ,3.9 ,5.9 ,9.8 ,3.808 ,0.075 ,5.0 ,20.1 ,344 ,740 ,0.407 ,0.015 ,4.6 ,400 ,10.681 ,,,,,
7.4 ,7.6 ,5.0 ,7.3 ,7.4 ,6.241 ,0.093 ,5.2 ,19.2 ,420 ,64000 ,1.622 ,0.029 ,5.8 ,31500 ,31.993 ,,,,,
6.7 ,6.7 ,3.8 ,7.1 ,7.7 ,3.285 ,0.158 ,5.0 ,17.9 ,238 ,7200 ,0.961 ,0.107 ,11.1 ,1260 ,21.250 ,,,,,
7.5 ,7.6 ,3.9 ,6.1 ,11.1 ,3.597 ,0.137 ,4.9 ,14.8 ,279 ,13400 ,0.937 ,0.052 ,39.4 ,2000 ,19.243 ,,,,,
7.6 ,13.6 ,4.3 ,7.4 ,13.5 ,4.530 ,0.113 ,4.9 ,14.2 ,377 ,4400 ,0.788 ,0.006 ,70.8 ,560 ,14.819 ,,,,,
7.6 ,13.5 ,4.9 ,6.6 ,11.3 ,5.628 ,0.091 ,5.1 ,11.9 ,392 ,3800 ,1.475 ,0.018 ,50.4 ,1000 ,14.347 ,,,,,
7.0 ,11.1 ,3.1 ,5.9 ,5.7 ,6.013 ,0.057 ,4.5 ,12.1 ,392 ,550 ,1.959 ,0.017 ,28.6 ,30 ,113.417 ,,,,,
7.2 ,7.8 ,2.8 ,5.0 ,6.0 ,4.238 ,0.174 ,4.6 ,9.7 ,302 ,36000 ,1.671 ,0.129 ,5.4 ,9000 ,34.951 ,,,,,
6.7 ,9.7 ,3.9 ,5.1 ,6.1 ,4.671 ,0.169 ,4.0 ,6.8 ,402 ,38500 ,1.944 ,0.149 ,2.2 ,10800 ,26.014 ,,,,,
7.2 ,10.6 ,1.8 ,3.7 ,4.3 ,5.702 ,0.069 ,3.7 ,6.0 ,442 ,10000 ,2.118 ,0.050 ,3.6 ,1500 ,22.833 ,,,,,
6.0 ,9.7 ,3.1 ,5.4 ,5.8 ,5.589 ,0.141 ,4.4 ,5.2 ,472 ,27500 ,2.327 ,0.076 ,2.8 ,9000 ,27.410 ,,,,,
7.3 ,11.8 ,2.7 ,4.8 ,3.0 ,6.349 ,0.076 ,4.3 ,5.8 ,464 ,2100 ,2.308 ,0.033 ,2.8 ,50 ,20.778 ,,,,,
7.0 ,12.8 ,2.3 ,4.8 ,4.9 ,6.082 ,0.080 ,4.0 ,5.3 ,445 ,5400 ,2.699 ,0.047 ,3.3 ,150 ,24.083 ,,,,,
7.0 ,11.5 ,2.4 ,4.1 ,9.4 ,5.434 ,0.083 ,3.9 ,4.8 ,380 ,750 ,2.181 ,0.037 ,5.5 ,20 ,19.903 ,,,,,
7.0 ,12.9 ,2.0 ,4.6 ,5.5 ,6.066 ,0.111 ,4.4 ,5.3 ,373 ,370 ,3.347 ,0.026 ,7.7 ,8 ,14.486 ,,,,,
6.4 ,10.3 ,3.3 ,6.5 ,5.9 ,7.946 ,0.185 ,5.5 ,7.1 ,414 ,21000 ,4.486 ,0.110 ,12.0 ,440 ,24.049 ,,,,,
7.1 ,12.0 ,2.7 ,5.3 ,5.4 ,6.608 ,0.089 ,4.6 ,5.5 ,417 ,900 ,3.309 ,0.026 ,15.3 ,10 ,16.681 ,,,,,
7.3 ,15.3 ,3.9 ,6.6 ,6.3 ,7.318 ,0.109 ,5.3 ,5.3 ,444 ,600 ,4.331 ,0.028 ,21.6 ,6 ,15.000 ,,,,,
6.9 ,11.7 ,4.4 ,6.8 ,7.0 ,8.493 ,0.118 ,5.5 ,7.1 ,424 ,7600 ,4.888 ,0.037 ,28.8 ,4200 ,23.139 ,,,,,
7.2 ,11.3 ,6.0 ,7.2 ,8.2 ,6.890 ,0.122 ,5.9 ,8.2 ,401 ,5600 ,3.745 ,0.026 ,45.9 ,32 ,17.472 ,,,,,
6.8 ,12.7 ,6.0 ,7.2 ,10.2 ,8.549 ,0.136 ,6.2 ,8.0 ,430 ,1240 ,5.286 ,0.023 ,55.4 ,90 ,17.618 ,,,,,
7.3 ,13.8 ,6.8 ,8.5 ,13.9 ,8.130 ,0.157 ,6.6 ,8.3 ,442 ,780 ,4.640 ,0.017 ,91.5 ,52 ,8.521 ,,,,,
7.6 ,12.8 ,6.2 ,8.7 ,11.9 ,8.203 ,0.127 ,6.6 ,9.2 ,447 ,520 ,5.135 ,0.013 ,73.4 ,40 ,9.104 ,,,,,
7.8 ,11.2 ,7.6 ,11.6 ,18.4 ,5.516 ,0.174 ,7.5 ,13.5 ,378 ,4600 ,2.911 ,0.007 ,142.0 ,65 ,16.611 ,,,,,
7.6 ,9.4 ,7.7 ,13.8 ,12.6 ,7.894 ,0.139 ,7.9 ,13.0 ,454 ,420 ,4.631 ,0.023 ,136.8 ,8 ,10.000 ,,,,,
7.0 ,3.4 ,4.5 ,7.9 ,10.1 ,4.505 ,0.181 ,5.8 ,14.4 ,314 ,62000 ,2.515 ,0.109 ,9.1 ,4200 ,26.403 ,,,,,
7.3 ,9.0 ,6.8 ,10.4 ,19.8 ,6.181 ,0.169 ,6.7 ,15.3 ,363 ,1050 ,2.949 ,0.004 ,75.5 ,80 ,26.201 ,,,,,
7.3 ,9.1 ,6.6 ,8.9 ,11.4 ,5.778 ,0.148 ,6.5 ,15.6 ,336 ,7800 ,3.137 ,0.040 ,97.7 ,340 ,23.083 ,,,,,
7.2 ,8.3 ,4.5 ,8.4 ,8.7 ,6.166 ,0.148 ,6.9 ,18.0 ,372 ,200 ,3.262 ,0.044 ,41.5 ,16 ,12.396 ,,,,,
6.9 ,7.6 ,6.9 ,8.3 ,11.4 ,4.326 ,0.154 ,5.4 ,20.2 ,284 ,17000 ,1.892 ,0.045 ,65.7 ,1580 ,24.382 ,,,,,
6.9 ,2.6 ,4.4 ,8.2 ,8.1 ,5.088 ,0.106 ,5.8 ,19.7 ,278 ,140 ,2.276 ,0.027 ,55.4 ,24 ,24.306 ,,,,,
6.9 ,5.7 ,6.9 ,8.4 ,13.7 ,5.797 ,0.171 ,6.4 ,21.2 ,317 ,3800 ,3.463 ,0.031 ,49.0 ,1080 ,19.896 ,,,,,
7.4 ,9.7 ,6.8 ,8.6 ,12.6 ,5.569 ,0.128 ,7.0 ,22.5 ,358 ,250 ,2.695 ,0.005 ,55.1 ,60 ,8.660 ,,,,,
7.0 ,9.8 ,5.8 ,8.6 ,13.5 ,5.799 ,0.137 ,6.8 ,24.4 ,359 ,510 ,3.053 ,0.014 ,46.8 ,175 ,18.653 ,,,,,
6.8 ,8.4 ,5.7 ,8.3 ,15.8 ,5.282 ,0.127 ,6.4 ,23.5 ,356 ,400 ,2.162 ,0.005 ,56.6 ,120 ,20.764 ,,,,,
6.4 ,3.4 ,4.8 ,8.3 ,12.7 ,4.265 ,0.144 ,6.2 ,24.0 ,261 ,12600 ,2.281 ,0.055 ,15.4 ,3200 ,27.750 ,,,,,
6.3 ,5.0 ,5.1 ,8.4 ,11.6 ,3.692 ,0.120 ,6.3 ,23.5 ,244 ,15600 ,1.204 ,0.032 ,30.0 ,190 ,10.750 ,,,,,
6.8 ,7.2 ,5.1 ,7.8 ,12.3 ,3.241 ,0.104 ,5.8 ,24.0 ,231 ,2600 ,0.668 ,0.020 ,74.4 ,480 ,17.674 ,,,,,
7.7 ,9.3 ,6.9 ,10.7 ,9.9 ,4.355 ,0.128 ,7.8 ,26.0 ,267 ,270 ,1.332 ,0.013 ,82.0 ,80 ,25.708 ,,,,,
7.0 ,5.9 ,2.1 ,7.0 ,12.2 ,2.675 ,0.166 ,5.1 ,23.9 ,166 ,11600 ,0.492 ,0.106 ,8.7 ,3300 ,76.313 ,,,,,
7.6 ,6.8 ,3.3 ,8.2 ,7.7 ,3.169 ,0.119 ,5.2 ,27.0 ,239 ,620 ,0.808 ,0.016 ,69.1 ,210 ,24.035 ,,,,,
7.6 ,6.5 ,4.4 ,7.2 ,8.6 ,3.207 ,0.134 ,5.6 ,27.8 ,277 ,22000 ,1.178 ,0.028 ,68.1 ,4200 ,27.681 ,,,,,
