Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
18.8,7.5,11.4,1.1,4.3,1.6,218,1.470,0.940,0.042,0.068,0.031,2.2,3.9
18.1,7.4,12.8,0.9,3.9,2.3,256,1.365,0.821,0.024,0.070,0.023,1.6,4.4
12.8,7.1,12.9,1.7,4.4,10.5,211,4.029,3.847,0.070,0.132,0.104,8.4,4.8
14.3,7.1,10.0,1.8,6.9,3.6,284,2.444,1.379,0.187,0.130,0.060,3.4,5.9
14.4,7.3,10.4,1.5,6.1,3.6,258,2.162,0.772,0.054,0.102,0.056,2.7,5.1
8.6,6.9,12.8,1.8,4.4,2.2,262,2.251,0.864,0.010,0.052,0.021,3.7,2.4
6.1,6.9,14.9,1.0,3.6,2.5,288,2.327,2.011,0.015,0.045,0.018,2.7,1.9
7.9,7.1,13.9,1.7,4.2,4.3,266,2.612,1.936,0.000,0.084,0.020,6.5,3.3
2.8,7.4,15.3,1.5,3.9,4.2,276,2.919,2.203,0.134,0.055,0.026,4.6,3.9
2.3,7.7,12.7,4.9,11.3,33.0,224,5.420,2.380,0.675,0.334,0.170,28.4,8.5
1.7,6.4,18.2,1.3,4.6,4.1,218,3.233,2.758,0.055,0.061,0.033,4.0,4.2
4.3,7.6,15.2,1.6,5.2,6.2,303,2.998,2.068,0.081,0.066,0.027,5.5,4.6
6.5,7.5,12.7,1.1,3.8,4.2,213,2.597,2.168,0.031,0.041,0.016,4.6,3.0
7.6,7.7,13.9,2.3,4.1,6.2,229,2.934,2.492,0.094,0.111,0.075,10.2,3.6
10.9,7.2,11.2,3.1,8.6,23.3,222,2.873,2.215,0.103,0.118,0.042,12.3,6.6
6.7,6.8,13.5,1.1,6.7,5.4,206,2.309,2.060,0.021,0.042,0.015,4.6,3.6
12.4,6.9,11.9,2.4,5.4,12.6,218,2.191,1.820,0.020,0.093,0.015,21.1,5.8
12.6,7.6,12.1,2.5,6.0,16.3,236,1.556,1.089,0.018,0.085,0.013,11.1,5.2
16.3,7.7,10.1,3.5,6.7,14.1,322,2.185,1.473,0.142,0.164,0.108,14.4,5.2
17.0,7.5,9.9,2.4,5.5,17.4,129,1.617,1.056,0.030,0.096,0.023,15.7,4.6
16.2,7.1,11.5,1.8,5.9,17.2,174,1.562,1.260,0.030,0.091,0.026,5.3,5.4
15.1,7.2,10.1,2.8,9.4,50.3,163,2.542,1.702,0.087,0.250,0.077,15.9,6.5
17.6,7.1,8.1,3.9,11.0,98.2,173,2.432,1.344,0.156,0.358,0.121,8.0,8.0
17.2,7.1,9.9,3.8,9.2,50.7,209,2.267,1.418,0.169,0.287,0.114,11.1,6.6
20.5,7.1,8.4,3.8,8.9,49.8,237,1.774,0.970,0.116,0.176,0.054,13.3,6.5
20.8,7.1,7.0,8.5,12.8,72.2,195,3.063,1.097,0.543,0.369,0.128,18.2,8.6
23.8,7.2,7.0,6.6,10.9,32.8,254,2.834,1.014,0.809,0.181,0.061,12.9,8.7
22.9,6.8,7.9,3.2,8.1,26.7,256,2.818,1.339,0.300,0.149,0.063,6.4,6.9
24.5,7.1,8.2,2.1,8.4,21.0,210,2.151,1.044,0.118,0.136,0.072,5.7,7.1
25.2,6.8,6.9,2.0,10.0,36.0,232,2.101,0.899,0.390,0.178,0.063,6.3,8.3
23.6,7.2,10.1,2.1,7.7,16.9,244,2.206,1.283,0.174,0.156,0.066,2.3,7.1
24.8,6.5,7.6,2.2,6.4,24.3,172,2.322,1.355,0.063,0.141,0.078,4.0,5.1
25.1,6.7,6.5,2.6,7.7,55.9,167,2.004,1.069,0.159,0.315,0.117,14.8,6.2
26.2,7.1,8.7,1.3,7.2,13.3,199,1.450,0.916,0.020,0.136,0.074,6.5,5.3
28.7,7.6,8.0,2.6,8.1,13.5,194,1.431,0.577,0.098,0.172,0.080,15.8,6.1
29.1,7.2,8.5,1.7,6.9,9.6,179,1.193,0.514,0.062,0.136,0.088,5.7,5.4
28.7,7.5,9.4,1.6,4.8,7.2,243,1.025,0.554,0.052,0.124,0.058,4.7,5.4
28.6,7.3,7.1,1.2,7.4,10.7,147,0.859,0.417,0.048,0.108,0.067,5.1,5.2
22.9,7.5,8.4,1.2,6.3,8.4,177,0.928,0.404,0.030,0.097,0.039,2.4,5.0
24.4,7.4,7.6,1.6,6.4,12.1,185,0.803,0.359,0.040,0.086,0.046,6.0,5.7
21.3,7.1,9.7,1.6,6.2,9.2,187,2.173,1.413,0.071,0.129,0.068,3.6,4.4
24.9,7.1,9.9,1.6,5.5,6.7,230,1.513,0.953,0.056,0.131,0.056,4.1,4.3
20.4,7.7,7.5,5.2,26.9,482.3,113,4.523,1.842,0.141,0.914,0.113,18.1,19.5
16.7,7.5,7.7,1.0,5.4,10.9,183,2.399,1.639,0.043,0.104,0.071,5.0,3.6
18.2,7.3,9.8,1.7,5.6,12.2,187,2.327,1.531,0.066,0.122,0.071,6.9,3.7
17.7,7.3,10.3,1.5,5.5,8.1,239,2.120,1.410,0.028,0.103,0.034,15.2,3.9
10.2,7.8,11.3,1.4,5.4,7.3,308,2.239,1.509,0.043,0.082,0.029,15.7,4.3
13.6,7.6,12.3,1.8,5.2,6.1,283,2.229,1.622,0.043,0.067,0.030,15.2,3.6
13.0,7.8,11.5,1.7,5.3,6.1,288,2.355,1.085,0.069,0.111,0.047,7.8,3.7
11.8,7.5,10.8,1.7,6.2,7.5,234,2.234,1.791,0.051,0.122,0.051,7.0,4.4
5.7,7.3,12.0,1.4,4.1,3.1,264,2.214,1.925,0.034,0.048,0.026,3.4,3.0
6.7,7.6,15.5,1.0,4.1,2.2,285,2.192,1.864,0.001,0.040,0.022,3.7,2.9
6.3,7.6,15.0,1.3,4.2,3.7,288,2.188,1.915,0.029,0.040,0.014,8.9,2.8
6.0,6.9,13.7,1.1,4.1,3.8,237,2.255,1.832,0.019,0.058,0.018,5.0,2.9
1.9,8.0,13.7,1.2,3.9,5.0,248,2.415,1.975,0.060,0.050,0.007,4.6,2.8
1.9,7.1,16.3,1.5,3.6,4.1,273,2.699,2.009,0.085,0.058,0.025,3.5,2.7
4.7,7.5,13.7,1.5,4.3,5.2,262,2.355,2.056,0.059,0.055,0.019,6.0,3.0
6.0,7.8,14.4,1.6,4.8,4.6,282,2.243,1.896,0.054,0.050,0.015,8.5,3.3
3.9,6.6,11.6,1.7,4.6,5.3,275,2.480,2.000,0.125,0.072,0.037,5.7,3.6
7.1,7.6,14.0,1.6,5.0,7.3,244,2.160,1.751,0.049,0.063,0.008,7.0,3.5
6.1,7.5,12.0,1.6,4.9,5.9,277,2.092,1.740,0.032,0.061,0.014,6.8,3.6
10.7,7.8,10.1,2.1,5.8,8.7,261,2.018,1.486,0.034,0.063,0.016,20.2,4.0
11.7,7.9,11.3,2.3,6.1,6.2,286,2.096,1.439,0.046,0.075,0.021,14.0,4.4
15.8,7.3,12.7,1.8,5.4,9.4,246,1.683,1.096,0.030,0.083,0.032,11.2,4.1
15.5,7.4,10.0,3.6,7.9,22.6,211,2.133,1.640,0.260,0.136,0.028,18.5,6.0
17.8,7.8,10.5,2.0,6.3,8.8,287,1.782,1.229,0.064,0.103,0.042,16.6,4.9
20.3,8.0,11.0,1.8,6.4,5.8,242,2.447,0.775,0.016,0.189,0.046,9.0,4.5
17.6,6.9,12.0,4.9,9.7,10.8,263,2.005,1.108,0.096,0.135,0.064,24.8,7.3
19.1,7.9,12.2,7.8,15.8,51.7,357,2.301,0.722,0.176,0.195,0.052,33.9,10.8
23.0,7.3,11.6,4.3,12.2,30.2,243,2.050,0.588,0.315,0.122,0.029,30.1,8.9
22.8,7.5,9.1,4.4,12.9,27.4,253,2.734,1.015,0.402,0.188,0.048,16.2,9.5
19.6,7.3,7.7,4.6,11.9,25.3,277,2.343,0.970,0.424,0.150,0.036,18.2,9.2
23.2,7.1,9.0,3.4,12.3,14.8,258,2.681,1.637,0.170,0.189,0.084,4.7,9.5
23.5,7.3,8.4,4.5,13.6,10.9,303,1.708,0.752,0.111,0.109,0.059,18.9,10.6
24.5,7.2,7.4,5.7,16.2,10.3,298,3.295,1.154,0.773,0.172,0.084,9.0,12.3
27.3,7.2,6.5,3.0,13.0,20.5,286,2.198,1.282,0.176,0.191,0.118,11.8,9.9
26.4,7.2,6.8,2.2,10.6,17.0,286,1.796,1.121,0.136,0.168,0.101,8.3,8.3
26.2,7.5,7.9,2.7,8.9,30.2,223,2.023,1.304,0.151,0.226,0.128,13.9,7.6
30.1,7.2,6.7,2.1,9.2,11.7,311,1.671,0.845,0.069,0.150,0.082,16.9,7.4
29.9,7.2,8.7,2.3,8.1,16.9,228,1.007,0.616,0.018,0.131,0.077,24.0,6.5
26.0,6.8,6.6,1.7,7.7,12.1,189,2.166,1.511,0.099,0.215,0.150,4.4,5.8
26.2,6.7,6.9,1.5,8.4,45.0,166,1.882,1.207,0.063,0.226,0.131,5.0,6.3
25.7,7.1,9.2,1.1,6.5,9.8,228,1.098,0.639,0.052,0.162,0.079,3.2,5.6
21.9,6.8,7.5,2.6,7.2,9.5,216,0.960,0.420,0.046,0.106,0.052,7.6,6.1
22.3,7.2,9.0,1.0,6.5,14.0,177,2.145,1.488,0.055,0.135,0.088,2.8,4.9
23.3,7.1,10.7,1.0,5.2,5.0,223,1.021,0.793,0.014,0.102,0.066,5.9,4.4
21.9,7.1,6.7,1.2,5.3,8.8,257,1.680,1.411,0.033,0.146,0.087,2.2,4.4
16.0,7.3,9.3,0.9,4.5,6.0,280,1.807,1.391,0.025,0.105,0.050,3.0,3.8
16.9,7.3,16.6,1.1,4.7,3.7,301,2.072,1.654,0.027,0.140,0.084,3.4,3.7
13.1,7.5,15.1,1.1,4.6,3.2,301,1.827,1.508,0.020,0.102,0.056,3.7,3.5
12.4,6.9,12.6,1.5,4.9,5.0,327,1.899,1.475,0.027,0.127,0.069,7.3,4.0
10.8,7.3,11.2,1.1,4.6,3.4,348,2.524,1.794,0.048,0.179,0.118,4.3,3.9
8.2,7.4,15.1,1.4,4.7,4.0,330,2.754,1.774,0.028,0.186,0.125,11.6,3.8
6.7,7.4,13.5,1.5,4.3,3.4,347,2.091,1.564,0.015,0.088,0.035,7.9,3.7
3.8,7.0,13.2,1.4,4.6,2.2,329,2.590,1.403,0.059,0.143,0.087,8.6,3.8
3.6,7.3,16.0,1.2,4.3,3.1,349,2.718,1.573,0.043,0.124,0.072,3.5,3.6
2.6,7.1,12.8,3.6,7.9,12.8,335,4.497,2.596,0.796,0.225,0.107,14.4,6.3
4.2,7.5,14.7,2.4,7.8,7.5,301,4.196,3.052,0.307,0.213,0.135,12.7,6.1
1.2,7.3,14.4,2.0,6.3,5.6,327,4.647,3.372,0.576,0.348,0.237,8.9,5.1
2.1,7.3,18.2,2.3,5.7,4.5,369,5.459,3.895,0.985,0.559,0.444,7.3,4.3
5.3,7.5,14.8,1.9,5.4,3.4,337,3.912,3.021,0.377,0.382,0.299,10.3,3.9
8.4,7.8,17.4,2.1,5.9,5.4,364,4.461,3.358,0.380,0.491,0.410,9.3,4.5
10.1,8.5,10.0,3.9,8.6,8.0,307,5.065,3.270,0.798,0.521,0.444,18.0,6.5
11.1,7.5,12.8,2.6,8.2,8.0,286,3.984,2.656,0.152,0.269,0.178,20.2,6.2
11.2,7.2,11.8,3.0,11.8,32.6,247,4.700,3.370,0.281,0.225,0.114,13.0,7.5
12.8,7.5,9.5,1.3,5.4,8.5,251,3.519,2.585,0.128,0.193,0.147,6.8,4.0
18.1,7.1,9.9,2.7,6.8,10.1,294,2.924,1.957,0.033,0.235,0.161,14.5,5.2
15.9,7.7,13.2,1.8,6.1,10.9,255,2.300,1.621,0.020,0.106,0.057,10.9,4.6
16.3,7.8,12.5,1.8,6.4,9.5,236,1.956,1.256,0.025,0.107,0.056,10.6,4.8
16.9,7.2,10.0,4.9,8.5,29.7,235,2.532,1.696,0.165,0.180,0.104,15.6,6.8
20.2,7.2,11.0,2.4,8.5,14.3,247,2.143,1.245,0.156,0.189,0.099,6.3,6.6
21.5,6.7,8.5,2.0,9.0,26.5,311,1.578,0.978,0.029,0.159,0.074,11.6,6.3
21.9,7.2,8.1,4.4,11.7,51.7,242,2.294,0.817,0.315,0.205,0.104,20.5,7.9
23.5,7.3,8.3,2.6,9.9,38.5,231,2.303,0.905,0.209,0.152,0.057,7.4,7.5
22.5,6.8,8.0,3.4,9.2,25.0,252,2.275,1.053,0.324,0.125,0.061,6.0,7.9
24.7,7.2,7.2,2.0,10.7,10.4,329,2.032,1.015,0.082,0.129,0.053,6.0,8.9
23.6,7.5,8.9,3.1,11.5,18.9,286,2.055,1.093,0.084,0.148,0.087,5.1,9.2
24.8,7.2,9.6,2.5,11.4,10.0,348,1.645,0.605,0.086,0.128,0.035,8.5,9.0
26.2,7.2,10.0,2.0,4.6,18.7,287,2.177,1.514,0.065,0.172,0.112,4.6,7.0
27.3,7.4,10.6,1.3,7.2,8.2,261,1.638,1.050,0.004,0.158,0.103,6.5,5.8
27.7,7.2,7.6,2.8,10.0,11.3,319,1.216,0.461,0.004,0.216,0.126,16.1,8.3
33.7,7.8,11.0,1.9,8.7,8.7,257,2.160,0.915,0.059,0.208,0.127,10.3,6.7
30.9,7.2,10.0,1.3,7.6,6.5,258,0.900,0.387,0.008,0.146,0.096,8.1,6.1
28.9,7.3,12.9,1.6,7.9,7.2,189,0.834,0.372,0.007,0.150,0.088,4.2,6.6
27.9,7.5,9.9,1.5,6.8,7.7,256,0.718,0.349,0.006,0.133,0.055,5.6,6.0
24.5,6.9,6.8,1.8,8.5,14.6,179,2.263,1.459,0.017,0.224,0.151,3.6,6.4
23.9,6.9,7.4,1.5,6.7,16.6,151,1.950,1.424,0.008,0.114,0.074,5.7,4.9
21.7,7.4,11.0,1.4,5.8,5.0,257,1.340,0.942,0.008,0.110,0.067,7.2,4.4
25.6,7.1,9.8,1.8,6.3,4.1,259,1.320,0.686,0.008,0.142,0.101,4.4,3.6
20.4,7.3,11.0,1.3,5.5,4.6,228,1.253,0.879,0.004,0.106,0.057,2.3,4.7
18.4,7.1,9.4,1.3,5.6,11.2,188,2.062,1.784,0.003,0.101,0.052,3.0,4.7
15.7,7.4,12.1,1.4,4.5,4.5,228,1.883,1.510,0.005,0.090,0.037,3.7,4.0
13.4,7.8,12.1,1.0,4.7,4.3,248,1.651,1.343,0.004,0.089,0.040,7.1,4.7
14.9,7.4,14.5,1.3,5.5,4.4,264,1.861,1.334,0.015,0.116,0.050,4.9,5.3
13.0,7.2,9.9,2.4,7.2,4.8,244,1.475,0.911,0.007,0.111,0.031,13.6,6.0
10.9,7.7,11.5,1.5,6.4,5.0,283,2.014,1.429,0.008,0.123,0.058,10.6,5.5
9.2,7.5,12.9,4.9,8.1,10.8,239,1.670,0.922,0.009,0.111,0.024,17.1,7.0
10.3,7.7,12.6,1.3,4.3,2.8,306,2.051,1.628,0.014,0.090,0.048,3.1,4.0
12.5,7.1,9.4,6.3,13.5,37.3,278,3.967,2.412,0.738,0.354,0.215,25.6,10.3
3.8,7.5,15.4,1.2,4.3,5.1,276,1.992,1.583,0.019,0.074,0.039,6.7,4.4
3.2,7.9,15.5,0.8,3.8,3.3,295,2.046,1.685,0.021,0.064,0.031,3.9,3.6
1.7,7.3,13.9,1.3,4.4,8.8,319,2.859,2.165,0.037,0.108,0.041,8.5,3.9
3.8,8.0,17.0,1.5,4.3,4.4,345,2.680,2.041,0.062,0.081,0.042,9.8,3.6
3.3,7.6,15.3,1.7,4.2,3.7,326,2.855,2.289,0.061,0.131,0.075,7.4,3.7
3.0,7.8,18.0,2.0,6.4,12.7,228,2.700,2.479,0.101,0.112,0.070,14.2,4.3
4.9,7.2,15.5,2.3,7.6,10.1,312,3.346,2.172,0.364,0.162,0.078,15.0,6.5
7.4,7.8,12.2,2.1,5.3,4.9,287,2.782,1.762,0.164,0.170,0.132,7.4,4.8
8.4,8.0,11.7,2.7,5.9,6.5,283,2.024,1.385,0.089,0.112,0.036,11.5,4.0
8.8,7.2,17.7,2.4,5.4,6.7,306,2.100,1.508,0.059,0.111,0.050,9.0,4.5
9.5,8.0,11.7,2.8,6.7,9.8,261,2.112,1.477,0.100,0.124,0.049,15.2,4.7
12.0,8.0,12.5,1.9,6.2,9.4,256,1.725,1.196,0.063,0.091,0.035,12.3,3.9
10.2,9.3,17.8,4.4,9.6,18.0,258,1.256,0.466,0.048,0.199,0.016,61.8,7.3
11.2,6.9,13.2,5.5,11.4,33.1,277,2.845,1.808,0.204,0.245,0.073,59.1,7.9
17.3,8.6,13.5,3.3,8.6,17.0,249,1.241,0.507,0.066,0.178,0.035,79.6,6.4
16.7,7.3,10.9,2.2,7.0,10.8,285,1.854,1.283,0.044,0.108,0.059,7.6,4.7
19.0,8.1,11.7,4.5,8.3,11.9,267,1.258,0.551,0.017,0.182,0.079,27.1,5.9
24.2,7.3,9.5,3.5,10.2,16.6,335,1.087,0.290,0.027,0.184,0.045,19.6,7.9
21.4,7.6,8.8,4.4,11.4,36.2,280,2.143,0.682,0.459,0.270,0.075,14.0,7.4
21.8,7.4,9.9,5.6,13.3,30.3,243,3.448,0.892,0.648,0.277,0.103,10.0,9.2
22.3,7.2,9.2,3.9,10.3,24.1,231,1.969,0.951,0.287,0.192,0.085,8.9,7.7
24.9,7.7,11.9,3.6,11.7,51.3,295,2.343,1.636,0.324,0.156,0.088,15.8,6.2
25.9,8.0,11.1,3.0,11.5,12.3,293,1.878,0.825,0.170,0.208,0.119,12.0,8.1
22.3,7.0,8.9,3.8,11.3,19.2,236,2.302,1.131,0.244,0.122,0.072,8.2,10.3
25.5,7.3,9.3,1.6,8.1,10.4,270,2.178,1.596,0.123,0.168,0.114,3.3,6.6
22.9,7.2,8.1,1.3,7.7,15.4,195,1.921,1.269,0.077,0.120,0.094,6.0,5.8
24.3,7.9,11.6,1.5,6.3,4.5,246,1.333,0.778,0.000,0.115,0.085,6.2,5.8
27.6,7.5,9.7,1.0,6.2,7.1,242,2.031,1.518,0.018,0.116,0.085,5.9,5.4
26.1,7.1,9.7,1.7,7.5,5.3,208,1.376,0.910,0.074,0.158,0.126,4.4,5.7
29.3,6.8,9.2,1.1,6.3,7.2,231,1.284,0.914,0.039,0.116,0.101,2.0,6.0
27.3,7.1,8.2,1.4,6.1,9.2,175,0.606,0.418,0.018,0.114,0.076,3.4,5.5
24.1,7.3,7.8,1.4,5.9,5.3,229,1.072,0.554,0.028,0.088,0.073,3.1,5.9
20.9,7.3,9.8,1.3,5.2,5.3,255,1.167,0.989,0.007,0.103,0.070,8.6,3.5
23.4,7.4,9.0,1.7,4.8,4.4,308,2.381,1.921,0.015,0.097,0.067,2.1,4.4
15.5,7.2,9.3,1.4,5.4,15.0,196,2.427,1.954,0.055,0.131,0.080,3.0,3.2
18.1,7.8,13.6,1.8,4.7,2.8,299,2.116,1.898,0.008,0.068,0.038,7.9,3.6
10.1,8.1,15.3,2.1,4.5,6.0,302,2.216,2.105,0.009,0.182,0.024,21.9,4.5
15.5,6.8,15.4,1.7,4.7,3.4,406,2.057,1.897,0.011,0.078,0.049,8.9,3.9
9.3,6.3,12.8,1.5,4.7,2.7,336,2.090,2.010,0.018,0.088,0.055,11.0,4.5
4.8,7.6,15.1,1.3,4.5,4.1,325,2.491,2.300,0.031,0.078,0.068,3.7,4.1
10.1,6.8,12.2,1.4,4.5,3.0,319,2.354,2.228,0.014,0.058,0.028,9.8,4.1
8.3,7.4,17.5,2.4,5.8,6.6,323,2.503,2.172,0.061,0.075,0.056,15.8,4.9
6.7,7.3,16.9,2.1,4.7,6.1,316,2.406,2.051,0.003,0.049,0.020,12.4,4.4
4.3,7.5,17.5,1.9,4.6,3.8,319,2.224,1.972,0.010,0.040,0.018,17.7,4.2
4.5,7.9,13.8,1.5,4.6,6.6,261,2.940,2.690,0.011,0.052,0.024,3.4,3.6
4.5,7.9,13.8,1.5,4.6,6.6,261,2.940,2.690,0.011,0.052,0.024,3.4,3.6
2.7,7.0,15.6,1.6,5.6,11.6,266,2.513,2.444,0.024,0.057,0.027,11.3,4.0
8.5,7.5,13.9,1.5,4.6,3.4,274,2.385,2.056,0.042,0.058,0.030,8.4,3.7
9.6,7.7,14.1,0.8,5.0,4.3,242,2.165,1.975,0.084,0.067,0.035,6.7,4.2
7.6,6.8,13.8,1.1,4.6,5.4,248,2.168,1.960,0.034,0.058,0.029,2.8,4.2
8.8,7.1,14.0,1.3,5.2,3.6,254,2.172,1.873,0.059,0.059,0.031,2.7,3.7
11.8,7.2,11.3,1.9,5.9,7.6,243,1.741,1.352,0.036,0.064,0.028,8.4,4.6
17.0,8.4,13.4,2.6,6.3,9.6,240,1.589,1.131,0.016,0.077,0.034,17.0,5.4
14.1,7.9,14.9,2.2,6.8,6.0,260,1.610,1.270,0.013,0.090,0.046,24.8,5.1
13.7,8.0,14.1,3.2,8.6,9.7,258,1.226,0.759,0.004,0.101,0.024,29.4,5.7
16.6,8.3,16.3,2.8,8.6,8.0,269,1.119,0.583,0.005,0.097,0.022,26.6,5.5
14.2,6.6,12.1,2.1,7.4,6.3,219,1.821,1.301,0.015,0.094,0.042,12.6,5.2
16.4,7.9,13.5,2.6,8.0,12.8,235,1.108,0.689,0.008,0.080,0.046,18.2,5.4
21.8,7.5,10.9,3.0,8.4,10.5,218,1.258,0.729,0.019,0.093,0.040,16.6,5.7
20.2,7.2,11.1,2.2,8.6,19.5,222,2.082,1.227,0.105,0.110,0.048,10.9,6.1
18.6,7.3,9.9,2.6,9.2,28.6,201,1.535,0.828,0.101,0.127,0.044,9.4,6.3
21.1,7.1,8.2,4.4,9.7,27.6,215,2.144,0.870,0.308,0.159,0.068,7.3,7.0
22.6,6.8,8.4,3.7,10.8,26.6,239,2.107,0.956,0.257,0.158,0.076,8.9,7.9
27.5,7.3,8.3,3.2,13.6,16.8,235,1.944,0.774,0.139,0.160,0.093,7.9,9.5
25.0,7.1,7.3,2.8,9.7,25.7,239,2.974,1.963,0.177,0.151,0.085,3.0,6.9
26.3,7.2,7.7,1.6,7.7,12.5,255,2.690,1.915,0.183,0.243,0.201,5.7,6.0
25.4,8.3,8.0,1.6,4.9,8.2,194,3.139,2.804,0.094,0.099,0.060,5.2,3.7
29.8,8.0,10.0,2.3,7.3,6.5,209,1.410,0.882,0.012,0.196,0.140,22.9,5.4
24.7,6.9,8.4,1.1,6.4,31.3,144,2.168,1.680,0.066,0.135,0.089,5.7,4.2
23.4,6.7,7.3,1.4,7.1,46.2,145,2.141,1.579,0.063,0.193,0.117,4.0,4.0
24.1,7.1,8.6,1.0,5.5,9.3,210,2.190,1.698,0.065,0.148,0.100,5.2,3.5
21.2,7.5,10.3,1.3,4.6,4.2,259,2.132,1.684,0.053,0.138,0.105,8.6,2.9
21.5,7.8,12.9,1.8,5.3,6.5,321,2.371,1.869,0.042,0.161,0.123,8.4,3.1
17.2,7.3,12.1,1.8,5.5,4.1,332,2.209,1.826,0.019,0.118,0.079,8.3,3.1
16.9,8.2,13.7,2.5,5.5,5.6,342,3.552,2.631,0.149,0.285,0.225,6.1,2.9
16.5,7.9,13.6,1.3,4.8,4.0,299,2.079,1.752,0.030,0.094,0.057,10.4,2.9
12.4,8.2,16.0,1.3,4.5,2.6,301,1.795,1.437,0.008,0.073,0.035,4.9,2.7
10.0,7.6,12.6,1.8,4.1,2.9,337,2.656,2.249,0.052,0.123,0.076,4.8,2.9
18.1,8.1,13.0,1.7,5.2,5.4,324,2.111,1.651,0.037,0.113,0.058,18.7,2.7
9.6,8.3,15.5,1.5,5.0,2.7,301,2.271,1.963,0.015,0.094,0.055,7.9,2.8
6.8,8.1,17.5,1.9,4.4,2.1,352,2.305,2.104,0.012,0.086,0.050,9.2,2.6
5.0,7.9,18.7,1.8,4.2,2.4,343,2.406,2.088,0.018,0.072,0.030,8.1,2.5
3.9,8.5,19.3,2.2,5.3,4.8,339,2.899,2.505,0.039,0.102,0.033,23.5,2.4
7.4,8.1,16.3,3.1,6.4,8.3,312,3.022,2.885,0.094,0.177,0.144,35.4,3.4
5.6,8.3,17.8,1.5,5.1,3.7,308,3.134,2.489,0.053,0.131,0.079,15.3,3.1
6.3,7.9,14.1,3.1,5.8,5.6,306,2.186,1.617,0.044,0.105,0.031,27.1,3.3
8.9,7.5,12.4,2.0,8.2,17.5,267,4.099,3.236,0.230,0.152,0.072,18.2,4.8
11.9,8.0,14.3,2.7,6.0,4.5,265,2.863,2.423,0.022,0.084,0.038,13.8,3.8
14.8,8.1,14.0,2.1,6.4,9.4,274,2.859,2.237,0.023,0.188,0.139,21.0,3.9
13.0,8.3,15.2,1.9,5.2,5.8,240,2.570,2.200,0.061,0.238,0.185,13.1,3.4
16.9,7.4,12.5,1.9,5.1,9.5,191,2.132,1.817,0.024,0.078,0.036,9.6,3.5
16.4,7.9,12.5,1.1,4.5,6.5,240,2.059,1.668,0.017,0.093,0.048,10.6,4.0
16.2,8.1,12.5,1.9,5.6,5.2,251,1.593,1.165,0.009,0.103,0.054,12.1,3.7
19.9,8.2,13.4,2.4,6.1,6.5,243,1.463,0.960,0.046,0.158,0.109,13.1,3.7
18.1,8.2,12.3,2.8,8.3,22.0,252,1.123,0.466,0.024,0.146,0.055,25.4,5.0
19.3,7.8,12.4,2.9,6.9,11.1,248,1.377,0.770,0.029,0.123,0.046,22.6,4.5
23.4,7.6,10.3,2.8,8.1,22.5,181,1.066,0.661,0.032,0.111,0.040,22.6,4.5
19.4,7.2,8.4,2.2,10.1,63.7,191,2.223,1.103,0.344,0.242,0.115,10.3,5.6
20.7,7.4,9.2,2.0,8.2,31.5,206,1.833,0.755,0.208,0.178,0.066,10.3,6.6
21.3,6.9,8.6,2.2,12.2,44.8,183,2.391,1.085,0.398,0.213,0.110,14.2,7.5
26.9,7.4,10.6,2.8,11.8,26.1,209,1.715,0.658,0.176,0.185,0.069,7.9,7.7
24.4,7.3,8.3,2.7,8.6,28.5,210,2.059,0.995,0.218,0.205,0.075,8.6,7.5
26.7,7.4,12.0,2.9,11.1,10.4,258,2.197,0.960,0.100,0.213,0.133,21.4,8.2
26.8,7.4,9.7,1.9,9.4,22.6,214,1.818,1.076,0.135,0.169,0.096,9.6,7.5
26.9,7.2,8.5,1.3,6.1,39.1,184,2.254,1.787,0.046,0.195,0.093,4.7,4.0
30.2,8.0,11.7,1.9,7.0,8.0,205,1.824,1.280,0.066,0.184,0.154,19.8,4.8
31.0,7.5,10.7,2.4,7.2,10.1,174,1.409,0.805,0.061,0.190,0.148,17.5,5.8
28.8,6.6,8.1,1.8,5.5,8.9,168,1.356,0.827,0.067,0.185,0.133,9.0,4.7
25.6,7.5,8.1,2.5,6.8,82.8,137,1.505,0.943,0.104,0.287,0.109,5.3,5.1
25.1,7.5,9.1,2.1,5.4,6.4,164,1.134,0.715,0.059,0.144,0.106,2.1,4.1
24.0,7.4,10.3,3.0,5.2,6.4,210,1.886,1.288,0.059,0.223,0.162,2.2,4.4
24.7,7.1,10.3,2.7,4.5,4.1,248,1.448,1.066,0.025,0.146,0.105,9.6,3.3
25.8,8.0,12.2,1.6,4.8,2.7,240,1.300,0.920,0.019,0.137,0.108,11.6,3.7
22.9,6.6,9.9,1.5,4.4,4.6,277,1.703,1.253,0.023,0.144,0.106,5.9,3.3
15.8,7.3,12.7,1.9,4.1,2.6,266,2.169,1.700,0.039,0.158,0.122,2.7,2.7
16.2,8.1,15.4,2.0,3.8,13.8,277,2.187,1.791,0.036,0.091,0.056,3.1,2.9
14.9,6.8,16.9,1.8,4.1,2.3,287,2.256,1.741,0.032,0.078,0.046,6.3,3.1
11.4,7.8,14.5,3.0,4.8,3.1,303,2.329,1.705,0.064,0.132,0.083,7.3,3.4
13.1,8.0,17.2,2.5,5.1,7.0,279,1.932,1.485,0.025,0.094,0.051,22.7,3.3
