pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
8.6,14.1,7.8,392,4.2,10.1,13.1,4.371,0.092,8.1,4000,1.18,0.028,67.6,150,20.713,38.3
8.5,15.9,4.4,439,4.7,10.1,17.4,6.836,0.103,8.6,40,1.333,0.013,100.7,20,16.01,13.3
8.9,15.9,5.1,411,6.1,13.1,18.2,6.029,0.132,9.7,220,1.965,0.012,104.4,10,19.421,29.6
8,8.3,10.2,399,3.9,8.3,11,5.893,0.108,6.9,100,2.536,0.027,35.8,1,19.783,38.5
8.6,11.1,14.2,350,4.4,9.2,11.8,4.814,0.152,8.1,80,1.938,0.022,59.4,5,21.241,86.3
7.5,7.2,19.4,327,4,8.6,13.5,3.708,0.134,6.5,8,1.632,0.033,32.2,1,26.601,122.9
8.2,6.1,23.8,275,4.7,11.2,19.1,2.979,0.117,8.1,55,1.019,0.023,40.9,20,34.232,172.3
7.9,8.8,26.5,191,3.8,9.6,18.4,2.641,0.121,8.8,2900,0.297,0.05,27.7,1300,53.368,167
7.9,7.9,28.3,194,3.8,8.6,16,1.999,0.119,8,98,0.305,0.058,36.1,1,54.18,144.9
7.3,6.8,23.4,173,2.8,6.9,17.7,2.511,0.128,5.1,330,0.243,0.086,14.1,97,60.086,259.3
7.7,8.6,19.8,230,2.4,5.3,11.2,3.072,0.082,3.8,2100,0.173,0.034,12,410,30.764,159
8.1,10.4,14.4,337,3.5,7,12.3,3.692,0.047,6.3,450,0.259,0.017,34.8,10,13.34,14.6
7.8,11.5,8.5,409,3.6,7.1,7.4,5.379,0.055,6,2000,1.75,0.025,23.8,520,13.058,40.7
