pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain,log TC,log FC,log Flow,log Rain
7,8.7,20.6,277,4.8,9.9,19.6,3.761,0.147,6.6,32175,1.383,0.037,78.2,5750,38.195,85.4,4.5075,3.7597,1.582,1.9315
8,10.9,26.6,357,8.1,15.3,16.8,4.245,0.125,10,311,1.3,0.024,124.8,162,33.815,222.4,2.4928,2.2095,1.5291,2.3471
7.7,8.8,29.9,341,7.3,12.4,16,4.454,0.156,8.2,2553,1.672,0.056,94.2,900,68.392,84.5,3.4071,2.9542,1.835,1.9269
7.9,10.7,29.2,283,6.4,13.2,33.8,3.563,0.181,8.9,17527,1.264,0.063,61.4,4203,60.961,397.1,4.2437,3.6236,1.7851,2.5989
7.6,10.2,23.9,249,4.2,8,10.8,3.203,0.106,5.5,9400,0.576,0.052,56.1,5490,17.677,129.7,3.9731,3.7396,1.2474,2.1129
7.8,10,18.4,286,4,7.4,9.9,3.558,0.145,6.3,21240,0.755,0.056,50.9,5044,12.864,125.2,4.3272,3.7028,1.1094,2.0976
7.7,13,12.5,343,5.6,8.3,14.6,4.909,0.166,7.2,23775,1.756,0.04,56.3,4638,8.473,47.2,4.3761,3.6663,0.928,1.6739
7.7,12.5,7,420,4.4,8.7,21.3,5.626,0.135,7.2,9150,1.513,0.04,65.6,1088,12.747,32.4,3.9614,3.0366,1.1054,1.5105
8,14.6,5,433,4.2,9.2,14.2,7.469,0.126,7.4,380,2.345,0.021,61.7,75,6.433,16.4,2.5798,1.8751,0.8084,1.2148
8.5,13.7,6.9,398,6.4,13.6,21.8,6.43,0.174,10.1,5130,2.569,0.033,106.7,259,7.281,37,3.7101,2.4133,0.8622,1.5682
8,11.2,11.2,376,5.6,12.3,25.8,5.814,0.183,8.7,2975,2.738,0.029,76.2,275,8.799,33.9,3.4735,2.4393,0.9444,1.5302
7.8,9.5,14.8,383,4.4,9.4,14.1,5.298,0.194,7.1,18720,2.896,0.03,46.9,3083,18.457,84.7,4.2723,3.489,1.2662,1.9279
7.6,9,19.9,340,5.8,13.2,12.9,3.962,0.184,8.9,25770,1.938,0.041,56.3,5608,16.081,78.8,4.4111,3.7488,1.2063,1.8965
7.5,8.1,23.3,307,5.9,12.5,14.6,3.317,0.15,8.1,4570,1.516,0.025,70.8,640,14.614,158,3.6599,2.8062,1.1648,2.1987
7.4,8.2,25.5,202,3.5,8.3,12.8,2.78,0.124,6.4,18558,0.751,0.067,24.7,4980,34.56,242.2,4.2685,3.6972,1.5386,2.3842
7.6,8.4,26.6,284,3.8,13.1,31,3.215,0.16,9.5,33395,1.074,0.056,63.6,5800,51.418,64.8,4.5237,3.7634,1.7111,1.8116
7.4,9.4,23.1,238,4.2,6.9,9.2,3.222,0.128,5.3,19780,0.811,0.053,42.4,7220,42.173,165.8,4.2962,3.8585,1.625,2.2196
7.8,11.2,18.1,279,4,6.9,10.6,3.441,0.075,4.9,5400,0.551,0.03,49.4,1565,24.889,149.9,3.7324,3.1945,1.396,2.1758
7.6,11.2,12.8,399,4.8,7.6,7.8,5.353,0.08,6.5,1365,1.583,0.029,41.4,585,19.908,22.8,3.1351,2.7672,1.299,1.3579
8.1,12.9,8.3,432,6.2,10.2,16,6.336,0.095,7.7,3250,2.046,0.012,70.7,845,12.57,31.6,3.5119,2.9269,1.0993,1.4997
7.7,17.6,5.3,374,2.4,5.2,5,5.869,0.071,2.9,1925,1.901,0.039,21.6,80,20.63,41.1,3.2844,1.9031,1.3145,1.6138
7.6,14.5,6.3,336,4.6,7.5,8.2,6.715,0.076,3.7,1475,2.553,0.015,77.5,86,18.073,25.7,3.1688,1.9345,1.257,1.4099
8.5,13.4,10.5,374,6.5,10.6,13.9,6.56,0.084,4.8,656,2.783,0.011,116.3,55,12.371,34.4,2.8169,1.7404,1.0924,1.5366
8,9.6,16.3,314,5.3,9.6,9.6,4.981,0.099,4.8,5750,2.15,0.038,63.8,256,22.021,159.6,3.7597,2.4082,1.3428,2.203
7.8,8.7,22.1,225,4.3,9.2,8.7,3.524,0.067,4.3,6500,1.013,0.027,29.9,55,19.311,77.8,3.8129,1.7404,1.2858,1.891
8.3,10.3,26,314,4.5,11.1,12,3.908,0.059,5.5,3000,1.412,0.015,31.6,36,19.118,117.8,3.4771,1.5563,1.2814,2.0711
7.7,8.5,25.5,202,4.3,10.1,10.2,3.17,0.093,5.1,5200,0.764,0.047,30.8,200,38.434,159.6,3.716,2.301,1.5847,2.203
8.2,10.4,28.8,220,8.5,16.4,23.6,2.623,0.123,4.3,8650,0.536,0.055,149.6,158,21.543,86.5,3.937,2.1987,1.3333,1.937
7.9,8.9,25.1,241,3,8.3,10,2.418,0.083,4.1,3215,0.491,0.047,41.6,82,19.761,79.5,3.5072,1.9138,1.2958,1.9004
7.8,8.6,20.3,222,2.9,7.8,10.4,2.828,0.073,3.8,520,0.509,0.033,28.5,256,14.647,84.2,2.716,2.4082,1.1657,1.9253
7.5,8,14.8,346,3.2,7.6,10,4.368,0.114,3.7,2060,1.233,0.081,24,735,21.203,106.8,3.3139,2.8663,1.3264,2.0286
7.3,12,8.2,341,2.4,6.3,6.5,4.31,0.109,3.2,2250,0.869,0.075,18.5,780,23.383,69.3,3.3522,2.8921,1.3689,1.8407
8.3,16.5,5.7,374,4.3,7.7,11.1,5.387,0.061,3.6,1000,0.672,0.009,85.2,165,15.677,79.2,3,2.2175,1.1953,1.8987
7.7,12.8,6.3,363,3,7,8,4.871,0.112,3.4,2050,1.315,0.073,27.3,240,23.339,40.5,3.3118,2.3802,1.3681,1.6075
8,11.3,11.3,276,3.6,7.9,12.1,4.154,0.092,3.8,1788,0.899,0.04,41.2,242,26.807,54.9,3.2524,2.3838,1.4282,1.7396
7.9,10.5,16.9,269,3.6,8.7,6.3,4.586,0.114,4.1,325,1.091,0.051,17.8,115,29.265,192,2.5119,2.0607,1.4663,2.2833
8.1,11.6,21,216,6,8.5,12.3,2.929,0.087,4,975,0.326,0.024,77.5,295,26.044,119.9,2.989,2.4698,1.4157,2.0788
8.1,10.1,25.6,271,6.2,12.3,17.2,3.651,0.133,5.1,86,0.913,0.048,55.4,37,24.42,133.6,1.9345,1.5682,1.3877,2.1258
8.5,14.4,28.7,192,5.5,10.5,17.9,2.492,0.098,4.1,186,0.185,0.05,86.9,93,59.187,249.2,2.2695,1.9685,1.7722,2.3965
8.7,11.1,30.6,261,10.9,19,38.1,2.581,0.112,6.7,213,0.451,0.056,152.3,147,22.217,20.4,2.3284,2.1673,1.3467,1.3096
8.1,10.1,25.7,226,3.8,10.4,9.5,2.955,0.15,4.9,324,0.555,0.092,31.6,223,36.609,197.8,2.5105,2.3483,1.5636,2.2962
7.3,9.7,19.2,187,2.3,6.2,7.7,2.941,0.169,3.6,3110,0.562,0.12,13.9,1988,42.963,203.1,3.4928,3.2984,1.6331,2.3077
7.8,12.1,13.5,260,3.1,5.8,7.8,4.892,0.088,3.6,948,0.778,0.036,42.3,550,16.251,61.5,2.9768,2.7404,1.2109,1.7889
7.8,13.4,8.6,411,2.7,5.8,5.1,6.227,0.088,3.5,1775,1.172,0.034,25.9,330,15.293,45.9,3.2492,2.5185,1.1845,1.6618
8,15.3,6.4,380,4.5,7.4,12.9,5.143,0.077,4.2,1725,0.819,0.018,64,175,12.284,13.9,3.2368,2.243,1.0893,1.143
8.3,15.1,6.4,389,4.9,8.6,15.7,7.245,0.087,5.3,408,1.707,0.005,128.3,121,16.996,32.3,2.6107,2.0828,1.2303,1.5092
7.9,13.1,10.4,391,5,8.5,11.4,6.284,0.157,5.2,438,2.112,0.027,65.2,71,4.914,3.1,2.6415,1.8513,0.6914,0.4914
7.8,11.1,17.4,344,5.5,8.4,8.4,5.551,0.102,5.8,580,2.079,0.029,62,85,13.412,6.2,2.7634,1.9294,1.1275,0.7924
8.3,12,24,409,4.1,11.5,10.5,5.377,0.081,7.1,1115,1.613,0.018,38.9,60,9.681,13.3,3.0473,1.7782,0.9859,1.1239
8.3,12.4,26,336,5.8,15.8,31.9,4.768,0.125,7,1560,1.293,0.025,60.7,380,23.248,28.5,3.1931,2.5798,1.3664,1.4548
7.9,7.7,28.4,228,4.1,10.6,12.6,3.857,0.186,5.7,3470,1.285,0.106,64.2,1170,24.309,138.2,3.5403,3.0682,1.3858,2.1405
8.2,9.5,29,232,5.2,9.8,23.5,3.293,0.172,4.9,12600,1.142,0.083,77.1,9458,94.799,200.8,4.1004,3.9758,1.9768,2.3028
7.9,9,24.9,223,2.1,7.3,19,2.645,0.101,4.3,1065,0.312,0.051,43.8,580,47.595,109.4,3.0273,2.7634,1.6776,2.039
7.8,10.4,20,301,3.4,6.8,12.2,3.789,0.083,3.7,1183,0.582,0.024,45.3,918,17.424,62.7,3.073,2.9628,1.2411,1.7973
7.5,11,12.7,448,3,7.7,10.7,5.276,0.066,4.2,908,1.108,0.007,51.9,664,15.681,1.4,2.9581,2.8222,1.1954,0.1461
7.8,14.5,6,525,5.4,9.3,16.8,7.247,0.09,5.2,1375,2.014,0.003,103,486,25.078,45.3,3.1383,2.6866,1.3993,1.6561
8.2,14.9,5.6,437,5.8,11,18.8,7.636,0.122,5.6,1130,2.905,0.021,129.5,120,7.29,58,3.0531,2.0792,0.8627,1.7634
8.3,16.1,5.5,447,4.6,9.7,13.7,9.432,0.089,5.1,835,5.143,0.008,64.8,420,10.175,39.3,2.9217,2.6232,1.0075,1.5944
7.6,13.1,13.1,320,5.4,10.4,24.8,6.634,0.15,5.2,5850,3.393,0.044,60.9,1004,38.267,152.7,3.7672,3.0017,1.5828,2.1838
7.7,11.4,17.4,290,5.1,8.9,28.1,5.022,0.121,4.5,22550,1.958,0.032,52.1,4505,43.437,169,4.3531,3.6537,1.6379,2.2279
7.6,13.4,21.7,270,5.2,9.1,20.1,3.941,0.127,5.3,6450,1.492,0.039,97.8,1005,38.195,89.3,3.8096,3.0022,1.582,1.9509
7.7,12.4,26.7,288,5.7,11.9,21,4.233,0.153,5,1259,1.245,0.042,68.5,38,33.815,162,3.1,1.5798,1.5291,2.2095
7.8,10.2,28.5,237,6.4,11.6,38.7,3.507,0.231,5.7,5804,0.677,0.071,134.5,1958,68.392,67.6,3.7637,3.2918,1.835,1.8299
7.6,7.6,29.2,238,3.3,10.6,30.9,3.16,0.191,5.1,3915,1.167,0.106,63.7,2243,60.961,246.2,3.5927,3.3508,1.7851,2.3913
7.5,9.9,25.1,186,3,8.1,13.9,2.85,0.157,3.5,5867,0.412,0.062,88.1,3767,17.677,151.4,3.7684,3.576,1.2474,2.1801
7.9,13.8,18.6,296,3.7,7.2,18.8,3.803,0.103,4.5,5700,0.413,0.051,98.4,3020,12.864,138.4,3.7559,3.48,1.1094,2.1411
7.8,12.7,14.5,319,3.6,7,15.8,3.104,0.097,4.3,2963,0.726,0.019,56.1,571,8.473,51.1,3.4717,2.7566,0.928,1.7084
7.7,9.1,8.3,342,4,6.9,18,4.143,0.089,3.9,5450,0.972,0.01,78.9,524,12.747,38.3,3.7364,2.7193,1.1054,1.5832
7.6,14.3,6.6,439,4.9,8.1,18.2,6.652,0.102,4.7,198,1.972,0.015,63.6,39,6.433,13.3,2.2967,1.5911,0.8084,1.1239
7.9,13.4,6.6,374,5.9,11.1,20.9,6.452,0.141,6.1,1400,1.705,0.005,157.7,108,7.281,29.6,3.1461,2.0334,0.8622,1.4713
7.9,14,11,339,6.1,9.5,34.7,6.849,0.135,5.6,1225,2.693,0.014,93.2,236,8.799,38.5,3.0881,2.3729,0.9444,1.5855
8,12.2,15.7,345,4.9,9.7,9.8,5.548,0.117,5.3,378,1.977,0.021,36.9,57,18.457,86.3,2.5775,1.7559,1.2662,1.936
8.2,10.3,21.4,316,5.8,10.6,11.1,4.361,0.142,5.6,272,1.961,0.057,24.3,290,16.081,122.9,2.4346,2.4624,1.2063,2.0896
8.6,12.1,25.5,233,5.2,13.2,15,3.695,0.122,6.7,197,1.014,0.029,40.7,32,14.614,172.3,2.2945,1.5051,1.1648,2.2363
7.7,9.2,25.7,190,4.7,11.5,21,3.051,0.226,7.1,5566,0.541,0.091,27.4,2098,34.56,167,3.7455,3.3218,1.5386,2.2227
8.1,9.7,29.3,198,4.6,9.7,19.3,3.027,0.15,6.4,344,0.53,0.075,27.9,133,51.418,144.9,2.5366,2.1239,1.7111,2.1611
7.7,10.6,24.4,188,3.2,8.1,13.6,2.776,0.152,4,1469,0.363,0.076,49.2,797,42.173,259.3,3.167,2.9015,1.625,2.4138
7.9,13.1,19.2,228,1.7,6.3,9.2,3.313,0.063,3.3,1688,0.39,0.027,24.4,870,24.889,159,3.2274,2.9395,1.396,2.2014
8,12.9,14.9,365,3.5,8.5,11.5,5.21,0.068,4.1,788,1.118,0.011,36.9,445,19.908,14.6,2.8965,2.6484,1.299,1.1644
7.5,13.5,7.8,433,2.8,7.1,7.3,6.414,0.102,4.1,3990,2.181,0.051,21.3,1870,12.57,40.7,3.601,3.2718,1.0993,1.6096
7,14.2,4.6,393,3.3,5.5,10.1,5.335,0.092,4.1,101,1.648,0.031,37.2,20,32.249,41.1,2.0043,1.301,1.5085,1.6138
7.5,16.1,5.3,387,5,7.2,13.5,6.035,0.101,5.2,414,2.221,0.006,84,23,22.295,25.7,2.617,1.3617,1.3482,1.4099
8.2,14.4,9.3,385,5.2,8.2,16.2,6.218,0.091,6,109,2.593,0.006,83.8,4,18.668,34.4,2.0374,0.6021,1.2711,1.5366
7.6,9.7,15.4,326,4.7,7.4,9.9,5.008,0.109,5.6,1942,2.079,0.033,47.2,32,38.066,159.6,3.2882,1.5051,1.5805,2.203
7.3,6.8,20.1,233,2.9,7.1,10.2,3.289,0.099,5.1,187,1.062,0.04,28.7,20,42.229,77.8,2.2718,1.301,1.6256,1.891
7.4,6.9,24.1,306,3.8,8.8,11.3,3.855,0.095,6.7,160,1.412,0.02,45,17,45.66,117.8,2.2041,1.2304,1.6595,2.0711
7.8,8,25.7,210,3.1,7.7,11,2.966,0.122,5.7,1852,0.57,0.043,32.5,279,51.774,159.6,3.2676,2.4456,1.7141,2.203
8.1,7.7,28,261,3.6,7.7,8.9,3.023,0.133,6.1,58,0.647,0.052,37.5,13,47.29,86.5,1.7634,1.1139,1.6748,1.937
7.6,8.8,24.3,258,2.9,6.9,9.9,2.776,0.103,5.2,45,0.459,0.035,42.2,13,41.411,79.5,1.6532,1.1139,1.6171,1.9004
7.4,8.6,19.9,217,3.2,6.2,10.4,2.916,0.104,4.9,87,0.52,0.038,28.1,40,21.357,84.2,1.9395,1.6021,1.3295,1.9253
7,7.5,15.6,342,3.4,6.1,6.1,4.355,0.099,5.1,505,0.956,0.042,30.9,92,24.514,106.8,2.7033,1.9638,1.3894,2.0286
6.8,9.9,9,298,2.7,5.5,6.7,4.391,0.14,2.9,1504,0.84,0.052,22.9,210,32.197,69.3,3.1772,2.3222,1.5078,1.8407
8.1,15.7,5.3,362,4.2,7,12.1,4.95,0.093,6.3,158,0.418,0.004,107.8,6,21.65,79.2,2.1987,0.7782,1.3355,1.8987
7.4,13.9,5.7,339,3.8,6.2,12.7,4.708,0.13,5.6,526,0.946,0.042,51.2,101,39.941,40.5,2.721,2.0043,1.6014,1.6075
7.2,11.6,10.5,275,4.1,6.6,15.5,4.281,0.114,5.5,850,0.887,0.013,44.5,121,36.155,54.9,2.9294,2.0828,1.5582,1.7396
7.3,9.6,16.2,297,3.8,6.7,7.7,4.03,0.099,5.2,380,0.885,0.019,31.1,92,40.966,192,2.5798,1.9638,1.6124,2.2833
7.7,10.1,21.1,225,3.7,7.2,10.8,2.901,0.096,5.5,552,0.445,0.024,45.9,33,96.209,119.9,2.7419,1.5185,1.9832,2.0788
7.4,7.9,24.3,283,3.3,8.2,11.1,3.753,0.12,6.8,304,1.157,0.037,35.1,30,46.652,133.6,2.4829,1.4771,1.6689,2.1258
7,6.3,25.6,182,2.5,6.1,12.5,2.488,0.131,5.3,3209,0.475,0.065,16.6,147,136.889,249.2,3.5064,2.1673,2.1364,2.3965
7.3,4.7,29.4,283,2.8,8.2,7.4,2.528,0.128,6.8,164,0.785,0.078,14.9,19,44.865,20.4,2.2148,1.2788,1.6519,1.3096
7.2,7.4,24.1,224,3.1,7.4,9.1,2.82,0.141,6,1360,0.672,0.082,31.9,463,54.21,197.8,3.1335,2.6656,1.7341,2.2962
6.6,7.5,19.5,194,2.9,6,12.9,2.841,0.17,4.3,12525,0.622,0.098,11.2,2600,61.176,203.1,4.0978,3.415,1.7866,2.3077
7,10.7,13.5,306,3.5,6.1,8.9,4.171,0.098,4.4,400,0.622,0.019,31.8,54,27.86,61.5,2.6021,1.7324,1.445,1.7889
6.9,11.2,7.4,379,3,5.9,6.4,5.176,0.082,4.9,535,0.974,0.017,27.5,39,22.245,45.9,2.7284,1.5911,1.3472,1.6618
7.3,13.5,5.1,360,3.9,7.8,12.6,4.934,0.104,5.7,126,0.777,0.017,70.6,20,24.514,13.9,2.1004,1.301,1.3894,1.143
7.7,15.4,5.3,424,6.3,10.9,21.5,6.062,0.111,7.6,350,1.212,0.012,98.2,3,31.762,32.3,2.5441,0.4771,1.5019,1.5092
7.7,13.5,9.2,382,4.9,9.2,11.2,5.89,0.092,6.6,230,1.932,0.017,31,5,26.073,3.1,2.3617,0.699,1.4162,0.4914
7.1,10.9,15.5,358,5.2,9.2,8.7,5.514,0.094,7,48,2.329,0.016,61.1,2,22.668,6.2,1.6812,0.301,1.3554,0.7924
7.4,9.4,20.7,379,3.5,10.4,7.1,4.829,0.07,7.5,93,1.515,0.02,20.2,1,17.923,13.3,1.9685,0,1.2534,1.1239
7.4,8.3,24.2,374,5.9,14.8,12.9,3.992,0.079,10.4,6,1.02,0.007,34,1,35.164,28.5,0.7782,0,1.5461,1.4548
6.7,5.5,27.1,251,3.1,8.9,11.6,3.294,0.145,7,386,1.163,0.079,14.4,143,45.476,138.2,2.5866,2.1553,1.6578,2.1405
7,7.3,27.8,203,4.3,10.2,16.3,2.368,0.134,7.6,23002,0.517,0.065,21,1197,111.683,200.8,4.3618,3.0781,2.048,2.3028
7.4,10.3,23.9,189,4.9,10.1,19.9,2.228,0.147,6.4,8403,0.12,0.046,50,219,46.315,109.4,3.9244,2.3404,1.6657,2.039
7.2,8.7,18.9,283,3.8,7.3,13.7,3.108,0.081,5.6,315,0.677,0.015,35.1,35,19.645,62.7,2.4983,1.5441,1.2933,1.7973
7.5,10,11.8,405,3.6,8.3,14.4,4.797,0.093,6.5,155,1.147,0.019,16.5,17,21.103,1.4,2.1903,1.2304,1.3243,0.1461
7.6,13.1,5.4,531,4.1,8.4,11.4,6.218,0.077,6.3,108,1.854,0.01,27.6,26,16.96,45.3,2.0334,1.415,1.2294,1.6561
8.1,15.1,4.3,490,6.5,11.8,19.2,6.771,0.137,9,292,2.66,0.021,102.7,9,26.607,58,2.4654,0.9542,1.425,1.7634
8.5,15,4.2,489,5.5,10.3,12.4,7.686,0.111,7.7,41,4.539,0.015,48.3,6,13.41,39.3,1.6128,0.7782,1.1274,1.5944
7.6,9.9,11,409,5,9.8,27.3,6.632,0.152,7.3,5000,3.478,0.038,24.7,634,29.906,152.7,3.699,2.8021,1.4758,2.1838
8.2,10.6,16.4,282,4.8,8.6,18.6,4.52,0.1,6.3,930,1.629,0.023,53.3,166,97.752,169,2.9685,2.2201,1.9901,2.2279
7.7,7.6,20.8,297,5.2,9.6,18,3.909,0.104,7,905,1.546,0.026,59.7,173,55.849,89.3,2.9566,2.238,1.747,1.9509
7.9,5.1,25.4,339,4,11.8,10.4,3.897,0.085,8.6,9,1.318,0.023,26.2,4,26.872,162,0.9542,0.6021,1.4293,2.2095
8.3,7,28.4,264,5.3,10.9,22.9,2.975,0.125,7.7,5810,0.515,0.066,41.9,1262,48.904,67.6,3.7642,3.1011,1.6893,1.8299
7.7,6.1,28.9,275,3.9,12,29.9,2.8,0.188,8.3,15050,0.991,0.082,30.3,1983,15.464,246.2,4.1775,3.2973,1.1893,2.3913
7.5,8,23.6,219,4.6,9.8,14,2.537,0.101,6.6,3220,0.256,0.046,51.7,368,155.253,151.4,3.5079,2.5658,2.191,2.1801
8.2,11.2,18.3,258,3.8,7.7,21,2.975,0.116,6.8,1996,0.206,0.034,53.9,494,113.241,138.4,3.3002,2.6937,2.054,2.1411
8.1,12.8,12.2,357,5.5,10.8,32.3,4.056,0.176,8.6,5275,0.88,0.028,82.9,688,12.627,51.1,3.7222,2.8376,1.1013,1.7084
8.4,14.9,7,419,5,11.6,26,5.522,0.176,8.9,3490,1.429,0.028,92,300,16.621,38.3,3.5428,2.4771,1.2207,1.5832
8.5,16,4.8,448,5.3,11.1,25.2,7.198,0.145,8.9,218,1.775,0.013,93.6,21,14.324,13.3,2.3385,1.3222,1.1561,1.1239
8.8,16.1,6.3,405,7.1,15.4,31.2,6.292,0.197,11.5,1005,2.299,0.014,134.2,19,16.909,29.6,3.0022,1.2788,1.2281,1.4713
8.7,13.3,11,404,6.8,14.2,24,6.492,0.192,9.2,1605,2.755,0.013,90.4,142,18.053,38.5,3.2055,2.1523,1.2565,1.5855
8.4,8.8,14.3,341,4.5,9.7,9,4.441,0.156,7.1,195,2.08,0.029,46.4,26,19.123,86.3,2.29,1.415,1.2816,1.936
7.4,7,20.4,314,4.2,10,13.3,3.878,0.149,7.2,272,2.154,0.044,36,148,22.146,122.9,2.4346,2.1703,1.3453,2.0896
8,8,23.8,271,6.3,13.3,19.9,2.811,0.132,9.1,188,1.181,0.017,59,24,27.817,172.3,2.2742,1.3802,1.4443,2.2363
7.8,6.2,24.9,178,3.8,9.4,21.1,2.46,0.118,8.5,6486,0.421,0.053,25.5,1867,46.295,167,3.812,3.2711,1.6655,2.2227
7.9,7.9,28.8,206,3.7,9.7,23.7,2.128,0.142,8.7,7725,0.347,0.065,53.7,2165,44.483,144.9,3.8879,3.3355,1.6482,2.1611
7.7,8.3,24.1,198,3.8,7.2,13.8,2.608,0.137,4.9,8040,0.339,0.07,30.2,1970,49.015,259.3,3.9053,3.2945,1.6903,2.4138
8.3,11,19.6,240,3.5,6.2,8.9,3.111,0.068,4.6,3726,0.181,0.024,34.1,550,24.599,159,3.5712,2.7404,1.3909,2.2014
8.2,11.6,14.6,362,4.9,8.3,14.5,4.537,0.062,7.5,318,0.597,0.023,58.3,58,10.33,14.6,2.5024,1.7634,1.0141,1.1644
7.7,10.4,7.9,426,3.6,7.4,5.1,5.832,0.088,6.3,1615,1.843,0.049,20.6,482,11.253,40.7,3.2082,2.683,1.0513,1.6096
7.4,14.3,4.5,383,4,5.7,15.9,5.134,0.099,4.3,53,1.457,0.017,51.4,40,32.249,41.1,1.7243,1.6021,1.5085,1.6138
7.3,13.9,4.4,356,4.6,6.6,14.3,5.714,0.096,4.8,237,1.809,0.007,73.4,2,22.295,25.7,2.3747,0.301,1.3482,1.4099
7.7,13.2,9.1,377,5.6,8.3,20.5,6.029,0.103,5.8,42,2.214,0.006,87.5,8,18.668,34.4,1.6232,0.9031,1.2711,1.5366
7.5,8.9,15.1,319,5.5,7.5,16.6,4.748,0.11,5.6,700,1.872,0.03,42.1,55,38.066,159.6,2.8451,1.7404,1.5805,2.203
7.2,8.1,20.4,233,3.6,6.5,21.2,3.242,0.109,5,187,0.854,0.03,24.9,24,42.229,77.8,2.2718,1.3802,1.6256,1.891
7,6.7,24.1,278,5.5,8.2,25.6,3.725,0.103,6.7,48,1.261,0.016,44.6,16,45.66,117.8,1.6812,1.2041,1.6595,2.0711
7.4,6.9,25.8,201,3.9,7.5,21.9,2.928,0.139,5.4,640,0.497,0.044,31.4,12,51.774,159.6,2.8062,1.0792,1.7141,2.203
7.3,5.3,27.7,285,4.2,8.2,21.6,3.431,0.19,5.8,1060,0.729,0.068,28.5,680,47.29,86.5,3.0253,2.8325,1.6748,1.937
7.3,7.1,25,214,3.5,6.7,16.7,2.514,0.135,4.9,540,0.347,0.034,25.3,73,41.411,79.5,2.7324,1.8633,1.6171,1.9004
7.3,8.5,19.7,217,4,6.5,17.6,2.841,0.117,5.1,480,0.409,0.031,38.9,70,21.357,84.2,2.6812,1.8451,1.3295,1.9253
7,8.8,15.4,347,4.3,6.5,13.1,3.945,0.098,5.2,95,0.673,0.016,32.3,2,24.514,106.8,1.9777,0.301,1.3894,2.0286
6.8,9.5,9.6,313,2.9,5.5,9.5,4.364,0.129,2.8,460,0.861,0.062,18.1,70,32.197,69.3,2.6628,1.8451,1.5078,1.8407
8.4,14.5,3.6,369,4.7,8.1,15.9,5.226,0.104,7.5,60,0.3,0.007,133,4,21.65,79.2,1.7782,0.6021,1.3355,1.8987
7.3,14.2,5.3,358,4.1,6.5,15,5.067,0.139,5.6,940,1.062,0.041,51.6,100,39.941,40.5,2.9731,2,1.6014,1.6075
7.5,13.3,10.3,273,5,7.7,19.6,4.042,0.118,5.8,6000,0.678,0.019,53.1,540,36.155,54.9,3.7782,2.7324,1.5582,1.7396
7.2,9.5,16.4,294,4.5,6.3,12.8,3.852,0.096,5.4,40,0.735,0.024,27.8,1,40.966,192,1.6021,0,1.6124,2.2833
7.3,9.3,19.9,202,4.1,6.5,22,2.573,0.097,5.5,3900,0.259,0.026,41.9,750,96.209,119.9,3.5911,2.8751,1.9832,2.0788
7.1,6.7,24.4,289,4.9,8.6,22.8,3.751,0.135,7.3,200,0.985,0.035,49.2,14,46.652,133.6,2.301,1.1461,1.6689,2.1258
6.9,6.9,26.6,185,3,6.9,20.9,2.459,0.138,5.6,15000,0.323,0.067,28.7,2400,136.889,249.2,4.1761,3.3802,2.1364,2.3965
7.2,5.6,29.5,280,5.1,11.3,23.2,2.578,0.181,7.9,100,0.576,0.074,46.5,30,44.865,20.4,2,1.4771,1.6519,1.3096
6.9,7.3,23.7,190,3.2,7.3,11.6,2.502,0.135,5.5,540,0.444,0.073,20.7,95,54.21,197.8,2.7324,1.9777,1.7341,2.2962
7.1,8.4,19.8,182,3.3,6.4,27.5,3.037,0.196,4.8,9000,0.502,0.102,15.8,600,61.176,203.1,3.9542,2.7782,1.7866,2.3077
7.4,10,13.2,302,3.4,5.8,11.6,4.027,0.102,4.7,700,0.538,0.034,23.9,90,27.86,61.5,2.8451,1.9542,1.445,1.7889
7,11.2,8.1,350,3.4,6.1,7.7,4.594,0.091,5,200,0.843,0.029,38,20,22.245,45.9,2.301,1.301,1.3472,1.6618
7.3,13.1,5.4,332,3.4,6.7,6.9,4.325,0.094,5,65,0.724,0.016,42.5,20,24.514,13.9,1.8129,1.301,1.3894,1.143
8,13.9,5,403,6.5,11.5,23.6,5.665,0.111,7.6,60,0.809,0.008,132.1,1,31.762,32.3,1.7782,0,1.5019,1.5092
7.7,11.7,9.2,398,5,8.9,12,5.857,0.085,6.6,40,1.943,0.017,35.6,1,26.073,3.1,1.6021,0,1.4162,0.4914
7.2,10.9,15.6,359,6,9.8,11,5.697,0.134,7.9,120,2.073,0.057,80.9,5,22.668,6.2,2.0792,0.699,1.3554,0.7924
7.5,10.5,21.2,373,4.3,10.1,12.1,4.327,0.066,7.5,110,1.112,0.012,24,22,17.923,13.3,2.0414,1.3424,1.2534,1.1239
7.4,6.8,24,386,5.2,14.2,20.1,3.892,0.092,10.2,300,1.182,0.005,56.1,100,35.164,28.5,2.4771,2,1.5461,1.4548
7,5.2,27.3,252,4.3,8.8,17.1,3.168,0.135,7.3,600,1.111,0.064,20.8,100,45.476,138.2,2.7782,2,1.6578,2.1405
7.3,6.7,27.5,220,4.4,8.6,22.8,3.01,0.159,6.3,1000,0.914,0.07,32.5,50,111.683,200.8,3,1.699,2.048,2.3028
6.9,7.6,24,180,3.6,7.7,12.8,2.183,0.1,5.8,100,0.176,0.052,40.4,50,46.315,109.4,2,1.699,1.6657,2.039
