WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Flowrate,
2.6 ,7.5 ,364 ,14.7 ,0.7 ,2.5 ,1.8 ,3.257 ,0.019 ,1.2 ,2.792 ,
0.6 ,7.9 ,361 ,17.1 ,1.2 ,3.0 ,3.2 ,3.343 ,0.023 ,1.4 ,6.594 ,
0.6 ,8.0 ,383 ,17.3 ,0.3 ,2.3 ,2.2 ,3.525 ,0.020 ,1.0 ,2.566 ,
3.6 ,7.5 ,384 ,14.1 ,0.8 ,3.5 ,26.2 ,3.609 ,0.031 ,1.9 ,2.349 ,
1.4 ,8.1 ,246 ,15.7 ,1.4 ,4.7 ,14.6 ,3.849 ,0.039 ,2.8 ,8.480 ,
4.0 ,7.4 ,338 ,14.6 ,0.9 ,3.0 ,5.4 ,3.742 ,0.024 ,1.4 ,4.641 ,
7.6 ,7.8 ,287 ,13.1 ,1.3 ,4.6 ,16.4 ,4.179 ,0.043 ,3.1 ,18.371 ,
7.3 ,7.5 ,332 ,12.8 ,0.9 ,3.0 ,28.2 ,3.754 ,0.030 ,1.6 ,7.697 ,
15.0 ,8.1 ,335 ,10.8 ,2.0 ,2.8 ,10.0 ,3.348 ,0.019 ,1.4 ,3.792 ,
10.9 ,8.1 ,332 ,12.7 ,0.3 ,2.7 ,4.4 ,3.201 ,0.018 ,1.2 ,4.943 ,
17.7 ,8.9 ,332 ,11.4 ,1.9 ,4.1 ,5.4 ,2.403 ,0.010 ,2.2 ,4.641 ,
12.7 ,8.3 ,315 ,11.3 ,0.3 ,2.9 ,9.6 ,2.805 ,0.024 ,1.7 ,6.952 ,
16.4 ,8.0 ,213 ,10.4 ,1.3 ,5.0 ,9.0 ,3.461 ,0.037 ,3.0 ,49.363 ,
16.0 ,7.9 ,237 ,10.8 ,1.0 ,4.0 ,6.2 ,3.221 ,0.020 ,2.2 ,28.244 ,
22.9 ,7.5 ,281 ,9.0 ,0.9 ,3.4 ,4.0 ,3.358 ,0.022 ,1.8 ,11.987 ,
20.9 ,7.8 ,251 ,9.1 ,1.3 ,3.4 ,4.8 ,3.225 ,0.025 ,1.9 ,12.467 ,
22.2 ,7.9 ,275 ,9.1 ,1.6 ,4.2 ,11.0 ,3.019 ,0.026 ,2.2 ,11.054 ,
21.5 ,8.0 ,294 ,9.3 ,1.0 ,3.2 ,2.2 ,2.749 ,0.019 ,1.7 ,4.641 ,
24.5 ,8.4 ,300 ,9.0 ,0.4 ,4.0 ,3.8 ,2.415 ,0.014 ,2.3 ,1.408 ,
27.5 ,8.5 ,308 ,9.1 ,1.6 ,4.3 ,4.6 ,1.898 ,0.012 ,2.4 ,1.577 ,
28.8 ,8.5 ,333 ,8.1 ,1.3 ,3.6 ,5.6 ,1.660 ,0.020 ,2.0 ,3.028 ,
26.4 ,7.8 ,334 ,7.9 ,1.0 ,3.5 ,9.6 ,1.734 ,0.014 ,2.1 ,5.905 ,
21.5 ,7.0 ,135 ,7.8 ,3.0 ,16.5 ,346.0 ,4.827 ,0.513 ,13.9 ,722.279 ,
26.0 ,7.3 ,229 ,7.4 ,1.0 ,4.0 ,13.8 ,4.340 ,0.111 ,2.8 ,58.803 ,
26.7 ,7.6 ,229 ,7.9 ,1.0 ,3.8 ,13.4 ,4.198 ,0.057 ,2.5 ,28.244 ,
26.3 ,7.6 ,244 ,7.7 ,1.3 ,4.4 ,21.2 ,3.667 ,0.093 ,3.2 ,18.633 ,
28.9 ,7.3 ,247 ,7.4 ,0.3 ,3.8 ,7.2 ,3.419 ,0.065 ,2.7 ,16.834 ,
32.2 ,8.0 ,264 ,7.3 ,0.8 ,3.5 ,4.0 ,2.794 ,0.051 ,2.3 ,10.956 ,
31.4 ,8.4 ,270 ,8.4 ,0.7 ,3.4 ,2.0 ,2.300 ,0.035 ,2.1 ,6.073 ,
30.5 ,8.5 ,273 ,8.5 ,0.9 ,3.6 ,2.0 ,2.523 ,0.037 ,2.4 ,5.427 ,
26.4 ,8.0 ,286 ,7.9 ,0.3 ,3.8 ,8.8 ,2.562 ,0.056 ,2.3 ,10.130 ,
23.2 ,7.6 ,270 ,8.2 ,0.3 ,3.2 ,6.4 ,2.160 ,0.045 ,2.1 ,8.182 ,
21.9 ,6.8 ,219 ,8.2 ,0.7 ,5.0 ,21.2 ,2.710 ,0.084 ,3.4 ,30.562 ,
23.3 ,7.9 ,270 ,8.4 ,0.4 ,3.0 ,7.6 ,2.520 ,0.049 ,1.6 ,10.540 ,
22.8 ,8.4 ,285 ,8.3 ,0.3 ,2.6 ,1.2 ,2.732 ,0.047 ,1.4 ,8.558 ,
18.5 ,7.9 ,254 ,9.5 ,0.3 ,3.0 ,7.0 ,2.953 ,0.051 ,1.6 ,16.134 ,
19.3 ,8.1 ,286 ,9.2 ,0.4 ,2.6 ,2.6 ,2.884 ,0.041 ,1.2 ,8.558 ,
15.3 ,8.2 ,276 ,10.0 ,0.5 ,2.7 ,2.8 ,2.736 ,0.037 ,1.4 ,8.941 ,
10.6 ,7.5 ,302 ,11.3 ,0.4 ,2.5 ,1.6 ,2.946 ,0.030 ,1.4 ,7.095 ,
14.0 ,8.6 ,312 ,11.9 ,0.3 ,2.5 ,1.6 ,3.061 ,0.037 ,1.3 ,6.073 ,
13.0 ,8.3 ,314 ,11.6 ,0.3 ,2.5 ,1.2 ,3.064 ,0.023 ,1.2 ,5.427 ,
9.7 ,8.3 ,338 ,11.5 ,0.4 ,2.7 ,4.8 ,3.267 ,0.027 ,1.5 ,5.427 ,
9.0 ,8.1 ,360 ,12.2 ,0.5 ,2.5 ,1.6 ,3.480 ,0.017 ,1.4 ,4.226 ,
7.2 ,8.3 ,359 ,13.0 ,0.4 ,2.9 ,1.6 ,3.461 ,0.024 ,1.4 ,3.407 ,
6.5 ,8.2 ,360 ,13.4 ,0.4 ,2.6 ,1.0 ,3.489 ,0.018 ,1.4 ,3.407 ,
6.2 ,7.7 ,305 ,12.4 ,0.7 ,3.7 ,6.8 ,3.614 ,0.038 ,2.0 ,14.107 ,
4.6 ,8.0 ,309 ,13.5 ,0.7 ,3.7 ,7.8 ,3.196 ,0.035 ,2.2 ,13.134 ,
6.7 ,8.1 ,295 ,13.2 ,0.4 ,4.1 ,8.8 ,2.602 ,0.032 ,2.5 ,16.303 ,
3.1 ,8.2 ,268 ,13.0 ,1.1 ,5.5 ,18.4 ,1.759 ,0.028 ,4.0 ,27.053 ,
0.1 ,7.3 ,271 ,15.9 ,1.2 ,4.4 ,10.4 ,2.309 ,0.029 ,3.1 ,14.660 ,
3.5 ,7.7 ,339 ,14.0 ,0.7 ,3.0 ,1.2 ,3.589 ,0.022 ,1.6 ,3.660 ,
7.0 ,8.0 ,365 ,11.3 ,0.6 ,2.8 ,1.0 ,3.515 ,0.021 ,1.6 ,3.244 ,
6.8 ,7.8 ,334 ,12.2 ,0.6 ,3.4 ,5.8 ,3.695 ,0.024 ,1.9 ,4.558 ,
7.1 ,8.1 ,301 ,12.7 ,0.9 ,4.0 ,7.8 ,2.912 ,0.026 ,2.6 ,11.366 ,
6.4 ,8.0 ,343 ,11.9 ,0.4 ,2.7 ,1.6 ,3.681 ,0.022 ,1.5 ,5.040 ,
10.2 ,8.0 ,345 ,11.9 ,0.5 ,2.6 ,1.6 ,3.515 ,0.026 ,1.4 ,4.558 ,
13.5 ,8.3 ,346 ,11.0 ,0.6 ,2.9 ,5.6 ,3.631 ,0.017 ,1.4 ,3.660 ,
9.2 ,7.9 ,354 ,11.8 ,0.9 ,3.0 ,2.4 ,3.479 ,0.015 ,1.6 ,4.796 ,
17.3 ,8.1 ,355 ,9.9 ,0.5 ,2.8 ,4.8 ,3.588 ,0.014 ,1.6 ,5.040 ,
13.7 ,7.7 ,277 ,11.1 ,0.4 ,3.0 ,4.4 ,3.542 ,0.029 ,1.9 ,12.050 ,
16.6 ,7.8 ,246 ,10.6 ,1.6 ,6.3 ,16.8 ,3.430 ,0.047 ,4.6 ,26.974 ,
17.3 ,7.8 ,277 ,9.7 ,0.3 ,3.0 ,7.6 ,3.238 ,0.024 ,1.9 ,12.050 ,
18.8 ,7.4 ,314 ,9.8 ,0.8 ,2.9 ,2.4 ,3.513 ,0.020 ,1.7 ,4.796 ,
16.9 ,8.4 ,316 ,10.3 ,0.6 ,3.3 ,3.2 ,2.972 ,0.012 ,2.2 ,3.876 ,
18.4 ,8.4 ,334 ,9.6 ,0.6 ,3.3 ,3.2 ,3.706 ,0.010 ,2.2 ,2.662 ,
25.5 ,8.4 ,339 ,9.5 ,0.7 ,4.2 ,3.6 ,3.023 ,0.015 ,3.1 ,2.480 ,
23.9 ,8.2 ,343 ,8.4 ,0.3 ,2.9 ,2.2 ,2.364 ,0.009 ,1.8 ,1.656 ,
26.1 ,8.5 ,369 ,8.8 ,0.5 ,3.1 ,2.2 ,2.318 ,0.014 ,2.0 ,2.662 ,
27.1 ,8.5 ,360 ,9.6 ,0.3 ,2.9 ,1.4 ,2.028 ,0.008 ,1.7 ,1.809 ,
26.8 ,8.5 ,338 ,9.0 ,0.7 ,5.8 ,13.8 ,1.931 ,0.029 ,4.1 ,3.660 ,
24.8 ,7.7 ,221 ,7.2 ,1.9 ,9.1 ,95.3 ,1.935 ,0.089 ,8.0 ,30.699 ,
26.0 ,7.9 ,231 ,7.6 ,0.9 ,5.8 ,51.2 ,2.839 ,0.114 ,4.7 ,33.362 ,
24.4 ,7.3 ,156 ,7.9 ,1.2 ,9.2 ,68.5 ,3.616 ,0.167 ,7.1 ,145.413 ,
27.2 ,7.8 ,254 ,7.2 ,1.0 ,4.6 ,11.0 ,2.635 ,0.052 ,2.5 ,14.266 ,
30.0 ,7.9 ,242 ,9.2 ,0.5 ,3.8 ,10.2 ,2.790 ,0.070 ,2.6 ,22.922 ,
23.7 ,7.7 ,170 ,7.9 ,1.3 ,7.7 ,55.5 ,2.658 ,0.143 ,5.1 ,95.364 ,
24.2 ,7.7 ,180 ,7.7 ,0.6 ,5.3 ,26.0 ,3.569 ,0.082 ,4.0 ,83.866 ,
25.7 ,7.9 ,201 ,8.2 ,0.7 ,5.4 ,17.2 ,3.301 ,0.064 ,3.5 ,48.835 ,
23.6 ,7.9 ,228 ,8.3 ,0.5 ,4.2 ,7.2 ,3.442 ,0.037 ,2.1 ,19.454 ,
23.5 ,7.5 ,187 ,8.2 ,1.4 ,6.8 ,45.4 ,3.064 ,0.102 ,4.5 ,53.752 ,
23.5 ,7.7 ,242 ,8.2 ,0.4 ,3.4 ,5.6 ,3.568 ,0.031 ,2.2 ,13.477 ,
25.1 ,8.0 ,265 ,8.4 ,0.4 ,2.9 ,4.6 ,3.357 ,0.030 ,1.6 ,9.314 ,
22.6 ,7.5 ,246 ,8.5 ,0.3 ,3.7 ,3.8 ,3.391 ,0.045 ,1.7 ,10.897 ,
20.2 ,7.7 ,256 ,10.1 ,0.4 ,3.5 ,3.2 ,3.286 ,0.041 ,2.1 ,16.214 ,
16.5 ,7.5 ,258 ,9.5 ,0.4 ,3.8 ,7.0 ,3.047 ,0.041 ,2.0 ,13.477 ,
12.9 ,7.3 ,253 ,10.3 ,0.5 ,3.8 ,7.0 ,3.327 ,0.026 ,2.2 ,14.391 ,
15.0 ,7.8 ,263 ,10.1 ,0.6 ,3.8 ,7.0 ,2.943 ,0.026 ,2.2 ,12.590 ,
8.9 ,7.3 ,266 ,11.5 ,0.6 ,3.3 ,3.4 ,3.380 ,0.026 ,1.7 ,8.936 ,
8.8 ,7.5 ,287 ,11.9 ,0.6 ,3.8 ,4.2 ,3.342 ,0.030 ,1.8 ,7.843 ,
6.5 ,7.3 ,292 ,12.6 ,0.4 ,3.3 ,1.4 ,3.498 ,0.020 ,1.4 ,5.244 ,
3.7 ,7.5 ,307 ,12.3 ,0.3 ,2.8 ,4.4 ,3.735 ,0.017 ,1.7 ,4.121 ,
1.3 ,7.2 ,332 ,13.1 ,0.4 ,3.2 ,2.4 ,3.805 ,0.019 ,1.5 ,3.859 ,
3.3 ,7.6 ,327 ,12.5 ,0.4 ,2.8 ,1.8 ,3.834 ,0.019 ,1.5 ,3.605 ,
2.6 ,7.3 ,348 ,12.8 ,1.1 ,3.8 ,1.8 ,4.259 ,0.018 ,2.3 ,4.391 ,
2.1 ,7.8 ,356 ,13.7 ,0.3 ,3.6 ,4.0 ,5.578 ,0.015 ,1.5 ,0.211 ,
2.8 ,7.6 ,421 ,14.6 ,0.4 ,2.6 ,4.0 ,5.688 ,0.014 ,1.5 ,0.257 ,
1.7 ,7.5 ,333 ,14.8 ,1.5 ,4.6 ,5.1 ,4.795 ,0.021 ,2.8 ,0.797 ,
1.8 ,7.5 ,239 ,14.2 ,1.2 ,6.2 ,8.3 ,4.322 ,0.053 ,3.7 ,4.668 ,
4.5 ,7.6 ,307 ,13.3 ,1.2 ,3.3 ,3.1 ,5.319 ,0.012 ,2.1 ,1.004 ,
5.7 ,7.5 ,332 ,13.2 ,0.5 ,3.2 ,7.4 ,4.686 ,0.020 ,1.9 ,0.656 ,
8.3 ,7.6 ,335 ,13.5 ,1.5 ,3.6 ,3.7 ,4.462 ,0.021 ,2.2 ,0.552 ,
11.3 ,7.4 ,349 ,11.6 ,1.6 ,4.4 ,8.3 ,3.743 ,0.026 ,2.3 ,0.511 ,
12.1 ,7.6 ,220 ,11.6 ,1.9 ,7.7 ,20.0 ,4.196 ,0.048 ,4.4 ,16.446 ,
11.0 ,7.8 ,256 ,12.8 ,1.5 ,3.6 ,7.7 ,4.202 ,0.018 ,2.6 ,2.689 ,
13.5 ,7.9 ,293 ,12.5 ,1.4 ,4.4 ,11.8 ,3.851 ,0.035 ,2.5 ,1.147 ,
11.2 ,7.5 ,176 ,13.1 ,1.6 ,7.6 ,21.6 ,3.882 ,0.059 ,5.5 ,15.822 ,
14.5 ,8.4 ,242 ,13.7 ,1.3 ,4.0 ,5.2 ,4.191 ,0.015 ,2.6 ,2.491 ,
16.3 ,8.7 ,228 ,11.8 ,1.9 ,4.5 ,7.4 ,3.065 ,0.033 ,3.2 ,4.452 ,
20.3 ,8.0 ,276 ,10.4 ,0.6 ,4.4 ,10.0 ,2.874 ,0.027 ,2.7 ,1.145 ,
23.1 ,7.8 ,287 ,9.0 ,1.6 ,5.0 ,21.0 ,2.796 ,0.055 ,3.1 ,1.675 ,
22.0 ,7.7 ,268 ,10.0 ,2.3 ,6.9 ,20.2 ,2.359 ,0.052 ,4.1 ,2.086 ,
23.2 ,7.8 ,307 ,9.6 ,2.4 ,5.9 ,17.0 ,2.381 ,0.059 ,2.9 ,0.767 ,
26.0 ,8.1 ,286 ,10.1 ,2.1 ,5.3 ,13.6 ,2.999 ,0.035 ,2.9 ,1.594 ,
26.6 ,7.8 ,302 ,9.7 ,1.1 ,5.0 ,13.8 ,2.029 ,0.037 ,3.3 ,0.787 ,
23.7 ,7.5 ,252 ,8.1 ,2.7 ,8.3 ,67.0 ,2.493 ,0.153 ,4.3 ,5.422 ,
26.6 ,7.5 ,280 ,8.7 ,1.0 ,5.1 ,7.5 ,6.448 ,0.059 ,3.5 ,5.993 ,
26.8 ,8.0 ,302 ,9.2 ,2.2 ,5.7 ,7.4 ,3.737 ,0.041 ,3.8 ,1.199 ,
24.0 ,7.1 ,226 ,8.1 ,0.9 ,6.8 ,7.2 ,5.175 ,0.070 ,5.1 ,11.621 ,
29.5 ,8.1 ,278 ,8.9 ,1.3 ,5.6 ,5.8 ,4.601 ,0.073 ,3.8 ,6.744 ,
28.9 ,7.8 ,276 ,9.2 ,1.8 ,5.4 ,8.2 ,3.333 ,0.059 ,3.4 ,2.092 ,
31.5 ,7.9 ,303 ,10.2 ,2.7 ,5.2 ,6.4 ,1.622 ,0.044 ,3.2 ,0.355 ,
28.1 ,7.8 ,280 ,8.3 ,1.0 ,5.4 ,10.6 ,2.242 ,0.082 ,3.8 ,2.466 ,
24.8 ,7.6 ,314 ,9.1 ,2.1 ,4.8 ,6.6 ,1.671 ,0.043 ,3.0 ,0.540 ,
25.7 ,7.6 ,311 ,9.5 ,1.7 ,4.6 ,7.2 ,1.488 ,0.042 ,2.6 ,0.427 ,
23.1 ,7.6 ,304 ,8.9 ,1.6 ,4.3 ,4.6 ,2.006 ,0.031 ,2.7 ,0.979 ,
21.9 ,7.7 ,309 ,9.5 ,1.0 ,3.8 ,5.8 ,2.977 ,0.025 ,2.6 ,1.694 ,
18.5 ,7.7 ,273 ,11.2 ,1.0 ,4.8 ,5.4 ,3.721 ,0.032 ,3.0 ,2.922 ,
18.1 ,7.6 ,307 ,9.7 ,0.8 ,3.4 ,2.2 ,3.706 ,0.022 ,2.2 ,1.262 ,
14.5 ,7.8 ,315 ,11.5 ,0.8 ,3.6 ,1.2 ,3.490 ,0.021 ,2.2 ,0.612 ,
15.1 ,7.7 ,319 ,11.4 ,0.7 ,2.8 ,3.4 ,3.343 ,0.018 ,1.9 ,0.527 ,
10.8 ,7.9 ,321 ,13.2 ,0.6 ,3.5 ,1.0 ,3.114 ,0.025 ,1.9 ,0.549 ,
8.1 ,7.8 ,338 ,12.4 ,0.6 ,3.0 ,1.8 ,3.531 ,0.014 ,1.9 ,0.397 ,
5.7 ,7.7 ,327 ,15.8 ,0.6 ,3.1 ,2.6 ,3.499 ,0.019 ,2.2 ,0.833 ,
6.4 ,7.7 ,349 ,16.2 ,0.7 ,3.5 ,2.2 ,4.049 ,0.014 ,2.1 ,0.497 ,
6.0 ,7.8 ,349 ,12.9 ,0.9 ,3.8 ,2.0 ,3.995 ,0.018 ,2.2 ,0.497 ,
5.5 ,7.2 ,379 ,11.8 ,0.6 ,3.3 ,0.8 ,4.384 ,0.025 ,1.8 ,0.233 ,
4.9 ,7.6 ,387 ,13.6 ,0.5 ,3.4 ,0.6 ,4.914 ,0.015 ,1.7 ,0.186 ,
4.1 ,7.7 ,364 ,14.1 ,1.1 ,3.0 ,0.6 ,4.328 ,0.020 ,1.8 ,0.141 ,
6.2 ,7.8 ,375 ,13.5 ,0.8 ,3.0 ,1.6 ,4.275 ,0.028 ,1.8 ,0.166 ,
6.7 ,8.1 ,380 ,13.5 ,0.9 ,3.2 ,1.8 ,4.457 ,0.023 ,2.0 ,0.176 ,
6.5 ,8.0 ,390 ,14.6 ,1.1 ,3.5 ,2.0 ,3.733 ,0.028 ,1.8 ,0.145 ,
10.8 ,7.8 ,409 ,13.3 ,1.6 ,4.0 ,2.2 ,4.336 ,0.025 ,2.2 ,0.100 ,
11.8 ,7.7 ,392 ,12.7 ,1.2 ,3.9 ,2.6 ,3.546 ,0.036 ,1.9 ,0.112 ,
10.5 ,8.0 ,400 ,13.0 ,1.0 ,3.4 ,1.8 ,2.992 ,0.027 ,2.1 ,0.088 ,
10.9 ,7.8 ,368 ,10.4 ,1.0 ,5.3 ,3.6 ,4.264 ,0.026 ,3.6 ,1.478 ,
13.2 ,8.1 ,342 ,12.8 ,1.2 ,4.7 ,3.8 ,3.883 ,0.022 ,3.2 ,0.818 ,
16.3 ,8.1 ,252 ,11.6 ,0.7 ,7.4 ,5.2 ,5.495 ,0.031 ,4.5 ,6.356 ,
15.9 ,8.2 ,313 ,11.3 ,1.4 ,4.1 ,2.8 ,4.766 ,0.022 ,2.9 ,1.989 ,
16.4 ,8.3 ,329 ,10.8 ,1.0 ,4.4 ,4.8 ,3.916 ,0.022 ,2.5 ,0.818 ,
19.7 ,8.3 ,331 ,10.9 ,1.2 ,4.4 ,7.2 ,3.908 ,0.032 ,2.8 ,0.518 ,
21.0 ,8.4 ,299 ,10.7 ,1.6 ,5.0 ,10.4 ,2.062 ,0.032 ,2.7 ,0.879 ,
22.1 ,8.0 ,310 ,9.8 ,2.6 ,5.2 ,8.6 ,1.317 ,0.028 ,3.0 ,0.224 ,
26.0 ,8.1 ,321 ,8.0 ,1.2 ,4.6 ,2.4 ,1.349 ,0.027 ,2.5 ,0.030 ,
24.4 ,8.3 ,339 ,10.6 ,2.7 ,5.6 ,7.6 ,1.096 ,0.035 ,3.5 ,0.216 ,
26.6 ,8.2 ,336 ,9.4 ,1.4 ,5.6 ,7.8 ,0.920 ,0.034 ,3.6 ,0.419 ,
25.8 ,8.3 ,348 ,10.3 ,2.4 ,5.6 ,26.4 ,1.598 ,0.051 ,3.4 ,0.350 ,
28.1 ,8.0 ,352 ,9.9 ,1.5 ,5.2 ,3.6 ,0.740 ,0.033 ,2.4 ,0.075 ,
27.7 ,7.8 ,358 ,10.1 ,1.9 ,5.2 ,3.8 ,0.971 ,0.049 ,4.3 ,0.324 ,
27.5 ,7.9 ,369 ,9.9 ,1.7 ,4.9 ,3.2 ,0.710 ,0.032 ,3.5 ,0.191 ,
29.3 ,7.9 ,364 ,9.6 ,1.4 ,5.3 ,9.3 ,0.711 ,0.038 ,3.2 ,0.302 ,
21.4 ,7.3 ,201 ,8.5 ,2.2 ,14.8 ,14.0 ,5.622 ,0.101 ,9.4 ,79.390 ,
24.3 ,7.7 ,270 ,8.6 ,0.7 ,6.6 ,1.8 ,6.013 ,0.054 ,4.8 ,10.752 ,
23.6 ,8.5 ,337 ,10.5 ,2.0 ,5.9 ,2.4 ,6.532 ,0.021 ,3.8 ,2.958 ,
24.9 ,7.8 ,382 ,8.9 ,1.6 ,4.6 ,2.8 ,5.368 ,0.026 ,3.2 ,0.932 ,
23.2 ,7.8 ,372 ,7.0 ,1.2 ,4.3 ,2.2 ,3.891 ,0.020 ,2.9 ,1.093 ,
19.4 ,8.0 ,340 ,9.4 ,0.9 ,3.4 ,5.8 ,4.179 ,0.019 ,2.7 ,1.274 ,
17.8 ,7.9 ,328 ,9.8 ,0.9 ,3.3 ,5.4 ,3.508 ,0.019 ,2.5 ,1.380 ,
15.3 ,7.7 ,236 ,10.1 ,2.3 ,8.4 ,30.6 ,2.747 ,0.108 ,5.3 ,11.996 ,
16.3 ,8.1 ,282 ,11.1 ,1.1 ,4.9 ,2.8 ,3.979 ,0.024 ,3.3 ,3.516 ,
13.7 ,8.5 ,251 ,11.2 ,1.7 ,5.0 ,2.4 ,3.708 ,0.027 ,3.4 ,4.209 ,
11.8 ,7.9 ,322 ,13.1 ,1.3 ,3.7 ,1.2 ,4.165 ,0.011 ,2.5 ,1.724 ,
8.1 ,7.9 ,339 ,11.0 ,0.6 ,3.2 ,1.8 ,4.492 ,0.011 ,2.4 ,1.011 ,
8.7 ,7.7 ,345 ,11.3 ,2.0 ,3.2 ,1.4 ,4.604 ,0.011 ,2.2 ,0.824 ,
4.6 ,8.3 ,269 ,13.4 ,0.9 ,3.7 ,0.8 ,4.108 ,0.014 ,2.9 ,4.003 ,
2.9 ,7.8 ,269 ,12.3 ,0.9 ,3.4 ,0.6 ,4.755 ,0.008 ,2.2 ,1.843 ,
4.1 ,7.8 ,356 ,14.5 ,0.6 ,3.4 ,0.8 ,5.142 ,0.014 ,2.3 ,0.584 ,
4.4 ,7.9 ,371 ,14.1 ,1.0 ,3.2 ,2.8 ,5.074 ,0.012 ,2.4 ,0.482 ,
4.2 ,7.8 ,365 ,14.7 ,0.3 ,2.9 ,0.4 ,6.836 ,0.013 ,1.9 ,0.500 ,
4.5 ,7.8 ,362 ,14.1 ,0.9 ,2.9 ,9.2 ,4.558 ,0.025 ,2.0 ,0.555 ,
5.5 ,7.8 ,370 ,13.8 ,0.6 ,2.7 ,1.0 ,5.522 ,0.015 ,1.7 ,0.559 ,
3.6 ,7.8 ,363 ,13.3 ,1.1 ,3.2 ,1.2 ,4.656 ,0.017 ,2.2 ,0.462 ,
7.7 ,7.8 ,337 ,11.9 ,0.3 ,2.8 ,0.8 ,4.226 ,0.018 ,2.0 ,1.009 ,
4.7 ,7.8 ,338 ,13.4 ,1.2 ,3.6 ,1.6 ,4.563 ,0.020 ,2.4 ,0.645 ,
10.9 ,7.9 ,330 ,11.2 ,0.9 ,2.5 ,1.0 ,3.301 ,0.016 ,1.3 ,0.543 ,
10.5 ,7.7 ,237 ,11.3 ,0.4 ,4.2 ,1.0 ,3.312 ,0.018 ,3.0 ,2.930 ,
12.5 ,7.6 ,289 ,9.2 ,0.3 ,3.0 ,1.0 ,2.780 ,0.020 ,1.9 ,2.223 ,
10.8 ,7.9 ,284 ,11.0 ,1.2 ,4.2 ,2.4 ,2.346 ,0.017 ,2.5 ,1.591 ,
19.4 ,7.9 ,238 ,9.9 ,1.1 ,4.3 ,1.2 ,1.898 ,0.011 ,2.4 ,1.922 ,
19.9 ,7.4 ,282 ,8.3 ,1.6 ,4.8 ,3.8 ,1.849 ,0.011 ,2.9 ,1.118 ,
20.1 ,7.8 ,289 ,8.7 ,2.2 ,5.8 ,10.6 ,1.101 ,0.036 ,3.7 ,0.739 ,
21.3 ,7.8 ,299 ,8.0 ,2.1 ,5.2 ,4.6 ,1.053 ,0.030 ,3.5 ,0.177 ,
23.4 ,7.5 ,319 ,7.9 ,0.5 ,3.2 ,0.3 ,0.714 ,0.016 ,1.5 ,0.021 ,
23.8 ,7.6 ,322 ,8.5 ,1.9 ,3.4 ,2.4 ,0.363 ,0.013 ,2.1 ,0.021 ,
24.1 ,7.6 ,340 ,9.2 ,2.0 ,3.9 ,4.2 ,0.446 ,0.018 ,2.7 ,0.019 ,
24.5 ,7.9 ,349 ,9.2 ,1.3 ,3.3 ,1.0 ,0.548 ,0.011 ,2.0 ,0.020 ,
26.5 ,7.7 ,345 ,8.5 ,2.3 ,6.0 ,7.4 ,1.155 ,0.038 ,4.7 ,0.615 ,
26.1 ,7.8 ,335 ,8.9 ,1.2 ,4.4 ,4.0 ,0.912 ,0.021 ,3.3 ,1.673 ,
25.9 ,7.8 ,327 ,9.6 ,1.0 ,5.7 ,5.8 ,3.329 ,0.025 ,3.8 ,2.791 ,
25.8 ,7.8 ,355 ,8.7 ,1.4 ,5.2 ,7.8 ,2.084 ,0.014 ,3.4 ,0.832 ,
23.5 ,7.8 ,272 ,8.3 ,2.0 ,9.0 ,10.0 ,2.361 ,0.064 ,6.1 ,3.565 ,
25.6 ,7.6 ,342 ,8.4 ,1.3 ,5.8 ,6.6 ,1.512 ,0.024 ,3.3 ,1.016 ,
24.9 ,7.5 ,348 ,7.6 ,0.8 ,5.2 ,3.6 ,1.486 ,0.020 ,2.7 ,1.046 ,
24.2 ,7.9 ,357 ,8.2 ,1.1 ,4.4 ,3.0 ,1.317 ,0.021 ,2.2 ,1.476 ,
21.8 ,8.4 ,356 ,10.2 ,1.1 ,4.5 ,3.8 ,0.973 ,0.017 ,2.3 ,0.448 ,
25.4 ,7.7 ,369 ,11.0 ,1.0 ,4.7 ,3.6 ,1.194 ,0.018 ,2.5 ,0.361 ,
21.7 ,7.8 ,366 ,9.8 ,2.4 ,3.9 ,1.8 ,0.721 ,0.015 ,2.0 ,0.592 ,
19.2 ,7.8 ,365 ,10.3 ,2.5 ,3.1 ,1.0 ,0.657 ,0.015 ,1.6 ,0.388 ,
19.0 ,7.9 ,374 ,12.4 ,0.7 ,4.2 ,5.4 ,0.763 ,0.012 ,2.3 ,0.326 ,
17.7 ,7.7 ,385 ,12.2 ,1.2 ,3.6 ,2.2 ,0.829 ,0.019 ,2.3 ,0.168 ,
13.5 ,7.8 ,389 ,13.1 ,1.3 ,3.7 ,1.6 ,0.835 ,0.010 ,1.9 ,0.239 ,
13.8 ,7.6 ,402 ,10.5 ,1.1 ,4.2 ,3.6 ,1.091 ,0.011 ,2.4 ,0.593 ,
14.2 ,7.4 ,445 ,9.9 ,1.0 ,4.5 ,5.2 ,2.539 ,0.015 ,2.9 ,1.369 ,
12.5 ,7.6 ,413 ,10.8 ,1.4 ,4.0 ,3.6 ,3.015 ,0.011 ,2.5 ,1.411 ,
7.5 ,7.7 ,415 ,13.2 ,0.7 ,3.2 ,1.0 ,3.167 ,0.007 ,1.9 ,1.077 ,
