Total_Code,하천차수,수온,DO,pH,Conductivity,Turbidity,BOD,NH3-N,NO3-N,T-N,PO4-P,T-P,Chl-a,1시가화건조지역,2농업지역,3산림지역,4초지지역,5습지,6나지,7수역,비율,slope_R,aspect_gra,tavg_R,tmax_7m_R,tmin_1m_R,prcp_R,godo_R,수폭m,수심cm,유속cm/s
1013G018,4,19.2,10.9,7.7,159.7,11.2,1.6,0.179,1.679,3.217,0.031,0.07,2.4,33.604,9.537,20.411,15.043,0,7.809,13.596,100,0,0,9.89101,27.5394,-11.1052,1282.83,80,87.1,30,12.5
1013G021,4,20.1,10.4,7.5,133,0,1.6,0.013,1.396,1.802,0.005,0.013,0.9,0.697,17.677,76.186,1.383,0,4.057,0,100,1.93335,1,9.57758,27.5784,-12.0319,1286.14,80,5,10,19.8
1013G024,4,23.4,13.4,7.6,205,0,1.7,0.082,1.379,2.953,0.014,0.024,1.6,3.783,28.335,64.89,2.875,0,0.116,0,99.999,0,0,9.69151,27.6364,-12.2535,1273.23,60,3.5,43.5,82.8
1013G027,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388,7.097,61.843,0.852,0,5.82,23,100,6.12901,5,9.64341,27.6364,-11.9653,1286.11,66.3284,237.5,50,21.7
1013G030,7,16.8,10.7,7.4,80,6.7,1,0.053,1.077,2.198,0.011,0.024,1.5,5.704,28.149,36.092,6.863,0,4.278,18.912,99.998,0,0,10.0056,27.6364,-11.2636,1275.89,60,107.8,22.9,100.5
1013G036,4,20,10,7.9,279,0,1,0.007,0.872,1.817,0.008,0.018,1.6,4.728,22.343,63.551,3.531,2.385,1.421,2.041,100,0,0,9.52072,27.6101,-12.0046,1317.35,80,5,20,19.8
1013G075,6,22.1,9.4,8.1,77.1,6.6,0.8,0.064,1.233,2.368,0.008,0.02,1.1,40.572,17.348,19.748,0.592,12.07,1.306,8.364,100,0,0,9.82862,27.6068,-11.6639,1338.16,60,79.7,26.3,65.3
1013G078,3,17.9,6.4,7.6,214.5,0,0.8,0.011,2.123,2.419,0.011,0.026,1,35.561,38.858,2.333,7.715,3.022,8.784,3.727,100,0,0,9.87359,27.6112,-11.2789,1323.23,60,15,20,24.3
1013G081,7,21.7,9.4,7.9,96.6,11.8,1.2,0.073,0.976,1.733,0.013,0.027,1.5,1.664,5.85,22.076,8.926,1.172,1.462,58.85,100,0,0,10.4059,27.7278,-10.7523,1286.69,60,77.8,23.1,21.6
1014G070,5,18.9,12.4,7.7,78.4,2.2,0.7,0.081,0.675,2.196,0.008,0.012,1.2,8.863,5.026,53.747,14.346,0.656,7.008,10.353,99.999,0.19985,0,9.79059,27.8208,-12.079,1250.1,60,7,20.3,61.2
1015G008,5,22.3,9.3,7.6,167.7,15.8,0.7,0.621,1.337,2.451,0.017,0.035,1.9,14.316,57.403,18.88,0,0.08,0.26,9.06,99.999,1.32658,0,9.84382,27.8492,-11.5706,1301.79,60,18.9,23.5,72.1
1015G034,5,23,9.9,8.2,132.8,10.5,1.1,0.079,1.501,2.736,0.019,0.037,1.8,24.874,6.23,36.346,13.946,6.578,5.482,6.545,100.001,0,0,9.79886,28.1991,-11.5653,1336.64,40,40,36.2,74
1015G046,4,21.1,9.5,8,83.5,7.1,1.3,0.162,1.097,2.108,0.012,0.025,1.8,10.392,20.515,54.186,1.941,0,0.803,12.163,100,0.346419,0,9.97808,27.8913,-11.2746,1311.92,100,18.7,20.6,71.5
1015G054,3,24.4,6,7.5,280,4.4,1.8,0.024,1.318,1.59,0.014,0.024,7,21.293,20.554,34.499,15.514,0,2.652,5.487,99.999,2.06684,6,10.3704,27.9767,-10.1935,1319.52,40.1219,1.8,10,24.3
1015G060,4,21.3,8.8,7.5,330.8,13.5,2,0.337,1.322,5.651,0.051,0.068,3,15.346,8.507,38.057,7.198,2.105,1.694,27.092,99.999,0,0,10.7677,28.0088,-9.75449,1305.36,40,28.1,33.2,41
1015G066,5,24.5,6.4,7.8,182.5,0,1,0.021,1.33,1.651,0.023,0.034,1.3,24.693,40.932,18.407,0.703,1.489,2.778,10.998,100,0,0,10.8151,28.0619,-9.65534,1306.61,40,5,7.5,14
1015G068,7,21,8.8,8,102.5,10.6,1.3,0.101,1.298,2.376,0.022,0.041,1.8,6.116,14.873,10.288,6.92,0,0.492,61.311,100,0,0,10.5338,28.121,-9.89036,1302.39,40,419.3,41.2,24.4
1015G072,2,22.7,5.7,8.1,78,0,1.1,0.013,3.152,3.788,0.012,0.029,0.5,17.734,28.008,34.82,6.332,1.487,2.174,9.444,99.999,0,0,10.5877,28.1557,-9.81698,1290.54,40,2.8,4,14
1016G072,7,22.8,10,8,287.2,6.7,1.6,0.126,2.04,3.304,0.07,0.125,1.8,13.423,50.441,14.077,0.209,0,0,21.849,99.999,0,0,10.4884,28.1388,-9.86624,1242.65,40,75.9,34.2,40.5
1016G082,7,25.3,6.1,8,370,0,2.1,0.055,0.896,1.239,0.016,0.019,1.7,2.774,1.655,31.264,0,5.098,0,59.209,100,0,0,10.5191,28.1431,-9.86637,1248.83,40,524,50,0
1017G010,8,20.5,10.1,8.3,147.3,2.7,1.6,0.122,1.336,2.423,0.021,0.036,2.1,3.413,3.775,10.672,1.583,0,0,80.558,100.001,0,0,10.5821,28.1694,-9.82404,1264.56,40,206.6,42.5,24.6
1018G034,6,22.9,9.5,7.4,492.1,5.5,4,1.882,1.105,6.262,0.315,0.6,3.3,64.357,0,0,10.022,0,15.576,10.045,100,0,0,11.3718,28.1696,-8.48591,1207.03,20,92,40.7,21
1018G064,7,23.6,11.6,7.1,440.3,24.8,4.2,4.703,1.988,9.653,0.4,0.83,3.5,33.675,0,13.424,36.042,0,0,16.859,100,0,0,11.4314,27.9155,-8.5365,1212.53,20,103.6,34.3,55.4
1018G068,1,22.5,5.5,8.1,271.5,16.4,3.3,0.09,2.93,3.495,0.022,0.036,12.3,84.36,0,0.015,5.112,0,5.011,5.502,100,0,0,11.3493,27.8019,-8.35125,1196.99,20,17.5,20,38.9
1018G070,8,22.8,6.6,7.9,258.5,9.8,2.4,0.175,2,3.346,0.029,0.037,1.5,14.334,0,3.309,15.588,0,0,66.769,100,0,0,NA,NA,NA,NA,20,760.7,50,0
1018G072,8,21.3,8.3,7.7,201.5,14.6,2.6,0.689,2.92,3.928,0.199,0.309,2.8,5.435,0,0,1.785,0,0,92.78,100,0,0,NA,NA,NA,NA,20,950.9,50,8.2
1018G076,5,18.7,10.7,7.8,401.4,3.5,2,2.323,2.595,6.463,0.079,0.129,2.3,68.852,0,0,25.367,0,0.843,4.939,100.001,0,0,11.3587,27.1612,-8.2223,1194.62,20,17.3,17.3,50.7
1018G106,5,23.8,9.7,7.6,577.5,24.1,5.1,0.197,4.082,7.165,0.063,0.078,14.5,63.067,0,12.542,11.75,0,3.359,9.282,100,0,0,11.3291,27.1134,-8.0568,1189.19,20,58.3,41.3,7
1019G002,8,23.7,6.9,7.8,241,25.9,2.7,0.379,2.282,3.54,0.045,0.056,30.3,4.754,0,0,5.225,1.391,1.134,87.497,100.001,0,0,NA,NA,NA,NA,20,857.5,50,0
1019G004,3,20,4.9,7.6,593,39.6,3.7,0.033,6.205,8.357,0.106,0.262,28,30.359,11.392,15.593,34.785,0.116,7.754,0,99.999,0,0,11.3386,27.1134,-8.47981,1195.83,20,3.5,12.5,31.3
1019G014,5,21.1,10.6,7.8,248.7,19,2,0.391,1.859,3.406,0.066,0.105,2.2,15.118,55.691,10.665,6.567,0.348,11.611,0,100,0,0,11.3521,27.3909,-8.51976,1208.47,20,18.4,19,44.4
1019G018,5,21.8,8.7,7.6,320.8,12.6,3.2,1.14,2.605,4.533,0.154,0.212,2.6,10.493,16.809,22.34,11.237,20.702,11.996,6.423,100,0,0,11.3136,27.0867,-8.01031,1198.13,20,21.3,33.2,33.2
1019G022,4,20.9,5.2,7.4,461,30.3,4.8,0.093,5.437,6.425,0.053,0.06,12.3,28.284,43.913,3.14,1.604,0,23.059,0,100,0,0,10.9618,26.8371,-8.12792,1189.98,20,15,40,52.9
1019G028,5,22,12,7.5,366.8,19.9,5.6,3.483,0.749,5.996,0.329,0.578,14.2,26.812,56.367,0,2.7,4.146,0.642,9.333,100,0,0,10.8724,25.8886,-7.33774,1162.31,20,82.5,42.6,4.8
1019G030,8,23.1,6.6,7.8,10091,51.4,3.3,0.177,3.323,4.621,0.057,0.073,2,9.23,3.161,0.53,3.837,1.158,5.119,76.965,100,0,0,NA,NA,NA,NA,20,794.5,50,0
1019G036,4,23.7,6.8,7.5,434.5,77.4,3.4,0.016,4.977,5.582,0.094,0.162,34.5,33.004,63.502,0,0.465,0.642,2.155,0.233,100.001,0,0,10.9598,26.3001,-8.10167,1180.74,20,29,50,0
1019G038,8,23.8,11.4,7.3,404.4,19.5,4.1,2.153,4.141,8.314,0.571,0.895,3.5,0,0,0,0,75.639,0,24.361,100,0,0,NA,NA,NA,NA,20,1117.6,50,16.1
1019G046,4,22.7,7.5,7.9,537.5,70.1,4.3,0.009,3.19,3.553,0.151,0.169,2.3,29.393,68.17,0.233,0,0,2.204,0,100,0,0,10.9848,25.8249,-8.37852,1183,20,80,50,0
1019G050,3,25.1,7.6,7.5,556,70.6,4.4,0.008,5.72,6.225,0.111,0.123,35.6,19.038,79.024,0,0.116,0,1.822,0,100,0,0,11.0376,26.3316,-8.47496,1192.07,20,16,20,30.1
1025G003,4,21.3,9.4,8.3,357.5,1.9,1.4,0.566,1.921,3.141,0.018,0.036,1.9,44.906,35.412,8.645,1.763,5.683,1.72,1.871,100,0,0,10.6602,28.1975,-10.1568,1249.66,20,19.5,18.1,59.1
1025G006,5,22.2,10.6,8.6,289.2,4.2,1.7,0.979,2.511,4.757,0.032,0.053,2,19.754,38.656,0,32.959,3.974,0.586,4.072,100.001,0,0,11.0128,28.1975,-9.16574,1250.09,20,10.5,27,51.7
1025G009,2,17.7,8.4,7.6,214.2,3,1.5,0.468,1.533,4.096,0.204,0.287,3.3,36.188,1.686,10.067,7.311,2.082,2.995,39.672,100.001,11.4954,1,11.009,28.1975,-9.20395,NA,20.6402,4,14.2,51.9
1025G012,4,18.2,8.6,7.7,236.9,5.5,2.1,0.402,1.625,4.888,0.146,0.177,2.5,50.323,0.139,2.928,7.137,2.016,2.502,34.955,100,0,0,10.6789,28.5308,-9.87661,NA,20,4,13.4,48.2
1025G015,4,18.1,10.3,8.1,229.5,2.5,1.3,0.222,1.837,3.651,0.099,0.14,2,61.667,2.131,15.756,5.094,0.307,4.776,10.269,100,6.88138,8,11.0134,28.2006,-9.22482,1255.35,20,12.7,18.3,63.4
1025G018,3,17.9,9.3,7.8,367.7,3.8,1.7,0.66,2.754,4.649,0.457,0.638,2.6,36.468,15.981,15.036,13.044,0,0,19.471,100,0.318832,0,11.0183,28.2006,-8.90943,NA,40,4.5,13.1,46.4
1025G024,5,19.6,8.3,7.7,309.6,4.6,1.9,0.572,1.827,4.502,0.26,0.349,3.7,23.907,17.763,13.715,24.427,0,7.805,12.383,100,0,0,11.0374,28.2094,-9.27143,1265.79,20,14.2,16.8,31.3
1025G072,6,20.9,7.8,7.9,358.3,6.5,2.6,0.539,1.702,4.132,0.25,0.308,2.8,40.86,9.375,1.356,38.134,0,1.022,9.253,100,0,0,11.3863,28.2151,-8.94519,1245.4,20,70.9,30.6,32
1025G075,4,20.1,9,8.2,513.1,15.4,1.7,0.512,1.64,3.344,0.166,0.259,2.9,69.133,11.891,7.546,5.3,0,0.925,5.205,100,0,0,11.4008,28.2158,-8.86168,1245.79,20,5.7,14.3,30.3
1025G078,5,21.1,9.1,7.8,205,15.2,2.2,0.519,1.728,3.528,0.17,0.204,2.1,51.571,0,3.939,31.013,3.835,2.397,7.245,100,0,0,11.3794,28.1696,-8.85991,1218.84,20,20,26.1,26.2
1025G081,8,22.4,7.7,9.1,188.3,9.3,1.6,0.197,1.242,1.839,0.018,0.025,1.8,6.415,0,0,2.331,0,0,91.254,100,0,0,NA,NA,NA,NA,20,875,50,0
2001G009,5,17.6,9.2,8.3,274.3,1.2,0.6,0.057,1.133,2.036,0.011,0.024,1,6.917,14.668,64.556,2.713,2.717,4.045,4.384,100,8.97572,5,7.32651,24.9539,-12.5305,1197.87,542.402,16.6,26.8,17.7
2001G012,5,18.2,9.4,8.2,281.3,0.3,0.7,0.053,0.917,1.654,0.01,0.02,0.8,14.414,14.253,63.127,0,0,3.665,4.541,100,0,0,7.30744,25.0022,-12.1836,1204.87,540,20,22.3,13.2
2001G015,6,19.7,11.1,8.4,456.5,0.8,1.4,0.03,2.352,2.936,0.008,0.013,0.5,2.183,24.324,62.685,0.313,1.163,3.865,5.468,100.001,0,0,7.49923,25.3781,-12.3264,1213.83,500,32.5,30.9,105.2
2001G027,5,17.7,11.3,7.7,43,0,0.7,0.046,0.579,1.182,0.008,0.014,1.1,0.254,13.476,82.088,0,1.385,0.953,1.843,99.999,0.029361,0,7.85827,25.1585,-11.4895,1229.74,460,12.6,21.9,23.5
2001G033,6,22.5,7.6,8.1,135,0,1.9,0.023,0.773,1.557,0.042,0.208,2.8,0,5.577,82.846,0,4.94,1.856,4.781,100,4.43106,5,8.33031,25.7637,-11.8636,1224.31,360,NA,17.5,18.2
2001G036,7,18.6,9.3,8.1,245.5,2.3,1.2,0.064,2.136,3.513,0.008,0.015,2.4,2.574,14.771,62.188,0.346,8.032,7.652,4.436,99.999,13.1152,7,8.60167,26.3293,-11.8489,1233.08,300,52.5,35.7,43.1
2001G042,5,17.7,10.2,7.5,54.8,0,0.6,0.036,1.21,1.828,0.005,0.016,0.8,15.397,25.893,45.448,3.203,3.172,3.958,2.927,99.998,2.61573,4,8.65448,26.3293,-12.1616,1238.91,320.13,20,24.5,13
2001G045,4,17.8,9.7,7.7,66.5,0,0.5,0.072,1.196,2.067,0.024,0.042,1,0.53,14.258,81.436,1.016,0.81,0,1.952,100.002,39.039,6,8.79211,26.4057,-11.5886,1203.9,356.79,7.4,22.7,17.5
2001G048,4,14.1,12,7.6,454,0.2,1,0.015,1.255,1.845,0.061,0.071,0.5,1.811,20.117,71.985,0,3.433,0.28,2.375,100.001,0,0,9.03234,26.6198,-11.391,1214.09,340,10.8,23.3,62.9
2001G054,5,20.4,11,8.7,169.8,2,1,0.033,1.383,2.465,0.011,0.023,1.9,3.195,40.294,53.129,0,1.012,0.424,1.947,100.001,0,0,9.4631,26.8547,-10.9196,1162.46,320,6.4,21.4,12.8
2001G069,5,20.7,10.8,8.5,134,2.2,1,0.033,1.172,2.34,0.008,0.022,2,3.397,14.826,75.807,0,2.847,0.119,3.003,99.999,0.014682,0,9.41591,27.307,-11.447,1200.56,220,27.8,26,15.9
2001G075,7,19.5,11,8.3,195.7,1.6,0.8,0.025,1.116,1.991,0.009,0.018,1.5,3.094,32.579,45.585,0,7.545,2.902,8.296,100.001,0,0,10.1226,27.5823,-10.2266,1125.16,180,44.1,30,12.7
2001G078,5,17.9,8.8,7.5,232.2,0.9,1.5,0.055,1.243,2.475,0.015,0.027,2.2,2.824,18.207,74.521,0,2.48,0.107,1.861,100,4.45201,0,10.2511,27.7189,-10.0485,1076.79,160,15.9,27.5,6.2
2001G081,5,19.8,6,7,216.5,0.4,0.9,0.012,1.103,1.725,0.01,0.013,0.6,5.314,48.943,35.616,2.534,2.006,3.243,2.344,100,0,0,10.2721,27.7969,-9.90426,1019.4,180,11.8,14.4,52.3
2001G087,4,20.2,16.2,7.6,265.5,3,1.3,0.013,1.144,1.878,0.01,0.016,0.4,2.022,28.977,67.844,0,0,0,1.158,100.001,0.268033,0,10.2525,27.8343,-9.58495,1011.66,180,11,14,28.2
2001G090,7,15.9,9.8,7.6,172.1,4.5,1.4,0.039,0.944,1.883,0.006,0.02,1.4,15.523,4.059,44.019,0.83,0.389,3.428,31.752,100,0,0,11.0184,28.1574,-8.86764,1016.97,100,183.6,108.9,4.1
2002G098,7,21.3,9.6,8,185,4.9,2.2,0.019,1.13,2.054,0.01,0.022,2.2,9.994,35.188,10.529,2.994,9.282,16.567,15.446,100,0,0,11.0425,28.1574,-8.49716,1023.62,100,171.5,80.2,3.5
2003G009,5,22,9.8,8.1,433,333.5,3.1,0.024,3.785,4.335,0.073,0.079,2.4,13.784,60.561,13.668,0.232,4.802,1.565,5.388,100,0,0,10.7959,28.2257,-9.06744,1043.46,100,16.5,17.5,60
2003G045,6,21,9.4,8.1,297.7,3.8,1.8,0.055,1.453,2.607,0.008,0.026,2.4,6.14,41.843,25.95,0.256,16.817,0.477,8.518,100.001,0,0,10.852,28.2905,-9.32638,1031.15,80,29.3,23.1,10.3
2003G051,8,20.5,10.7,7.4,190.5,7.7,1.8,0.028,0.901,1.386,0.008,0.012,2.4,1.668,29.084,28.829,0,12.31,12.003,16.106,100,0,0,10.9636,28.6229,-8.86566,1050.65,80,240,27.9,21.6
2003G054,4,19.2,9.9,7.9,148.1,3.9,1.5,0.066,1.231,2.869,0.012,0.027,2,5.269,59.349,32.856,0,0,0.52,2.006,100,0,0,10.8263,28.1559,-9.05612,1082.75,140,4,23,12.2
2003G057,8,19.4,11.6,7.6,203.5,10.1,1.9,0.02,1.342,1.751,0.058,0.121,6.4,19.528,29.933,1.769,0,16.852,12.326,19.593,100.001,0,0,11.8303,28.2987,-7.62652,1076.8,63,175,31.5,36.3
2003G063,4,19.8,10.7,8.4,212.7,11.6,1.4,0.06,1.588,3.01,0.021,0.033,1.9,3.006,28.449,68.545,0,0,0,0,100,0,0,11.0106,28.6549,-8.80858,1073.49,100,7.4,26.7,0.7
2003G075,4,20.8,9.5,6.9,239,5.4,3.1,0.01,0.665,1.533,0.013,0.024,1.9,6.768,64.006,22.562,0.18,0.167,0.753,5.565,100.001,0,0,11.488,28.7003,-8.28041,1069.29,80,5.5,29.4,32.6
2003G078,9,21.3,9.2,7.8,188.7,6,1.7,0.033,0.937,2.258,0.014,0.037,2.5,4.864,12.349,35.709,0.362,7.681,12.843,26.193,100.001,0,0,11.6007,28.0483,-7.81652,1170.88,53,134.7,27.2,24.8
2004G068,8,22.5,8.8,8.2,227.3,5.1,1.4,0.063,1.774,2.887,0.025,0.066,2.3,1.876,61.415,4.944,2.34,0,17.527,11.899,100.001,0,0,11.1944,28.0292,-8.26653,1134.81,55,119.2,27.1,19.5
2005G066,7,22.4,9.9,7.9,259.5,4.8,1.8,0.065,1.503,2.475,0.038,0.075,2.5,1.906,42.871,10.793,1.619,13.634,13.906,15.271,100,3.35058,6,11.5389,27.9815,-7.52695,1110.26,53.1722,239.3,58.1,4.2
2006G050,7,21.6,10.9,8.1,244.1,5.9,2.1,0.065,1.408,2.354,0.061,0.1,4.5,0.433,31.544,17.093,2.024,6.057,20.447,22.402,100,0,0,11.5115,28.1846,-7.49381,1072.51,60,117.7,37.1,5
2007G010,9,21.1,9.3,8.1,195.4,5.9,1.7,0.087,1.307,2.115,0.01,0.035,2.9,4.091,21.32,38.706,0,4.122,12.163,19.598,100,0,0,11.5474,28.3148,-7.85477,1132.85,51,133.8,72.3,4.8
2007G020,9,23.8,10.9,7.9,239,12.7,2.1,0.097,1.765,1.483,0.017,0.023,4.2,9.325,13.912,7.591,1.259,14.739,30.43,22.744,100,0,0,10.8925,28.3644,-8.49976,1134.25,49,225,40.5,9.3
2007G030,9,21.9,8.9,8,209.8,16.9,1.5,0.043,1.163,2.056,0.021,0.04,3.7,3.864,21.552,6.412,0,6.955,36.284,24.934,100.001,0,0,11.2561,28.3819,-7.78655,1094.08,60,342.9,94.9,4
2007G040,9,23.4,10.4,8.8,218,6,1.8,0.045,0.927,1.639,0.031,0.036,2.9,3.717,18.406,40.597,0.081,1.729,17.702,17.767,99.999,0,0,11.5615,28.1847,-7.78716,1063.91,60,300,85.2,10.4
2007G050,9,23.8,10.7,8.8,216.3,9.3,2.2,0.129,1.07,1.74,0.026,0.038,2.4,0.717,29.724,21.304,1.972,0.168,26.03,20.085,100,0,0,11.5426,28.1846,-7.46247,1064.82,60,415,52.3,8
2007G060,5,23.4,11.2,7.2,262,18.7,1.1,0.019,0.793,1.591,0.023,0.115,4.9,2.266,87.593,0.418,0,2.615,3.581,3.526,99.999,0,0,11.1923,28.5679,-7.80777,1067.23,60,8,25,0
2007G070,9,22,9.3,8.5,206.3,17.8,2.2,0.049,0.891,2.29,0.046,0.071,3.2,3.198,27.047,12.755,10.197,3.167,31.159,12.477,100,0,0,11.6426,28.6739,-7.37309,1049.42,40,197.8,56.2,0.8
2008G064,7,22.2,9.6,8.1,252.6,4.8,2.5,0.115,0.894,1.874,0.019,0.036,3.1,8.573,49.944,26.287,0.474,3.23,3.56,7.932,100,0,0,11.6818,28.7011,-7.34618,1054.49,40,61,57.3,7.9
2009G010,9,23.8,10,8.4,251.7,7.3,2.4,0.058,0.968,1.876,0.015,0.024,4.1,0.409,12.803,33.829,0,7.835,25.925,19.198,99.999,0,0,11.2784,28.7015,-7.73679,1054.89,40,250,39.7,0
2009G020,9,21.9,9.4,7.8,221.7,6,1.8,0.051,0.973,2.59,0.029,0.042,2.1,5.517,37.035,0,1.548,7.27,22.495,26.135,100,0,0,11.5675,28.6768,-7.7721,1037.47,40,166.7,73.1,8.4
2009G030,9,25,9.4,8.4,270.2,5.8,2.6,0.017,0.934,1.824,0.012,0.019,2.2,5.159,18.125,3.714,0,7.364,38.861,26.776,99.999,0,0,11.5626,28.6997,-7.76856,1024.58,40,200,49.6,3.8
2009G050,9,22.6,9.4,8.4,207.8,4.5,1.6,0.047,1.065,2.32,0.033,0.049,1.9,2.691,14.017,10.356,6.046,6.517,31.257,29.117,100.001,0,0,11.285,28.7955,-8.05772,1014.46,40,295,66,6.9
2010G060,6,24.2,9,7.6,267.1,8.9,1.5,0.181,1.498,3.157,0.039,0.061,2.1,6.916,36.685,18.842,4.431,7.726,12.176,13.223,99.999,0,0,11.6306,28.751,-7.69421,1005.94,40,52.2,23.2,14.2
2011G003,9,22.6,8.5,8.2,221.6,5.7,1.7,0.047,1.359,2.468,0.041,0.058,2.2,10.468,22.629,4.227,0.011,4.357,28.183,30.125,100,0,0,11.6915,28.7602,-7.63362,1007.88,40,152,71.8,6.3
2011G006,4,23.6,9.9,8.1,337.5,3.9,3,0.032,0.312,0.552,0.032,0.044,16.9,4.85,64.547,0,0,25.289,5.314,0,100,0,0,11.3267,28.7557,-7.6639,1006.42,40,3,34.4,0
2011G012,4,23,12.3,8.4,336,15.4,2.8,0.035,0.567,0.771,0.03,0.046,10,24.281,65.07,4.582,0.49,0.128,2.018,3.431,100,2.16273,6,11.7011,28.7602,-7.28146,1011.71,40.1272,3.5,24.6,21.8
2011G018,5,26.1,11.3,7.9,183.5,6.3,2.7,0.021,2.631,2.862,0.014,0.019,2.9,31.056,47.479,0.008,3.78,6.736,8.502,2.438,99.999,0,0,11.6551,28.7484,-7.30356,1013.46,40,15,29.9,30.9
2011G027,5,26,12.5,7.2,1134,8,3.2,0.026,2.473,3.713,0.009,0.014,2,43.467,6.278,18.267,0.009,9.696,17.392,4.892,100.001,0,0,11.4152,28.7977,-7.89962,999.187,40,22.5,31.7,23.7
2011G033,3,24,12.3,8.3,238,3.1,1.5,0.051,1.418,1.929,0.015,0.025,3.8,59.204,4.858,17.871,0,5.004,13.062,0,99.999,0,0,11.4263,28.7425,-7.50593,1017.76,60,4,23.4,25
2011G039,9,23.9,8.8,8,289.4,6.9,2.3,0.063,1.537,3.152,0.054,0.077,3.1,8.371,13.365,15.348,4.692,9.748,26.577,21.898,99.999,0,0,11.3809,28.668,-7.88532,1025.97,40,325,80,6
2011G042,4,24.9,15.1,8.2,348.5,5.6,2.5,0.014,1.003,1.425,0.025,0.032,1.7,34.867,41.409,5.385,4.542,0.549,9.947,3.301,100,2.58659,3,11.2905,28.668,-7.63783,1038.88,51.2882,9,31.2,3.7
2011G048,4,21.4,8.5,8.2,263.5,5.2,1.7,0.043,0.914,1.821,0.019,0.044,2,6.025,25.566,63.681,0,0,0.583,4.147,100.002,7.39164,6,11.1089,28.8009,-8.13599,1029.23,71.913,7.6,16.7,6.2
2011G051,9,24.4,12.3,9,181,5,2.9,0.065,1.525,2.29,0.012,0.041,2.2,5.465,44.568,1.329,4.951,3.708,10.589,29.39,100,0,0,11.7099,28.6989,-7.5309,1030.53,40,325,72.6,0.8
2011G054,9,22.7,8.6,8.3,255.7,5.3,2.2,0.049,1.5,2.677,0.028,0.069,3.4,23.302,2.088,0,1.727,8.382,40.596,23.905,100,0,0,11.3346,28.6461,-7.88029,1038.86,40,263.1,72.2,5
2011G057,4,22.7,10.5,7.2,213,2.8,2.6,0.004,0.519,0.602,0.011,0.017,3.3,4.828,33.199,54.676,2.192,0.6,0.886,3.619,100,0,0,10.8993,28.6461,-8.33414,1052.3,60,5,17.2,5.3
2011G063,9,25.7,9.3,8.5,315.3,3,3,0.073,1.034,2.01,0.03,0.04,2.6,3.931,39.875,0,1.504,12.755,3.505,38.43,100,0,0,11.6296,28.5603,-7.23288,1066.13,40,800,100,0
2011G078,6,24.5,9.6,8.1,241.3,1.5,1.5,0.076,1.381,2.649,0.016,0.036,2.6,6.061,62.978,1.418,2.553,10.578,6.371,10.04,99.999,0,0,11.9293,28.5591,-6.93424,1074.15,20,45.8,69.4,10.1
2011G081,5,26.7,11.3,8.3,395.5,7.4,4.1,0.043,0.917,2.736,0.054,0.073,19.7,5.15,54.894,30.82,0,6.528,0.119,2.488,99.999,0,0,11.6849,28.5603,-7.1672,1067.79,40,17.5,30,22.2
2011G087,9,22.9,9.2,8.6,256.8,4.8,2,0.031,1.648,2.288,0.012,0.047,3.4,4.234,24.089,12.553,3.807,8.351,10.552,36.414,100,0,0,12.1494,28.7077,-6.34395,1054.66,20,341.2,100,3.4
2012G126,7,23.9,9.3,8.3,679.1,2.5,2.7,0.164,2.458,4.433,0.124,0.214,10,15.597,11.529,40.528,0,1.89,8.403,22.052,99.999,0,0,12.1636,28.7607,-6.33999,1046.81,40,181.7,69.7,0.1
2013G063,6,23,8.5,7.6,199.3,3.5,1.6,0.025,1.166,1.996,0.023,0.051,1.7,4.947,44.474,1.095,3.122,10.164,12.45,23.748,100,0,0,12.2841,28.6507,-6.38223,1228.05,20,140,78.2,0.1
2014G010,9,25.8,11.5,8.8,458.8,5.8,4.2,0.09,2.416,3.198,0.06,0.113,26.6,1.17,19.951,3.561,0,22.359,8.608,44.352,100.001,0,0,12.1847,28.6819,-6.30083,1056.83,20,360,100,0
2014G015,3,21.9,14.1,8.8,415,0.5,2.2,0.015,0.234,0.498,0.009,0.015,4,79.614,0.578,7.045,3.289,0.339,6.349,2.786,100,0,0,11.8635,28.6819,-6.61176,1060.22,40,5,12.5,19.8
2014G025,3,18.8,8.1,7.9,436,1.6,2.2,0.011,0.225,0.404,0.007,0.015,0.4,21.103,18.264,52.37,3.273,0,4.99,0,100,0,0,11.5143,28.6895,-7.28132,1141.25,60,4.5,17.5,0
2014G035,9,24.2,8.5,8.2,404.3,3.5,3.7,0.06,0.945,2.058,0.031,0.043,2,2.484,29.222,20.399,1.155,9.001,10.82,26.92,100.001,0,0,11.7593,28.5635,-7.38826,1080.3,20,435,100,0
2014G045,9,22.2,8.3,8.3,328.7,21.1,2.7,0.071,1.478,2.433,0.031,0.08,3.3,9.106,45.681,12.14,0,2.599,5.407,25.066,99.999,0,0,12.0838,28.5629,-6.7129,1187.28,20,215.3,100,0
2014G050,9,24.5,9.3,8.1,413.5,6,3.2,0.036,1.641,2.272,0.029,0.063,4.6,11.23,32.28,7.67,4.411,4.021,2.377,38.012,100.001,0,0,11.9045,28.6037,-6.48399,1185.4,20,345,100,0
2014G055,4,22.3,11.1,8.7,426.5,2.6,3.3,0.037,0.663,1.054,0.015,0.025,2,22.223,64.21,9.681,0.145,0.873,0.805,2.064,100.001,4.13386,4,12.2604,28.6648,-6.44348,1189.98,40.4734,12.5,15,27.9
